CLAVE_ENTIDAD,ENTIDAD,SEXO,EDAD,DIAS_ACTIVIDAD_FISICA_VIGOROSA_EN_7_ULTIMOS_DIAS,DIAS_ACTIVIDAD_FISICA_MODERADA_EN_7_ULTIMOS_DIAS,DIAS_10_MIN_CAMINAR_EN_7_ULTIMOS_DIAS
1,AGUASCALIENTES,hombre,37,4,1,7
1,AGUASCALIENTES,hombre,37,0,7,0
1,AGUASCALIENTES,mujer,64,0,7,3
1,AGUASCALIENTES,hombre,36,2,0,2
1,AGUASCALIENTES,mujer,43,1,3,6
1,AGUASCALIENTES,mujer,35,0,2,7
1,AGUASCALIENTES,mujer,15,2,2,7
1,AGUASCALIENTES,hombre,22,1,0,7
1,AGUASCALIENTES,hombre,40,7,7,7
1,AGUASCALIENTES,hombre,16,2,2,7
1,AGUASCALIENTES,hombre,51,0,0,2
1,AGUASCALIENTES,hombre,17,0,0,7
1,AGUASCALIENTES,mujer,61,0,0,7
1,AGUASCALIENTES,hombre,44,0,2,0
1,AGUASCALIENTES,mujer,16,0,7,7
1,AGUASCALIENTES,mujer,38,0,2,4
1,AGUASCALIENTES,mujer,57,0,7,7
1,AGUASCALIENTES,hombre,57,0,3,3
1,AGUASCALIENTES,hombre,55,0,1,7
1,AGUASCALIENTES,hombre,37,5,3,7
1,AGUASCALIENTES,mujer,28,7,5,7
1,AGUASCALIENTES,hombre,15,3,2,7
1,AGUASCALIENTES,hombre,65,5,1,5
1,AGUASCALIENTES,hombre,16,6,5,5
1,AGUASCALIENTES,hombre,65,0,7,7
1,AGUASCALIENTES,mujer,25,0,4,0
1,AGUASCALIENTES,mujer,49,3,1,3
1,AGUASCALIENTES,hombre,29,3,7,7
1,AGUASCALIENTES,hombre,30,1,2,3
1,AGUASCALIENTES,mujer,48,0,1,7
1,AGUASCALIENTES,hombre,22,0,0,6
1,AGUASCALIENTES,hombre,62,0,0,7
1,AGUASCALIENTES,hombre,22,2,7,7
1,AGUASCALIENTES,mujer,19,0,7,7
1,AGUASCALIENTES,hombre,44,7,3,7
