Deteccióndepadecimientos_Diabetes,anio,Total
"     Aguascalientes",2006,29483
"     Baja California",2006,73488
"     Baja California Sur",2006,21050
"     Campeche",2006,24160
"     Chiapas",2006,35600
"     Chihuahua",2006,119561
"     Coahuila ",2006,119856
"     Colima",2006,21803
"     D.F. Norte",2006,165610
"     D.F. Sur",2006,155963
"     Durango",2006,41499
"     Guanajuato",2006,132370
"     Guerrero",2006,68286
"     Hidalgo",2006,38248
"     Jalisco",2006,211503
"     México Oriente",2006,212485
"     México Poniente",2006,77611
"     Michoacán",2006,81738
"     Morelos",2006,43161
"     Nayarit",2006,32907
"     Nuevo León",2006,196877
"     Oaxaca",2006,27208
"     Puebla",2006,77829
"     Querétaro",2006,46806
"     Quintana Roo",2006,28354
"     San Luis Potosí",2006,44652
"     Sinaloa",2006,107343
"     Sonora",2006,76606
"     Tabasco",2006,23383
"     Tamaulipas",2006,83731
"     Tlaxcala",2006,16765
"     Veracruz Norte",2006,108037
"     Veracruz Sur",2006,86261
"     Yucatán",2006,67405
"     Zacatecas",2006,23782
