Deteccióndepadecimientos_Diabetes,anio,Total
"     Aguascalientes",2016,228371
"     Baja California",2016,585283
"     Baja California Sur",2016,105938
"     Campeche",2016,108251
"     Chiapas",2016,212872
"     Chihuahua",2016,517195
"     Coahuila ",2016,536878
"     Colima",2016,107724
"     D.F. Norte",2016,1005516
"     D.F. Sur",2016,1246428
"     Durango",2016,236980
"     Guanajuato",2016,368795
"     Guerrero",2016,189668
"     Hidalgo",2016,153988
"     Jalisco",2016,1034163
"     México Oriente",2016,1059507
"     México Poniente",2016,479156
"     Michoacán",2016,374715
"     Morelos",2016,169177
"     Nayarit",2016,139909
"     Nuevo León",2016,1392412
"     Oaxaca",2016,135721
"     Puebla",2016,451941
"     Querétaro",2016,201159
"     Quintana Roo",2016,207747
"     San Luis Potosí",2016,343432
"     Sinaloa",2016,452453
"     Sonora",2016,455628
"     Tabasco",2016,190410
"     Tamaulipas",2016,571272
"     Tlaxcala",2016,104323
"     Veracruz Norte",2016,505955
"     Veracruz Sur",2016,185746
"     Yucatán",2016,237037
"     Zacatecas",2016,64474
