ENTIDAD,ANIO,0_6_MESES_OBESIDAD,6_23_MESES_OBESIDAD,2_4_ANIOS_OBESIDAD
AGUASCALIENTES,2013,8118,6210,2070
BAJA CALIFORNIA,2013,9949,12678,4226
BAJA CALIFORNIA SUR,2013,3993,5064,1688
CAMPECHE,2013,6620,9690,3230
CHIAPAS,2013,82844,71634,23878
CHIHUAHUA,2013,15763,17844,5948
COAHUILA,2013,2244,12378,4126
COLIMA,2013,9877,9438,3146
DISTRITO FEDERAL,2013,4397,9720,3240
DURANGO,2013,5944,17568,5856
GUANAJUATO,2013,36907,40248,13416
GUERRERO,2013,59175,73122,24374
HIDALGO,2013,13334,43758,14586
JALISCO,2013,19876,55164,18388
MEXICO,2013,56667,80262,26754
MICHOACAN,2013,24079,38118,12706
MORELOS,2013,13432,15816,5272
NAYARIT,2013,11867,16662,5554
NUEVO LEON,2013,7969,30102,10034
OAXACA,2013,28134,52746,17582
PUEBLA,2013,37327,47178,15726
QUERETARO,2013,34141,17712,5904
QUINTANA ROO,2013,8763,13188,4396
SAN LUIS POTOSI,2013,27943,21324,7108
SINALOA,2013,23950,18402,6134
SONORA,2013,15513,17406,5802
TABASCO,2013,6909,41886,13962
TAMAULIPAS,2013,12910,23376,7792
TLAXCALA,2013,7686,12534,4178
VERACRUZ,2013,62150,57672,19224
YUCATAN,2013,13623,12084,4028
ZACATECAS,2013,10051,16272,5424
