ENTIDAD,ANIO,0_1_ANO_OBESIDAD,1_2_ANIOS_OBESIDAD,2_4_ANIOS_OBESIDAD
AGUASCALIENTES,2015,5359,1103,2206
BAJA CALIFORNIA,2015,6193,2050,4100
BAJA CALIFORNIA SUR,2015,2739,852,1704
CAMPECHE,2015,7937,1603,3206
CHIAPAS,2015,80128,12183,24366
CHIHUAHUA,2015,13641,3062,6124
COAHUILA,2015,3225,2104,4208
COLIMA,2015,8172,1570,3140
DISTRITO FEDERAL,2015,8199,1890,3780
DURANGO,2015,5137,2863,5726
GUANAJUATO,2015,29575,6700,13400
GUERRERO,2015,47859,12288,24576
HIDALGO,2015,12858,7112,14224
JALISCO,2015,15050,9159,18318
MEXICO,2015,51321,13313,26626
MICHOACAN,2015,18097,6319,12638
MORELOS,2015,9619,2634,5268
NAYARIT,2015,9134,2921,5842
NUEVO LEON,2015,10238,5202,10404
OAXACA,2015,24119,8506,17012
PUEBLA,2015,34312,8121,16242
QUERETARO,2015,32532,3035,6070
QUINTANA ROO,2015,7454,2218,4436
SAN LUIS POTOSI,2015,23038,3533,7066
SINALOA,2015,14888,3126,6252
SONORA,2015,13811,3092,6184
TABASCO,2015,6526,6985,13970
TAMAULIPAS,2015,10570,3970,7940
TLAXCALA,2015,10108,2130,4260
VERACRUZ,2015,16092,3515,7030
YUCATAN,2015,15838,2010,4020
ZACATECAS,2015,9965,2738,5476
