ENTIDAD,ANIO,0_6_MESES_OBESIDAD,6_11_MESES_OBESIDAD,12_23_MESES_OBESIDAD,2_4_ANIOS_OBESIDAD
AGUASCALIENTES,2017,1348,6396,12792,2132
BAJA CALIFORNIA,2017,2206,11952,23904,3984
BAJA CALIFORNIA SUR,2017,618,5154,10308,1718
CAMPECHE,2017,1703,9834,19668,3278
CHIAPAS,2017,21582,71016,142032,23672
CHIHUAHUA,2017,2597,17844,35688,5948
COAHUILA,2017,138,11412,22824,3804
COLIMA,2017,1893,9402,18804,3134
DISTRITO FEDERAL,2017,4172,11514,23028,3838
DURANGO,2017,814,12390,24780,4130
GUANAJUATO,2017,3878,39300,78600,13100
GUERRERO,2017,4817,50256,100512,16752
HIDALGO,2017,3587,41550,83100,13850
JALISCO,2017,1866,49326,98652,16442
MEXICO,2017,14955,79650,159300,26550
MICHOACAN,2017,2613,36996,73992,12332
MORELOS,2017,1776,14622,29244,4874
NAYARIT,2017,3043,9558,19116,3186
NUEVO LEON,2017,2801,31470,62940,10490
OAXACA,2017,2357,28266,56532,9422
PUEBLA,2017,5555,48816,97632,16272
QUERETARO,2017,5986,18216,36432,6072
QUINTANA ROO,2017,1785,13404,26808,4468
SAN LUIS POTOSI,2017,3961,21498,42996,7166
SINALOA,2017,5024,18528,37056,6176
SONORA,2017,4307,17712,35424,5904
TABASCO,2017,1706,40722,81444,13574
TAMAULIPAS,2017,2991,23814,47628,7938
TLAXCALA,2017,3710,11916,23832,3972
VERACRUZ,2017,12930,55416,110832,18472
YUCATAN,2017,3076,12078,24156,4026
ZACATECAS,2017,2944,16632,33264,5544
