periodo,entidad,proporcion_pobreza_1_90,poblacion_pobreza_1_90,poblacion_total
2014,Aguascalientes,3.082064641,39.268,1274.081
2014,"Baja California",0.82924647,28.564,3444.573
2014,"Baja California Sur",2.445399543,18.281,747.567
2014,Campeche,4.540271079,40.73,897.083
2014,"Coahuila de Zaragoza",2.28073318,66.973,2936.468
2014,Colima,1.547351624,11.035,713.154
2014,Chiapas,21.07875515,1095.582,5197.565
2014,Chihuahua,5.570658596,205.077,3681.378
2014,"Ciudad de México",1.122851549,99.054,8821.647
2014,Durango,4.641496205,81.292,1751.418
2014,Guanajuato,3.008351086,173.417,5764.52
2014,Guerrero,12.64649923,449.061,3550.872
2014,Hidalgo,7.499737822,213.826,2851.113
2014,Jalisco,2.422694111,190.442,7860.753
2014,México,2.325364488,387.934,16682.718
2014,"Michoacán de Ocampo",5.380670033,246.061,4573.055
2014,Morelos,3.299750998,62.761,1901.992
2014,Nayarit,6.596951277,79.638,1207.194
2014,"Nuevo León",0.904795424,45.452,5023.456
2014,Oaxaca,17.77929022,709.239,3989.13
2014,Puebla,8.91308558,546.744,6134.172
2014,Querétaro,3.079141838,60.934,1978.928
2014,"Quintana Roo",3.810612018,58.729,1541.196
2014,"San Luis Potosí",6.404214883,174.552,2725.58
2014,Sinaloa,3.250235997,96.372,2965.077
2014,Sonora,1.627917153,47.248,2902.359
2014,Tabasco,3.668509289,86.585,2360.223
2014,Tamaulipas,2.597075103,91.145,3509.525
2014,Tlaxcala,5.266050664,66.589,1264.496
2014,"Veracruz de Ignacio de la Llave",6.511928958,520.342,7990.597
2014,Yucatán,5.11139596,106.788,2089.214
2014,Zacatecas,7.266295064,113.83,1566.548
