id,entidad,proporcion_pobreza_1_90_2008,proporcion_pobreza_1_90_2009,proporcion_pobreza_1_90_2010,proporcion_pobreza_1_90_2011,proporcion_pobreza_1_90_2012,proporcion_pobreza_1_90_2013,proporcion_pobreza_1_90_2014,poblacion_pobreza_1_90_2008,poblacion_pobreza_1_90_2009,poblacion_pobreza_1_90_2010,poblacion_pobreza_1_90_2011,poblacion_pobreza_1_90_2012,poblacion_pobreza_1_90_2013,poblacion_pobreza_1_90_2014,poblacion_total_2008,poblacion_total_2009,poblacion_total_2010,poblacion_total_2011,poblacion_total_2012,poblacion_total_2013,poblacion_total_2014
1,Aguascalientes,4.373397403999999,4.6466877115,4.919978019,4.4353112105,3.950644402,3.5163545215000003,3.082064641,50.638999999999996,54.820499999999996,59.001999999999995,53.961,48.92,44.094,39.268,1157.887,1178.56,1199.233,1218.7559999999999,1238.279,1256.18,1274.0810000000001
2,Baja California,2.204965046,2.6673416999999997,3.129718354,2.8702180915,2.610717829,1.7199821494999998,0.82924647,68.86,85.059,101.258,94.2775,87.29700000000001,57.93050000000001,28.564,3122.952,3179.1615,3235.3709999999996,3289.5819999999994,3343.7929999999997,3394.183,3444.573
3,Baja California Sur,2.799130825,2.937121266,3.075111707,3.499385108,3.9236585089999996,3.184529026,2.445399543,17.107,18.622,20.137,23.8365,27.535999999999998,22.908499999999997,18.281,611.154,632.9960000000001,654.8380000000001,678.316,701.794,724.6804999999999,747.567
4,Campeche,5.244156718,6.476549453,7.708942187999999,7.009023614,6.30910504,5.4246880595,4.540271079,42.706,53.811,64.916,59.8545,54.793,47.7615,40.73,814.3539999999999,828.2204999999999,842.087,855.281,868.475,882.779,897.0830000000001
5,Chiapas,24.05800525,26.098502070000002,28.13899889,24.199395629999998,20.25979237,20.66927376,21.07875515,1150.698,1268.4525,1386.207,1206.1015000000002,1025.996,1060.789,1095.5819999999999,4783.015,4854.6495,4926.284000000001,4995.241,5064.198,5130.8814999999995,5197.565
6,Chihuahua,3.835287933,4.8519010245,5.868514116,5.044470708,4.2204273,4.895542948,5.570658596,132.19899999999998,169.8075,207.416,179.888,152.36,178.7185,205.077,3446.9120000000003,3490.6495000000004,3534.387,3572.224,3610.0609999999997,3645.7194999999997,3681.3779999999997
7,Ciudad De Mexico,0.38152200299999994,0.58327477,0.785027537,0.887512066,0.989996595,1.056424072,1.122851549,34.067,51.9285,69.79,78.825,87.86,93.457,99.054,8929.235999999999,8909.685,8890.134,8882.456,8874.778,8848.2125,8821.646999999999
8,Coahuila,2.92219227,2.8139489715000003,2.705705673,2.416531346,2.127357019,2.2040450995,2.28073318,79.155,77.32249999999999,75.49,68.189,60.888000000000005,63.9305,66.973,2708.7540000000004,2749.3920000000003,2790.03,2826.0865000000003,2862.143,2899.3055,2936.468
9,Colima,2.077009964,2.2017231510000004,2.326436338,2.571864035,2.8172917319999997,2.182321678,1.547351624,13.165999999999999,14.3035,15.440999999999999,17.429000000000002,19.417,15.226,11.035,633.8919999999999,648.8054999999999,663.7189999999999,676.4635000000001,689.2080000000001,701.181,713.154
10,Durango,6.46635758,6.3660157315,6.265673883,6.878426799,7.491179715,6.06633796,4.641496205,105.706,105.3455,104.985,116.743,128.501,104.8965,81.292,1634.707,1655.1325000000002,1675.558,1695.461,1715.364,1733.391,1751.418
