periodo,entidad,proporcion_umbral_pobreza,poblacion_umbral_pobreza,poblacion_total
2015,Aguascalientes,580.5916645137,534942,1292901
2015,"Baja California",188.9065510731,1298386,3499474
2015,"Baja California Sur",195.5479291044,263808,770210
2015,Campeche,652.6148308556,426164,911785
2015,Chiapas,10026.207939156902,3965379,5272391
2015,Chihuahua,3460.0761294288004,1549481,3720540
2015,Coahuila,1631.0969136655995,1143965,2970077
2015,Colima,483.5916381807,298130,727540
2015,"Distrito Federal",549.3169923559,3216929,8846359
2015,Durango,2454.1212301191,874504,1769414
2015,Guanajuato,2760.1831182097994,2929714,5831176
2015,Guerrero,6264.791533119499,2477059,3574221
2015,Hidalgo,5222.046169885601,1569711,2888597
2015,Jalisco,6662.738117731599,3484676,7954903
2015,México,8156.4867892925,10126144,16938897
2015,Michoacán,7857.549537455198,2872572,4605970
2015,Morelos,2041.8974791400003,1060603,1927187
2015,Nayarit,1143.7928121954003,563330,1230233
2015,"Nuevo León",1885.5449098165,1423900,5107027
2015,Oaxaca,47525.15487055805,2843965,4019821
2015,Puebla,17317.22357542259,4166325,6210963
2015,Querétaro,906.687016459,795526,2013394
2015,"Quintana Roo",513.8204929414,622848,1587251
2015,"San Luis Potosí",4076.5703115176,1490979,2760851
2015,Sinaloa,856.7882607444001,1138587,2992355
2015,Sonora,2398.2477895806,1089697,2944627
2015,Tabasco,897.0604923579001,1140529,2390920
2015,Tamaulipas,2681.190105557,1703513,3554993
2015,Tlaxcala,4028.8427781655996,794582,1283343
2015,Veracruz,15044.998899681606,4932099,8065135
2015,Yucatán,7146.0706261982,1029829,2126176
2015,Zacatecas,3826.9893470459,935771,1580020
