periodo,entidad,proporcion_pob_mex,poblacion_pob_mex,poblacion_total
2014,Aguascalientes,34.7659184629914,442.866,1273.851
2014,"Baja California",28.5979790987911,984.945,3444.107
2014,"Baja California Sur",30.262705550138,226.234,747.567
2014,Campeche,43.5877968127401,390.959,896.946
2014,"Coahuila de Zaragoza",30.1713848945858,885.786,2935.848
2014,Colima,34.3457373863149,244.938,713.154
2014,Chiapas,76.2085322646278,3960.988,5197.565
2014,Chihuahua,34.3906593418538,1265.546,3679.912
2014,"Ciudad de México",28.3723442465932,2502.468,8820.096
2014,Durango,43.4644385292375,761.244,1751.418
2014,Guanajuato,46.5549973090118,2683.282,5763.682
2014,Guerrero,65.2180746561886,2315.421,3550.275
2014,Hidalgo,54.3035530344919,1547.812,2850.296
2014,Jalisco,35.3684055458809,2780.223,7860.753
2014,México,49.6000080608953,8269.852,16673.086
2014,"Michoacán de Ocampo",59.2473317022968,2708.631,4571.735
2014,Morelos,52.2719765017285,993.73,1901.076
2014,Nayarit,40.5033126630231,488.828,1206.884
2014,"Nuevo León",20.3661807979605,1022.734,5021.727
2014,Oaxaca,66.7500933787568,2662.748,3989.13
2014,Puebla,64.5370230896688,3958.812,6134.172
2014,Querétaro,34.1752912602208,675.679,1977.098
2014,"Quintana Roo",35.882197981308,553.015,1541.196
2014,"San Luis Potosí",49.1014338528718,1338.1,2725.175
2014,Sinaloa,39.3694099105451,1167.066,2964.398
2014,Sonora,29.3582220531643,852.081,2902.359
2014,Tabasco,49.5706492214309,1169.789,2359.842
2014,Tamaulipas,37.9235599339854,1330.707,3508.919
2014,Tlaxcala,58.9275885412053,745.137,1264.496
2014,"Veracruz de Ignacio de la Llave",58.0051778904778,4634.239,7989.354
2014,Yucatán,45.8565051402037,957.908,2088.925
2014,Zacatecas,52.3457937898003,819.788,1566.101
