id,entidad,proporcion_pob_mex_2008,proporcion_pob_mex_2009,proporcion_pob_mex_2010,proporcion_pob_mex_2011,proporcion_pob_mex_2012,proporcion_pob_mex_2013,proporcion_pob_mex_2014,proporcion_pob_mex_2015,proporcion_pob_mex_2016,proporcion_pob_mex_2017,proporcion_pob_mex_2018,poblacion_pob_mex_2008,poblacion_pob_mex_2009,poblacion_pob_mex_2010,poblacion_pob_mex_2011,poblacion_pob_mex_2012,poblacion_pob_mex_2013,poblacion_pob_mex_2014,poblacion_pob_mex_2015,poblacion_pob_mex_2016,poblacion_pob_mex_2017,poblacion_pob_mex_2018,poblacion_total_2008,poblacion_total_2009,poblacion_total_2010,poblacion_total_2011,poblacion_total_2012,poblacion_total_2013,poblacion_total_2014,poblacion_total_2015,poblacion_total_2016,poblacion_total_2017,poblacion_total_2018
1,Aguascalientes,37.63615535911121,37.8834413736631,38.130727388215,37.944792320451,37.758857252687,36.2623878578392,34.7659184629914,31.492568141895504,28.219217820799603,27.201088270769,26.182958720738398,435.32800000000003,446.0825,456.837,462.19849999999997,467.56,455.21299999999997,442.866,406.259,369.652,360.5905,351.529,1156.675,1177.3780000000002,1198.0810000000001,1218.18,1238.279,1256.065,1273.851,1291.8905,1309.93,1326.2585000000001,1342.5870000000002
2,Baja California,25.9636223716803,28.741904850523454,31.520187329366603,30.864781664209602,30.2093759990526,29.403677548921852,28.597979098791104,25.415330144213705,22.232681189636303,22.74476743212265,23.256853674608998,809.721,914.758,1019.795,1014.9669999999999,1010.1389999999999,997.5419999999999,984.945,887.027,789.1089999999999,818.7729999999999,848.437,3118.675,3177.023,3235.3709999999996,3289.5819999999994,3343.7929999999997,3393.95,3444.107,3496.7135,3549.32,3598.718,3648.116
3,Baja California Sur,21.3613141194529,26.1780014410849,30.994688762716898,30.5517620594805,30.1088353562441,30.18577045319105,30.262705550138,26.19437044269095,22.1260353352439,20.098775550136,18.071515765028103,130.536,166.7505,202.965,207.13350000000003,211.30200000000002,218.76800000000003,226.234,200.938,175.642,163.692,151.74200000000002,611.086,632.962,654.8380000000001,678.316,701.794,724.6804999999999,747.567,770.696,793.825,816.75,839.675
4,Campeche,45.857835424615494,48.18141537585085,50.5049953270862,47.584574004255245,44.66415268142429,44.125974747082196,43.587796812740095,43.6777220931029,43.7676473734657,45.0085066840477,46.249365994629706,373.07,399.183,425.296,406.5965,387.897,389.428,390.959,397.997,405.035,422.72900000000004,440.423,813.5360000000001,827.8115,842.087,855.281,868.475,882.7105,896.946,911.1835000000001,925.421,938.85,952.279
5,Chiapas,77.01159786133391,77.74749713564256,78.4833964099512,76.5853703915686,74.687344373186,75.44793831890689,76.2085322646278,76.64495947226251,77.08138667989721,76.7462093043528,76.4110319288084,3682.298,3774.3064999999997,3866.315,3824.315,3782.315,3871.6515,3960.988,4037.469,4113.95,4144.272999999999,4174.596,4781.485,4853.8845,4926.284000000001,4995.241,5064.198,5130.8814999999995,5197.565,5267.358,5337.151,5400.246499999999,5463.342
6,Chihuahua,32.0712986384315,35.4389432991902,38.8065879599489,37.0305445998393,35.254501239729706,34.82258029079175,34.3906593418538,32.4995261973154,30.608393052777,28.44456152346185,26.2807299941467,1105.0910000000001,1238.333,1371.575,1322.1419999999998,1272.7089999999998,1269.1275,1265.546,1207.7535,1149.961,1077.8465,1005.732,3445.732,3490.0595000000003,3534.387,3572.224,3610.0609999999997,3644.9865,3679.9120000000003,3718.4620000000004,3757.012,3791.946,3826.88
7,Ciudad De Mexico,27.6132918874582,28.0787190536809,28.544146219903602,28.7249473114248,28.905748402946,28.6390463247696,28.372344246593197,27.983875438192747,27.5954066297923,29.0729212065217,30.5504357832511,2465.656,2501.4055,2537.155,2551.2380000000003,2565.321,2533.8945,2502.468,2468.446,2434.424,2558.577,2682.73,8929.235999999999,8908.883,8888.53,8881.654,8874.778,8847.437,8820.096,8820.9705,8821.845,8801.58,8781.315
8,Coahuila,32.716439255767604,30.263661504852855,27.810883753938104,27.868423461047854,27.9259631681576,29.0486740313717,30.1713848945858,27.4932756253437,24.815166356101603,23.650890104034204,22.4866138519668,885.7760000000001,830.854,775.932,787.6065000000001,799.2810000000001,842.5335,885.7860000000001,815.8415,745.8969999999999,718.5129999999999,691.1289999999999,2707.434,2748.732,2790.03,2826.0865000000003,2862.143,2898.9955,2935.848,2970.8295,3005.8109999999997,3039.662,3073.513
9,Colima,27.4104045329182,31.05162447224195,34.6928444115657,34.5543623341621,34.4158802567585,34.3808088215367,34.345737386314894,33.98872201195755,33.631706637600196,32.250151759780046,30.868596881959895,173.42700000000002,201.84500000000003,230.263,233.73000000000002,237.197,241.0675,244.938,246.81449999999998,248.69099999999997,242.1555,235.62,632.705,648.212,663.7189999999999,676.4635000000001,689.2080000000001,701.181,713.154,726.304,739.454,751.377,763.3
10,Durango,48.437835670852095,50.005998915281246,51.5741621597104,50.815413258914546,50.0566643581187,46.7605514436781,43.4644385292375,39.7266774216343,35.9889163140311,36.669337601636954,37.3497588892428,791.404,827.7795,864.155,861.4045,858.654,809.949,761.2439999999999,702.2715,643.299,661.6705,680.0419999999999,1633.855,1654.7065,1675.558,1695.461,1715.364,1733.391,1751.418,1769.455,1787.4920000000002,1804.116,1820.74
