periodo,entidad,proporcion_inseguridad_alimentaria,poblacion_inseguridad_alimentaria,poblacion_total
2010,Aguascalientes,328.13607598450005,242184,1198083
2010,"Baja California",77.28513626489999,529388,3235371
2010,"Baja California Sur",142.8990423739,170469,654837
2010,Campeche,431.2996124558,262589,842088
2010,Chiapas,3596.0587689448,1493256,4926289
2010,Chihuahua,1281.500997051,624936,3534387
2010,Coahuila,1029.1712849409,579486,2790030
2010,Colima,226.6205618932,131821,663719
2010,"Distrito Federal",221.29316478169994,1381265,8888531
2010,Durango,1018.5912031697002,339519,1675560
2010,Guanajuato,1217.5045807247002,1323306,5573313
2010,Guerrero,3625.5900731027,1471463,3448190
2010,Hidalgo,2547.5651734103994,783624,2701833
2010,Jalisco,3263.1716075708,1643647,7467401
2010,México,4945.930295770302,4938925,15648934
2010,Michoacán,3396.253455457002,1277917,4430692
2010,Morelos,776.5203280253999,397269,1808804
2010,Nayarit,663.8280887030999,263573,1115259
2010,"Nuevo León",1662.4989355648995,740891,4731410
2010,Oaxaca,17876.741194692786,1022795,3875728
2010,Puebla,6764.176294835497,1620904,5881716
2010,Querétaro,472.21540156760005,393828,1852180
2010,"Quintana Roo",221.34736176910002,297085,1362303
2010,"San Luis Potosí",2245.0814623652,789710,2624588
2010,Sinaloa,664.0453578876001,701211,2859776
2010,Sonora,1389.7012874733,704296,2730568
2010,Tabasco,597.1189233091001,753670,2262147
2010,Tamaulipas,823.0982584855002,454978,3341868
2010,Tlaxcala,1442.3964311817,287862,1192068
2010,Veracruz,6784.491348760804,2016964,7724961
2010,Yucatán,3531.6420094141013,424319,1983718
2010,Zacatecas,1275.2701939579,376578,1512919
