ENTIDAD,ANIO,DIABETES_INGRESOS_MUJER_20_A_59,DIABETES_INGRESOS_MUJER_60_MAS,DIABETES_INGRESOS_HOMBRE_20_A_59,DIABETES_INGRESOS_HOMBRE_60_MAS,DIABETES_TRATAMIENTO_MUJER_20_A_59,DIABETES_TRATAMIENTO_MUJER_60_MAS,DIABETES_TRATAMIENTO_HOMBRE_20_A_59,DIABETES_TRATAMIENTO_HOMBRE_60_MAS,DIABETES_CONTROLADOS_MUJER_20_A_59,DIABETES_CONTROLADOS_MUJER_60_MAS,DIABETES_CONTROLADOS_HOMBRE_20_A_59,DIABETES_CONTROLADOS_HOMBRE_60_MAS,OBESIDAD_INGRESOS_MUJER_20_A_59,OBESIDAD_INGRESOS_MUJER_60_MAS,OBESIDAD_INGRESOS_HOMBRE_20_A_59,OBESIDAD_INGRESOS_HOMBRE_60_MAS,OBESIDAD_TRATAMIENTO_MUJER_20_A_59,OBESIDAD_TRATAMIENTO_MUJER_60_MAS,OBESIDAD_TRATAMIENTO_HOMBRE_20_A_59,OBESIDAD_TRATAMIENTO_HOMBRE_60_MAS,OBESIDAD_CONTROLADOS_MUJER_20_A_59,OBESIDAD_CONTROLADOS_MUJER_60_MAS,OBESIDAD_CONTROLADOS_HOMBRE_20_A_59,OBESIDAD_CONTROLADOS_HOMBRE_60_MAS
AGUASCALIENTES,2015,732,322,404,185,43869,23151,19733,11199,14269,8976,6012,3798,804,304,385,304,44518,17601,12843,17601,7540,3980,2135,1209
"BAJA CALIFORNIA",2015,1784,677,1103,527,91968,51228,49178,32475,28430,17874,14905,11284,1754,427,676,427,83041,33722,28237,33722,16364,7230,5417,3482
"BAJA CALIFORNIA SUR",2015,426,55,278,73,22584,8726,12332,6546,7298,3085,3443,2263,515,42,201,42,25710,8090,8718,8090,4802,1971,1688,939
CAMPECHE,2015,406,103,192,72,39766,18332,13333,8262,15186,7792,5193,3499,426,76,189,76,27623,9139,10242,9139,7339,2594,2738,1210
CHIAPAS,2015,2506,920,994,473,153524,73558,47332,36305,42826,22202,13294,8638,1421,292,431,292,75583,22455,18757,22455,9800,3207,2195,1174
CHIHUAHUA,2015,1512,604,841,437,100602,57402,50281,36501,43769,28351,21251,18097,2142,540,829,540,111576,40721,31433,40721,28242,11329,7462,5313
COAHUILA,2015,399,148,168,97,22497,13019,7020,5952,7065,5034,2501,2331,441,97,96,97,18745,8030,4057,8030,3691,1931,1039,724
COLIMA,2015,280,99,180,82,22652,16198,11861,9957,9601,8011,4485,4875,360,100,183,100,18315,9598,6758,9598,4749,3050,1928,1270
"DISTRITO FEDERAL",2015,3707,2137,3343,1542,241785,158372,132701,80891,87419,68561,48231,34096,4323,860,1454,860,188463,73747,66145,73747,41531,20017,17293,7149
DURANGO,2015,497,170,241,140,35996,20694,16345,14124,16074,9953,7076,6726,705,126,205,126,50343,15092,14135,15092,15162,4300,3496,1942
GUANAJUATO,2015,3031,997,1529,843,378075,287960,161551,143475,209651,180466,89106,88211,2761,907,1084,907,394070,257158,122030,257158,186960,136797,57767,51318
GUERRERO,2015,2365,823,1246,568,253583,146902,98271,67473,86763,56455,33694,25156,2305,469,836,469,203983,60872,53511,60872,40105,14355,10567,5257
HIDALGO,2015,1438,787,616,420,125312,98586,45497,39086,41777,40066,15472,15415,1335,410,475,410,90125,51552,22750,51552,19786,13822,5159,4384
JALISCO,2015,2500,1196,1405,915,174223,126125,88845,77467,74213,57299,35964,34320,2612,845,904,845,153038,77388,47743,77388,40779,22454,13527,9332
MEXICO,2015,10186,5201,5485,3115,520471,313434,255698,156282,193827,124805,88260,60584,8550,1852,3047,1852,269172,98687,93060,98687,63003,25941,24469,10761
MICHOACAN,2015,1815,792,811,465,121892,84479,48066,40357,40663,32447,16651,15520,2583,592,706,592,101488,50962,28641,50962,17967,10599,5447,3739
MORELOS,2015,1448,570,790,388,108517,59462,52851,32379,40699,25812,19529,13988,685,102,344,102,38755,15232,13297,15232,9409,3972,3380,1799
NAYARIT,2015,471,163,245,142,38034,27129,16480,16154,12550,9832,5456,5791,688,150,253,150,31194,14483,10124,14483,6648,3363,2340,1565
"NUEVO LEON",2015,1585,422,746,259,126594,71609,55419,37013,74539,41804,30685,20439,1450,415,646,415,85745,34088,30647,34088,44596,15596,14740,6107
OAXACA,2015,1523,435,789,330,173079,95344,72638,46054,58696,37707,23749,17741,1169,165,348,165,82188,23153,24565,23153,10852,3550,3408,1520
PUEBLA,2015,2780,1087,1501,675,279149,181983,115677,80440,142078,95000,57574,41869,2923,969,1180,969,152335,67997,47592,67997,49531,23896,15465,8635
QUERETARO,2015,976,347,582,239,97326,58386,44842,25983,40075,25354,15994,10532,899,262,352,262,83008,39590,24296,39590,19552,10095,6156,3694
"QUINTANA ROO",2015,700,185,422,148,62030,27810,21614,12593,19557,9363,6813,4529,1170,200,459,200,52507,15857,14449,15857,13897,4188,3441,1379
