estado_1,anio,porc_pob_afiliada_seguro_popular,miles_perso_afiliadas_seguro_popular,porc_pob_afiliada_imss,miles_perso_afilidas_imss,porc_pob_afiliada_issste,miles_perso_afilidas_issste,porc_pob_afiliada_issste_estatal,miles_perso_afilidas_issste_estatal,porc_pob_afiliada_pemex_defensa_o_marina,miles_perso_afiliadas_pemex_defensa_o_marina,porc_pob_seguro_privado_gastos_med,miles_perso_seguro_privado_gastos_med,porc_pob_acces_servicios_med_seg_social_indirect,miles_perso_acces_servicios_med_seg_social_indirect,porc_pob_afiliada_inst_medica_dist_las_ant,miles_perso_afiliadas_inst_medica_dist_las_ant
aguascalientes,2008,25.300,292.080,41.800,483.120,8.200,94.510,0.100,0.640,0.300,3.530,0.900,10.320,2.300,26.620,0.200,2.130
baja_california,2008,12.800,398.200,43.000,1339.500,4.100,128.590,3.400,106.400,0.100,3.630,1.000,31.260,3.800,117.530,1.100,33.280
baja_california_sur,2008,15.800,96.250,40.000,244.600,15.500,94.750,0.400,2.530,0.800,4.950,1.000,6.070,3.200,19.700,0.500,2.920
campeche,2008,35.500,288.500,26.900,218.720,9.400,76.240,0.100,0.730,3.300,26.640,0.400,3.570,2.400,19.150,0.100,0.680
coahuila,2008,6.600,180.040,59.300,1605.780,6.700,180.200,0.200,4.410,0.100,1.830,1.500,40.380,2.400,66.050,2.600,70.740
colima,2008,31.100,196.660,42.500,269.040,7.800,49.100,0.600,3.890,0.600,3.650,1.100,7.150,1.700,10.980,0.400,2.470
chiapas,2008,30.200,1445.000,8.100,388.160,4.300,204.130,1.600,78.860,0.300,15.030,0.100,2.920,1.100,50.990,3.700,176.480
chihuahua,2008,12.700,438.460,44.300,1527.520,4.900,170.540,0.000,1.250,0.600,21.280,1.200,41.890,2.700,91.560,6.500,223.950
ciudad_de_mexico,2008,7.300,648.400,37.800,3378.570,12.600,1128.280,0.100,13.240,1.200,105.870,1.700,148.170,3.900,346.160,2.700,237.680
durango,2008,15.300,250.660,33.500,547.260,9.200,150.820,1.200,19.090,1.500,24.090,0.300,5.530,1.900,31.190,1.100,17.920
guanajuato,2008,26.000,1419.500,31.100,1698.480,4.000,219.790,0.700,38.260,0.300,14.170,0.300,17.750,2.000,109.140,0.500,26.160
guerrero,2008,21.900,741.910,11.100,376.410,8.700,295.100,0.000,1.430,0.700,22.070,0.200,5.680,1.800,62.130,0.200,5.970
hidalgo,2008,27.000,706.700,15.800,412.460,7.500,196.160,0.000,0.950,0.600,14.850,0.200,4.930,1.700,43.800,0.500,11.790
jalisco,2008,16.000,1158.550,44.000,3183.880,2.700,194.860,0.100,9.800,0.200,12.850,0.800,57.770,3.200,232.600,0.400,30.930
mexico,2008,13.000,1955.390,31.000,4681.540,4.000,605.770,1.800,265.200,0.400,62.010,0.300,40.270,2.600,395.910,5.400,814.670
michoacan,2008,17.900,778.030,18.600,809.200,4.900,214.590,0.000,1.230,0.400,16.060,0.200,7.550,1.900,82.520,1.000,43.430
morelos,2008,27.400,480.900,24.800,436.380,6.400,112.070,0.100,0.940,0.700,11.660,0.600,10.170,2.200,38.380,0.500,9.480
nayarit,2008,30.000,319.370,28.100,299.140,10.200,108.480,0.000,0.350,0.400,4.590,0.300,3.710,1.900,19.960,0.300,3.550
nuevo_leon,2008,9.900,453.570,53.500,2444.660,3.600,163.240,0.800,36.440,0.500,24.350,3.200,146.720,3.800,172.310,4.600,208.920
oaxaca,2008,24.500,931.790,11.700,445.790,6.900,263.240,0.100,3.460,0.700,25.590,0.100,2.740,1.500,55.770,0.100,4.870
puebla,2008,18.500,1063.900,18.200,1046.550,2.500,141.060,2.000,115.790,0.300,16.410,0.200,10.880,1.800,102.680,0.900,52.930
queretaro,2008,24.400,435.280,41.000,731.650,4.800,86.120,0.200,3.100,0.200,4.460,1.000,17.600,2.700,47.480,0.500,8.560
quintana_roo,2008,15.300,194.830,37.000,470.070,7.600,97.170,0.500,6.170,0.900,11.180,0.800,10.000,4.300,55.010,0.200,2.630
san_luis_potosi,2008,27.900,713.690,29.200,748.170,6.100,156.290,0.100,3.390,0.200,4.060,0.600,15.960,2.000,50.580,1.000,24.530
sinaloa,2008,22.800,637.230,37.700,1055.160,9.400,263.680,0.500,13.520,0.100,3.140,0.600,15.410,1.700,48.160,0.300,9.150
sonora,2008,14.700,389.850,46.900,1240.860,4.700,124.650,7.900,209.840,0.500,12.380,1.700,45.200,2.900,76.030,1.000,25.480
tabasco,2008,45.900,1013.870,13.700,302.040,3.000,65.260,5.500,120.660,3.500,77.660,0.200,3.340,1.700,37.760,1.400,31.370
tamaulipas,2008,23.300,756.020,37.600,1220.990,6.100,197.270,0.100,3.800,4.600,150.820,0.600,18.950,2.700,88.600,2.400,77.170
tlaxcala,2008,25.800,297.290,20.500,236.470,5.800,67.340,0.300,3.180,0.900,10.390,0.100,1.080,2.200,24.940,0.400,4.500
veracruz,2008,25.400,1923.330,24.000,1820.870,3.100,233.270,0.100,4.980,3.500,267.360,0.400,28.750,1.600,123.740,0.100,10.600
yucatan,2008,25.000,483.040,39.800,767.930,4.600,89.500,0.400,7.960,0.600,10.840,0.600,11.510,2.300,44.560,1.300,24.850
zacatecas,2008,31.700,469.410,27.000,399.100,8.300,122.470,0.100,1.190,0.300,4.420,0.400,6.140,1.500,21.730,0.200,3.300
