Id,Estado,porc_pob_afiliada_seguro_popular_2008,porc_pob_afiliada_seguro_popular_2009,porc_pob_afiliada_seguro_popular_2010,porc_pob_afiliada_seguro_popular_2011,porc_pob_afiliada_seguro_popular_2012,porc_pob_afiliada_seguro_popular_2013,porc_pob_afiliada_seguro_popular_2014,porc_pob_afiliada_seguro_popular_2015,porc_pob_afiliada_seguro_popular_2016,porc_pob_afiliada_seguro_popular_2017,porc_pob_afiliada_seguro_popular_2018,miles_perso_afiliadas_seguro_popular_2008,miles_perso_afiliadas_seguro_popular_2009,miles_perso_afiliadas_seguro_popular_2010,miles_perso_afiliadas_seguro_popular_2011,miles_perso_afiliadas_seguro_popular_2012,miles_perso_afiliadas_seguro_popular_2013,miles_perso_afiliadas_seguro_popular_2014,miles_perso_afiliadas_seguro_popular_2015,miles_perso_afiliadas_seguro_popular_2016,miles_perso_afiliadas_seguro_popular_2017,miles_perso_afiliadas_seguro_popular_2018,porc_pob_afiliada_imss_2008,porc_pob_afiliada_imss_2009,porc_pob_afiliada_imss_2010,porc_pob_afiliada_imss_2011,porc_pob_afiliada_imss_2012,porc_pob_afiliada_imss_2013,porc_pob_afiliada_imss_2014,porc_pob_afiliada_imss_2015,porc_pob_afiliada_imss_2016,porc_pob_afiliada_imss_2017,porc_pob_afiliada_imss_2018,miles_perso_afilidas_imss_2008,miles_perso_afilidas_imss_2009,miles_perso_afilidas_imss_2010,miles_perso_afilidas_imss_2011,miles_perso_afilidas_imss_2012,miles_perso_afilidas_imss_2013,miles_perso_afilidas_imss_2014,miles_perso_afilidas_imss_2015,miles_perso_afilidas_imss_2016,miles_perso_afilidas_imss_2017,miles_perso_afilidas_imss_2018,porc_pob_afiliada_issste_2008,porc_pob_afiliada_issste_2009,porc_pob_afiliada_issste_2010,porc_pob_afiliada_issste_2011,porc_pob_afiliada_issste_2012,porc_pob_afiliada_issste_2013,porc_pob_afiliada_issste_2014,porc_pob_afiliada_issste_2015,porc_pob_afiliada_issste_2016,porc_pob_afiliada_issste_2017,porc_pob_afiliada_issste_2018,miles_perso_afilidas_issste_2008,miles_perso_afilidas_issste_2009,miles_perso_afilidas_issste_2010,miles_perso_afilidas_issste_2011,miles_perso_afilidas_issste_2012,miles_perso_afilidas_issste_2013,miles_perso_afilidas_issste_2014,miles_perso_afilidas_issste_2015,miles_perso_afilidas_issste_2016,miles_perso_afilidas_issste_2017,miles_perso_afilidas_issste_2018,porc_pob_afiliada_issste_estatal_2008,porc_pob_afiliada_issste_estatal_2009,porc_pob_afiliada_issste_estatal_2010,porc_pob_afiliada_issste_estatal_2011,porc_pob_afiliada_issste_estatal_2012,porc_pob_afiliada_issste_estatal_2013,porc_pob_afiliada_issste_estatal_2014,porc_pob_afiliada_issste_estatal_2015,porc_pob_afiliada_issste_estatal_2016,porc_pob_afiliada_issste_estatal_2017,porc_pob_afiliada_issste_estatal_2018,miles_perso_afilidas_issste_estatal_2008,miles_perso_afilidas_issste_estatal_2009,miles_perso_afilidas_issste_estatal_2010,miles_perso_afilidas_issste_estatal_2011,miles_perso_afilidas_issste_estatal_2012,miles_perso_afilidas_issste_estatal_2013,miles_perso_afilidas_issste_estatal_2014,miles_perso_afilidas_issste_estatal_2015,miles_perso_afilidas_issste_estatal_2016,miles_perso_afilidas_issste_estatal_2017,miles_perso_afilidas_issste_estatal_2018,porc_pob_afiliada_pemex_defensa_o_marina_2008,porc_pob_afiliada_pemex_defensa_o_marina_2009,porc_pob_afiliada_pemex_defensa_o_marina_2010,porc_pob_afiliada_pemex_defensa_o_marina_2011,porc_pob_afiliada_pemex_defensa_o_marina_2012,porc_pob_afiliada_pemex_defensa_o_marina_2013,porc_pob_afiliada_pemex_defensa_o_marina_2014,porc_pob_afiliada_pemex_defensa_o_marina_2015,porc_pob_afiliada_pemex_defensa_o_marina_2016,porc_pob_afiliada_pemex_defensa_o_marina_2017,porc_pob_afiliada_pemex_defensa_o_marina_2018,miles_perso_afiliadas_pemex_defensa_o_marina_2008,miles_perso_afiliadas_pemex_defensa_o_marina_2009,miles_perso_afiliadas_pemex_defensa_o_marina_2010,miles_perso_afiliadas_pemex_defensa_o_marina_2011,miles_perso_afiliadas_pemex_defensa_o_marina_2012,miles_perso_afiliadas_pemex_defensa_o_marina_2013,miles_perso_afiliadas_pemex_defensa_o_marina_2014,miles_perso_afiliadas_pemex_defensa_o_marina_2015,miles_perso_afiliadas_pemex_defensa_o_marina_2016,miles_perso_afiliadas_pemex_defensa_o_marina_2017,miles_perso_afiliadas_pemex_defensa_o_marina_2018,porc_pob_seguro_privado_gastos_med_2008,porc_pob_seguro_privado_gastos_med_2009,porc_pob_seguro_privado_gastos_med_2010,porc_pob_seguro_privado_gastos_med_2011,porc_pob_seguro_privado_gastos_med_2012,porc_pob_seguro_privado_gastos_med_2013,porc_pob_seguro_privado_gastos_med_2014,porc_pob_seguro_privado_gastos_med_2015,porc_pob_seguro_privado_gastos_med_2016,porc_pob_seguro_privado_gastos_med_2017,porc_pob_seguro_privado_gastos_med_2018,miles_perso_seguro_privado_gastos_med_2008,miles_perso_seguro_privado_gastos_med_2009,miles_perso_seguro_privado_gastos_med_2010,miles_perso_seguro_privado_gastos_med_2011,miles_perso_seguro_privado_gastos_med_2012,miles_perso_seguro_privado_gastos_med_2013,miles_perso_seguro_privado_gastos_med_2014,miles_perso_seguro_privado_gastos_med_2015,miles_perso_seguro_privado_gastos_med_2016,miles_perso_seguro_privado_gastos_med_2017,miles_perso_seguro_privado_gastos_med_2018,porc_pob_acces_servicios_med_seg_social_indirect_2008,porc_pob_acces_servicios_med_seg_social_indirect_2009,porc_pob_acces_servicios_med_seg_social_indirect_2010,porc_pob_acces_servicios_med_seg_social_indirect_2011,porc_pob_acces_servicios_med_seg_social_indirect_2012,porc_pob_acces_servicios_med_seg_social_indirect_2013,porc_pob_acces_servicios_med_seg_social_indirect_2014,porc_pob_acces_servicios_med_seg_social_indirect_2015,porc_pob_acces_servicios_med_seg_social_indirect_2016,porc_pob_acces_servicios_med_seg_social_indirect_2017,porc_pob_acces_servicios_med_seg_social_indirect_2018,miles_perso_acces_servicios_med_seg_social_indirect_2008,miles_perso_acces_servicios_med_seg_social_indirect_2009,miles_perso_acces_servicios_med_seg_social_indirect_2010,miles_perso_acces_servicios_med_seg_social_indirect_2011,miles_perso_acces_servicios_med_seg_social_indirect_2012,miles_perso_acces_servicios_med_seg_social_indirect_2013,miles_perso_acces_servicios_med_seg_social_indirect_2014,miles_perso_acces_servicios_med_seg_social_indirect_2015,miles_perso_acces_servicios_med_seg_social_indirect_2016,miles_perso_acces_servicios_med_seg_social_indirect_2017,miles_perso_acces_servicios_med_seg_social_indirect_2018,porc_pob_afiliada_inst_medica_dist_las_ant_2008,porc_pob_afiliada_inst_medica_dist_las_ant_2009,porc_pob_afiliada_inst_medica_dist_las_ant_2010,porc_pob_afiliada_inst_medica_dist_las_ant_2011,porc_pob_afiliada_inst_medica_dist_las_ant_2012,porc_pob_afiliada_inst_medica_dist_las_ant_2013,porc_pob_afiliada_inst_medica_dist_las_ant_2014,porc_pob_afiliada_inst_medica_dist_las_ant_2015,porc_pob_afiliada_inst_medica_dist_las_ant_2016,porc_pob_afiliada_inst_medica_dist_las_ant_2017,porc_pob_afiliada_inst_medica_dist_las_ant_2018,miles_perso_afiliadas_inst_medica_dist_las_ant_2008,miles_perso_afiliadas_inst_medica_dist_las_ant_2009,miles_perso_afiliadas_inst_medica_dist_las_ant_2010,miles_perso_afiliadas_inst_medica_dist_las_ant_2011,miles_perso_afiliadas_inst_medica_dist_las_ant_2012,miles_perso_afiliadas_inst_medica_dist_las_ant_2013,miles_perso_afiliadas_inst_medica_dist_las_ant_2014,miles_perso_afiliadas_inst_medica_dist_las_ant_2015,miles_perso_afiliadas_inst_medica_dist_las_ant_2016,miles_perso_afiliadas_inst_medica_dist_las_ant_2017,miles_perso_afiliadas_inst_medica_dist_las_ant_2018
1,Aguascalientes,25.3,28.200000000000003,31.1,33.7,36.3,37.099999999999994,37.9,35.8,33.7,32.35,31.0,292.08,332.325,372.57,411.17499999999995,449.78,466.445,483.11,462.02,440.93,428.505,416.08,41.8,43.2,44.6,44.8,45.0,46.9,48.8,50.95,53.1,53.55,54.0,483.12,508.95,534.78,545.755,556.73,589.4300000000001,622.13,659.1700000000001,696.21,710.345,724.48,8.2,7.949999999999999,7.7,7.7,7.7,7.65,7.6,6.9,6.2,6.4,6.6,94.51,93.25,91.99,93.455,94.92,96.02000000000001,97.12,89.345,81.57,85.1,88.63,0.1,0.1,0.1,0.05,0.0,0.05,0.1,0.2,0.3,0.35,0.4,0.64,1.165,1.69,0.94,0.19,0.7450000000000001,1.3,2.295,3.29,4.135,4.98,0.3,0.15,0.0,0.1,0.2,0.2,0.2,0.15000000000000002,0.1,0.1,0.1,3.53,1.9549999999999998,0.38,1.495,2.61,2.295,1.98,1.72,1.46,1.475,1.49,0.9,1.05,1.2,1.2999999999999998,1.4,1.65,1.9,1.15,0.4,0.65,0.9,10.32,12.39,14.46,15.940000000000001,17.42,20.91,24.4,14.995,5.59,8.934999999999999,12.28,2.3,2.2,2.1,2.1,2.1,2.25,2.4,2.0,1.6,1.7000000000000002,1.8,26.62,25.91,25.2,25.48,25.76,28.445,31.13,26.195,21.26,22.42,23.58,0.2,0.25,0.3,0.25,0.2,0.30000000000000004,0.4,0.45,0.5,0.45,0.4,2.13,3.135,4.14,3.1399999999999997,2.14,3.825,5.51,5.949999999999999,6.39,5.715,5.04
2,Baja California,12.8,15.65,18.5,25.4,32.3,30.2,28.1,27.4,26.7,26.7,26.7,398.2,497.855,597.51,839.175,1080.84,1024.5349999999999,968.23,958.015,947.8,961.39,974.98,43.0,41.65,40.3,40.0,39.7,42.25,44.8,47.65,50.5,50.6,50.7,1339.5,1321.58,1303.66,1315.67,1327.68,1434.68,1541.68,1666.67,1791.66,1820.2800000000002,1848.9,4.1,3.75,3.4,3.55,3.7,3.7,3.7,3.4000000000000004,3.1,3.0,2.9,128.59,119.265,109.94,116.03,122.12,124.70500000000001,127.29,118.49000000000001,109.69,108.655,107.62,3.4,3.65,3.9,3.4,2.9,3.0,3.1,3.7,4.3,4.0,3.7,106.4,115.855,125.31,110.35,95.39,101.85,108.31,129.805,151.3,142.7,134.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.1,0.2,0.3,3.63,2.665,1.7,3.215,4.73,8.015,11.3,7.220000000000001,3.14,6.715,10.29,1.0,1.4,1.8,1.65,1.5,1.3,1.1,1.4500000000000002,1.8,1.4500000000000002,1.1,31.26,45.32,59.38,54.06,48.74,43.81,38.88,51.525000000000006,64.17,51.39,38.61,3.8,3.8499999999999996,3.9,3.65,3.4,3.3,3.2,3.2,3.2,3.05,2.9,117.53,122.535,127.54,121.24000000000001,114.94,113.345,111.75,112.63499999999999,113.52,109.745,105.97,1.1,1.4,1.7,1.75,1.8,2.0,2.2,1.6,1.0,0.9,0.8,33.28,43.35,53.42,56.06,58.7,68.035,77.37,55.915000000000006,34.46,32.68,30.9
3,Baja California Sur,15.8,20.0,24.2,27.35,30.5,30.4,30.3,30.200000000000003,30.1,28.200000000000003,26.3,96.25,127.31,158.37,186.32999999999998,214.29,220.56,226.83,233.07,239.31,230.245,221.18,40.0,40.55,41.1,41.25,41.4,44.0,46.6,47.45,48.3,50.8,53.3,244.6,256.995,269.39,279.815,290.24,319.23,348.22,365.86,383.5,415.525,447.55,15.5,16.1,16.7,17.15,17.6,14.850000000000001,12.1,12.55,13.0,12.8,12.6,94.75,101.92,109.09,116.39,123.69,107.235,90.78,97.105,103.43,104.535,105.64,0.4,0.25,0.1,0.1,0.1,0.1,0.1,0.15000000000000002,0.2,0.15000000000000002,0.1,2.53,1.45,0.37,0.685,1.0,0.75,0.5,1.17,1.84,1.245,0.65,0.8,1.2000000000000002,1.6,1.4500000000000002,1.3,1.1,0.9,0.75,0.6,0.8,1.0,4.95,7.6850000000000005,10.42,9.665,8.91,7.84,6.77,5.619999999999999,4.47,6.275,8.08,1.0,1.25,1.5,1.4,1.3,1.25,1.2,1.2999999999999998,1.4,1.1,0.8,6.07,8.004999999999999,9.94,9.61,9.28,9.149999999999999,9.02,10.165,11.31,9.115,6.92,3.2,2.8,2.4,2.4,2.4,2.45,2.5,2.4,2.3,2.25,2.2,19.7,17.855,16.01,16.595,17.18,17.945,18.71,18.415,18.12,18.115000000000002,18.11,0.5,0.4,0.3,0.35,0.4,0.4,0.4,0.4,0.4,0.5,0.6,2.92,2.41,1.9,2.31,2.72,2.76,2.8,3.1849999999999996,3.57,4.2,4.83
4,Campeche,35.5,40.25,45.0,49.4,53.8,53.9,54.0,55.3,56.6,55.25,53.9,288.5,333.91499999999996,379.33,423.13,466.93,475.57500000000005,484.22,504.055,523.89,518.5,513.11,26.9,27.6,28.3,28.55,28.8,29.200000000000003,29.6,29.35,29.1,29.200000000000003,29.3,218.72,228.5,238.28,244.35500000000002,250.43,257.95500000000004,265.48,267.15999999999997,268.84,273.86,278.88,9.4,9.100000000000001,8.8,8.95,9.1,7.85,6.6,6.6,6.6,6.4,6.2,76.24,75.08,73.92,76.435,78.95,69.01,59.07,60.035,61.0,59.85,58.7,0.1,0.05,0.0,0.2,0.4,0.25,0.1,0.2,0.3,0.25,0.2,0.73,0.365,0.0,1.66,3.32,1.9749999999999999,0.63,1.6550000000000002,2.68,2.2350000000000003,1.79,3.3,3.0,2.7,2.4000000000000004,2.1,2.9000000000000004,3.7,3.55,3.4,3.3,3.2,26.64,24.89,23.14,20.54,17.94,25.494999999999997,33.05,32.269999999999996,31.49,30.865,30.24,0.4,0.6000000000000001,0.8,0.9500000000000001,1.1,0.9,0.7,0.6,0.5,0.4,0.3,3.57,5.1049999999999995,6.64,7.93,9.22,7.540000000000001,5.86,5.335,4.81,3.625,2.44,2.4,2.0,1.6,1.5,1.4,1.5,1.6,1.4500000000000002,1.3,1.2000000000000002,1.1,19.15,16.335,13.52,12.895,12.27,13.335,14.4,13.39,12.38,11.205,10.03,0.1,0.15000000000000002,0.2,0.4,0.6,0.35,0.1,0.15000000000000002,0.2,0.15000000000000002,0.1,0.68,1.11,1.54,3.39,5.24,3.13,1.02,1.62,2.22,1.81,1.4
5,Chiapas,30.2,39.4,48.6,54.85,61.1,64.05,67.0,69.4,71.8,70.6,69.4,1445.0,1919.62,2394.24,2744.895,3095.55,3289.9350000000004,3484.32,3657.67,3831.02,3812.37,3793.72,8.1,9.35,10.6,10.35,10.1,9.899999999999999,9.7,10.649999999999999,11.6,10.55,9.5,388.16,454.41999999999996,520.68,516.4649999999999,512.25,508.93,505.61,563.135,620.66,569.94,519.22,4.3,4.25,4.2,3.7,3.2,3.4000000000000004,3.6,3.35,3.1,3.5999999999999996,4.1,204.13,205.785,207.44,184.925,162.41,174.505,186.6,176.93,167.26,194.71499999999997,222.17,1.6,1.55,1.5,1.65,1.8,1.55,1.3,1.5,1.7,1.35,1.0,78.86,75.83,72.8,81.755,90.71,79.85,68.99,79.02,89.05,71.09,53.13,0.3,0.3,0.3,0.4,0.5,0.65,0.8,0.6000000000000001,0.4,0.4,0.4,15.03,14.965,14.9,18.96,23.02,32.055,41.09,30.535000000000004,19.98,20.515,21.05,0.1,0.1,0.1,0.1,0.1,0.15000000000000002,0.2,0.25,0.3,0.25,0.2,2.92,3.8449999999999998,4.77,6.02,7.27,8.235,9.2,12.995,16.79,12.515,8.24,1.1,1.1,1.1,1.05,1.0,0.95,0.9,0.95,1.0,0.9,0.8,50.99,52.39,53.79,52.849999999999994,51.91,48.644999999999996,45.38,50.335,55.29,48.195,41.1,3.7,2.2,0.7,0.6,0.5,0.6,0.7,0.7,0.7,0.6,0.5,176.48,104.42999999999999,32.38,28.055,23.73,29.770000000000003,35.81,36.57,37.33,33.435,29.54
6,Chihuahua,12.7,19.1,25.5,29.5,33.5,32.5,31.5,32.85,34.2,31.950000000000003,29.7,438.46,669.685,900.91,1055.08,1209.25,1183.315,1157.38,1221.5500000000002,1285.72,1210.665,1135.61,44.3,44.95,45.6,46.5,47.4,49.15,50.9,51.2,51.5,52.45,53.4,1527.52,1569.7649999999999,1612.01,1661.17,1710.33,1791.6100000000001,1872.89,1904.1,1935.31,1988.695,2042.08,4.9,5.050000000000001,5.2,5.050000000000001,4.9,4.65,4.4,4.65,4.9,4.5,4.1,170.54,176.36,182.18,180.2,178.22,169.59,160.96,173.05,185.14,170.8,156.46,0.0,0.05,0.1,0.1,0.1,0.1,0.1,0.30000000000000004,0.5,1.6,2.7,1.25,1.99,2.73,2.91,3.09,4.105,5.12,11.774999999999999,18.43,60.775,103.12,0.6,0.4,0.2,0.35,0.5,0.4,0.3,0.25,0.2,0.2,0.2,21.28,13.47,5.66,11.725,17.79,13.55,9.31,9.08,8.85,7.73,6.61,1.2,1.15,1.1,1.15,1.2,1.2999999999999998,1.4,1.25,1.1,1.25,1.4,41.89,39.95,38.01,41.545,45.08,48.835,52.59,47.510000000000005,42.43,48.8,55.17,2.7,2.5,2.3,2.05,1.8,2.05,2.3,2.25,2.2,2.4000000000000004,2.6,91.56,86.21000000000001,80.86,73.655,66.45,74.715,82.98,83.27000000000001,83.56,91.5,99.44,6.5,6.3,6.1,6.5,6.9,5.65,4.4,4.15,3.9,2.8,1.7,223.95,219.325,214.7,231.575,248.45,205.25,162.05,153.73000000000002,145.41,105.615,65.82
7,Ciudad De Mexico,7.3,11.25,15.2,20.6,26.0,25.45,24.9,25.65,26.4,25.4,24.4,648.4,1000.72,1353.04,1829.495,2305.95,2250.645,2195.34,2263.525,2331.71,2236.56,2141.41,37.8,37.45,37.1,37.2,37.3,38.849999999999994,40.4,41.7,43.0,42.75,42.5,3378.57,3339.865,3301.16,3305.4049999999997,3309.65,3435.33,3561.01,3678.8900000000003,3796.77,3762.3050000000003,3727.84,12.6,12.6,12.6,12.85,13.1,14.0,14.9,13.45,12.0,12.55,13.1,1128.28,1123.945,1119.61,1142.385,1165.16,1240.0500000000002,1314.94,1184.68,1054.42,1102.3200000000002,1150.22,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.1,0.2,0.2,0.2,13.24,9.485,5.73,4.25,2.77,2.755,2.74,8.530000000000001,14.32,15.995000000000001,17.67,1.2,1.2,1.2,1.1,1.0,0.9,0.8,0.75,0.7,0.8,0.9,105.87,105.065,104.26,97.995,91.73,79.89500000000001,68.06,65.695,63.33,72.305,81.28,1.7,1.75,1.8,1.5,1.2,1.5,1.8,1.7000000000000002,1.6,1.7000000000000002,1.8,148.17,153.35,158.53,133.35500000000002,108.18,134.97,161.76,149.575,137.39,145.89999999999998,154.41,3.9,3.55,3.2,2.6,2.0,2.2,2.4,2.65,2.9,2.5999999999999996,2.3,346.16,317.44500000000005,288.73,232.81,176.89,196.175,215.46,236.97500000000002,258.49,228.06,197.63,2.7,2.5,2.3,1.7,1.1,1.4500000000000002,1.8,1.4,1.0,1.55,2.1,237.68,222.315,206.95,153.125,99.3,126.83500000000001,154.37,122.94,91.51,136.175,180.84
8,Coahuila,6.6,10.35,14.1,19.25,24.4,23.95,23.5,24.4,25.3,21.15,17.0,180.04,286.115,392.19,545.875,699.56,695.13,690.7,725.27,759.84,641.815,523.79,59.3,60.55,61.8,61.2,60.6,60.3,60.0,61.6,63.2,64.6,66.0,1605.78,1664.44,1723.1,1729.4299999999998,1735.76,1749.24,1762.72,1831.045,1899.37,1963.815,2028.26,6.7,6.65,6.6,6.5,6.4,6.4,6.4,6.25,6.1,5.9,5.7,180.2,182.845,185.49,184.925,184.36,186.385,188.41,185.695,182.98,179.14,175.3,0.2,0.35,0.5,0.3,0.1,0.25,0.4,0.30000000000000004,0.2,0.15000000000000002,0.1,4.41,9.125,13.84,8.825,3.81,8.215,12.62,9.559999999999999,6.5,4.805,3.11,0.1,0.2,0.3,0.2,0.1,0.25,0.4,0.25,0.1,0.15000000000000002,0.2,1.83,5.09,8.35,6.055,3.76,7.46,11.16,7.375,3.59,5.5,7.41,1.5,1.8,2.1,2.0,1.9,2.0,2.1,1.7000000000000002,1.3,1.25,1.2,40.38,49.315,58.25,56.345,54.44,58.42,62.4,50.915,39.43,38.565,37.7,2.4,2.45,2.5,2.4,2.3,2.25,2.2,2.05,1.9,2.05,2.2,66.05,67.47,68.89,67.59,66.29,66.155,66.02,61.535,57.05,61.99,66.93,2.6,3.25,3.9,3.25,2.6,2.4000000000000004,2.2,2.45,2.7,2.1,1.5,70.74,90.37,110.0,92.03,74.06,69.33,64.6,73.535,82.47,63.815,45.16
9,Colima,31.1,35.6,40.1,39.6,39.1,40.5,41.9,40.3,38.7,38.400000000000006,38.1,196.66,231.31,265.96,267.78,269.6,284.315,299.03,292.695,286.36,288.645,290.93,42.5,40.3,38.1,40.3,42.5,41.35,40.2,42.55,44.9,45.8,46.7,269.04,260.97,252.9,273.005,293.11,289.95500000000004,286.8,309.47,332.14,344.405,356.67,7.8,7.85,7.9,7.75,7.6,7.05,6.5,6.45,6.4,6.75,7.1,49.1,50.615,52.13,52.425,52.72,49.394999999999996,46.07,46.765,47.46,50.900000000000006,54.34,0.6,0.5,0.4,0.25,0.1,0.35,0.6,0.35,0.1,0.05,0.0,3.89,3.12,2.35,1.5350000000000001,0.72,2.38,4.04,2.355,0.67,0.51,0.35,0.6,0.8500000000000001,1.1,1.15,1.2,1.2,1.2,1.2999999999999998,1.4,1.15,0.9,3.65,5.53,7.41,7.78,8.15,8.3,8.45,9.545,10.64,8.655000000000001,6.67,1.1,0.8,0.5,0.65,0.8,0.9500000000000001,1.1,0.9,0.7,0.75,0.8,7.15,5.13,3.11,4.175,5.24,6.635,8.03,6.68,5.33,5.67,6.01,1.7,1.5499999999999998,1.4,1.35,1.3,1.4500000000000002,1.6,1.6,1.6,1.5,1.4,10.98,10.105,9.23,8.975000000000001,8.72,10.22,11.72,11.780000000000001,11.84,11.375,10.91,0.4,0.45,0.5,0.5,0.5,0.7,0.9,0.6,0.3,0.4,0.5,2.47,3.005,3.54,3.455,3.37,4.775,6.18,4.295,2.41,3.02,3.63
10,Durango,15.3,23.85,32.4,38.05,43.7,42.3,40.9,41.849999999999994,42.8,41.0,39.2,250.66,397.05000000000007,543.44,646.51,749.58,732.7650000000001,715.95,740.82,765.69,739.355,713.02,33.5,32.5,31.5,32.1,32.7,35.3,37.9,38.9,39.9,41.25,42.6,547.26,537.665,528.07,544.105,560.14,611.615,663.09,687.825,712.56,743.925,775.29,9.2,9.85,10.5,10.6,10.7,10.399999999999999,10.1,10.45,10.8,10.350000000000001,9.9,150.82,163.07999999999998,175.34,179.805,184.27,180.51,176.75,185.12,193.49,186.82,180.15,1.2,0.6,0.0,0.05,0.1,0.1,0.1,0.1,0.1,0.15000000000000002,0.2,19.09,9.765,0.44,1.445,2.45,2.47,2.49,1.8800000000000001,1.27,2.4050000000000002,3.54,1.5,1.0,0.5,0.45,0.4,0.55,0.7,0.6,0.5,0.4,0.3,24.09,16.54,8.99,8.035,7.08,9.325,11.57,9.815000000000001,8.06,6.315,4.57,0.3,0.3,0.3,0.35,0.4,0.4,0.4,0.4,0.4,0.55,0.7,5.53,5.03,4.53,5.305,6.08,6.325,6.57,6.905,7.24,10.245000000000001,13.25,1.9,1.7,1.5,1.55,1.6,1.6,1.6,1.6,1.6,1.5,1.4,31.19,28.475,25.76,26.39,27.02,27.59,28.16,28.494999999999997,28.83,27.15,25.47,1.1,0.6000000000000001,0.1,0.05,0.0,0.05,0.1,0.2,0.3,0.25,0.2,17.92,9.725000000000001,1.53,1.175,0.82,1.5750000000000002,2.33,3.505,4.68,4.16,3.64
