estado_1,anio,porc_la_pob_ocupada_sin_acces_seguridad_social,miles_perso_ocupadas_sin_acces_seguridadsocial,porc_la_pob_no_economi_activa_sin_acces_seguridad_social,miles_perso_no_economi_activa_sin_acces_seguridad_social,porc_la_pob_65_anios_mas_sin_acces_seguridad_social,miles_perso_65_anios_mas_sin_acces_seguridad_social
aguascalientes,2008,51.700,222.610,45.000,134.520,24.700,14.630
baja_california,2008,52.000,659.370,45.900,361.920,32.700,52.100
baja_california_sur,2008,51.100,133.350,41.000,58.620,16.500,4.490
campeche,2008,59.200,200.430,51.700,106.400,32.100,16.040
coahuila,2008,37.400,380.450,29.700,224.660,15.900,28.040
colima,2008,55.300,155.010,42.500,69.740,29.200,15.870
chiapas,2008,83.500,1369.560,78.300,984.220,36.300,101.090
chihuahua,2008,54.400,732.760,44.400,406.040,28.900,65.150
ciudad_de_mexico,2008,51.200,2045.610,41.000,1007.240,13.400,99.170
durango,2008,55.900,320.110,48.700,218.090,27.000,30.770
guanajuato,2008,63.500,1363.750,58.200,748.950,37.800,119.460
guerrero,2008,78.800,967.870,70.800,559.670,45.900,116.740
hidalgo,2008,75.100,743.690,69.600,487.220,44.600,88.620
jalisco,2008,55.500,1667.150,50.500,826.780,36.900,154.470
mexico,2008,66.600,4155.370,58.000,2195.640,39.900,318.220
michoacan,2008,75.700,1210.970,67.900,799.050,42.000,134.780
morelos,2008,71.000,506.870,61.900,270.100,40.800,53.540
nayarit,2008,63.900,268.610,57.600,161.510,33.600,26.690
nuevo_leon,2008,41.500,832.230,35.300,407.470,20.000,57.650
oaxaca,2008,78.700,1228.260,70.800,590.690,49.500,141.610
puebla,2008,77.400,1748.030,65.700,846.550,48.900,168.110
queretaro,2008,52.700,378.840,50.700,225.820,31.200,32.030
quintana_roo,2008,55.000,309.370,53.900,155.430,34.100,12.130
san_luis_potosi,2008,61.000,578.610,55.600,378.470,34.000,62.570
sinaloa,2008,55.500,619.270,48.600,348.960,23.500,42.570
sonora,2008,49.100,544.560,37.900,260.370,21.300,38.480
tabasco,2008,78.200,596.550,70.100,442.460,32.800,35.210
tamaulipas,2008,53.900,680.380,44.000,422.720,29.900,74.820
tlaxcala,2008,73.900,353.100,64.200,172.400,40.400,29.790
veracruz,2008,70.500,2110.460,61.300,1217.730,47.000,267.560
yucatan,2008,61.000,500.590,47.100,214.630,26.900,32.640
zacatecas,2008,66.400,381.840,58.300,222.240,32.700,38.150
