estado_1,anio,porc_la_pob_ocupada_sin_acces_seguridad_social,miles_perso_ocupadas_sin_acces_seguridadsocial,porc_la_pob_no_economi_activa_sin_acces_seguridad_social,miles_perso_no_economi_activa_sin_acces_seguridad_social,porc_la_pob_65_anios_mas_sin_acces_seguridad_social,miles_perso_65_anios_mas_sin_acces_seguridad_social
aguascalientes,2014,44.900,242.580,36.300,111.540,10.200,8.170
baja_california,2014,57.000,815.810,44.700,412.180,27.600,52.410
baja_california_sur,2014,52.800,173.670,37.600,68.590,10.800,3.570
campeche,2014,62.700,277.000,48.200,83.320,15.900,9.050
coahuila,2014,35.800,440.170,28.400,214.190,8.600,17.550
colima,2014,54.400,179.470,41.000,66.310,11.300,6.130
chiapas,2014,83.600,1753.500,72.500,833.150,20.700,65.230
chihuahua,2014,46.000,677.760,37.000,372.020,15.700,43.750
ciudad_de_mexico,2014,48.600,1860.650,37.200,1029.230,9.400,85.790
durango,2014,53.600,352.150,43.100,209.350,9.900,13.390
guanajuato,2014,60.000,1364.010,51.800,778.550,17.800,70.980
guerrero,2014,77.600,1158.010,67.000,545.100,22.700,69.340
hidalgo,2014,70.800,890.450,58.300,421.850,22.800,53.680
jalisco,2014,51.100,1742.080,42.100,827.660,17.700,121.760
mexico,2014,64.400,4291.220,49.900,2358.310,22.700,246.570
michoacan,2014,71.400,1418.420,61.000,641.620,21.200,80.130
morelos,2014,68.700,573.070,53.500,247.880,17.600,26.200
nayarit,2014,54.500,276.300,47.000,144.040,14.100,14.400
nuevo_leon,2014,34.500,750.540,27.400,393.680,8.000,29.810
oaxaca,2014,78.900,1354.310,66.800,627.820,20.800,68.280
puebla,2014,76.000,1930.250,66.900,1023.840,29.700,120.840
queretaro,2014,53.800,452.840,48.200,249.190,13.900,16.860
quintana_roo,2014,52.000,363.230,50.300,165.900,20.100,10.610
san_luis_potosi,2014,59.100,699.130,50.900,344.360,11.800,28.330
sinaloa,2014,50.800,602.950,38.800,331.990,8.800,23.590
sonora,2014,43.700,549.030,34.100,246.070,11.800,25.170
tabasco,2014,78.000,752.570,63.900,405.910,23.800,34.360
tamaulipas,2014,46.800,698.980,38.700,354.330,12.700,35.680
tlaxcala,2014,74.100,406.060,60.200,180.300,23.300,21.130
veracruz,2014,72.100,2434.500,58.700,1304.630,18.400,118.200
yucatan,2014,57.400,584.870,43.300,190.770,13.200,20.240
zacatecas,2014,64.100,376.430,54.300,241.670,11.400,16.010
