Id,Estado,porc_la_pob_ocupada_sin_acces_seguridad_social_2008,porc_la_pob_ocupada_sin_acces_seguridad_social_2009,porc_la_pob_ocupada_sin_acces_seguridad_social_2010,porc_la_pob_ocupada_sin_acces_seguridad_social_2011,porc_la_pob_ocupada_sin_acces_seguridad_social_2012,porc_la_pob_ocupada_sin_acces_seguridad_social_2013,porc_la_pob_ocupada_sin_acces_seguridad_social_2014,porc_la_pob_ocupada_sin_acces_seguridad_social_2015,porc_la_pob_ocupada_sin_acces_seguridad_social_2016,porc_la_pob_ocupada_sin_acces_seguridad_social_2017,porc_la_pob_ocupada_sin_acces_seguridad_social_2018,miles_perso_ocupadas_sin_acces_seguridadsocial_2008,miles_perso_ocupadas_sin_acces_seguridadsocial_2009,miles_perso_ocupadas_sin_acces_seguridadsocial_2010,miles_perso_ocupadas_sin_acces_seguridadsocial_2011,miles_perso_ocupadas_sin_acces_seguridadsocial_2012,miles_perso_ocupadas_sin_acces_seguridadsocial_2013,miles_perso_ocupadas_sin_acces_seguridadsocial_2014,miles_perso_ocupadas_sin_acces_seguridadsocial_2015,miles_perso_ocupadas_sin_acces_seguridadsocial_2016,miles_perso_ocupadas_sin_acces_seguridadsocial_2017,miles_perso_ocupadas_sin_acces_seguridadsocial_2018,porc_la_pob_no_economi_activa_sin_acces_seguridad_social_2008,porc_la_pob_no_economi_activa_sin_acces_seguridad_social_2009,porc_la_pob_no_economi_activa_sin_acces_seguridad_social_2010,porc_la_pob_no_economi_activa_sin_acces_seguridad_social_2011,porc_la_pob_no_economi_activa_sin_acces_seguridad_social_2012,porc_la_pob_no_economi_activa_sin_acces_seguridad_social_2013,porc_la_pob_no_economi_activa_sin_acces_seguridad_social_2014,porc_la_pob_no_economi_activa_sin_acces_seguridad_social_2015,porc_la_pob_no_economi_activa_sin_acces_seguridad_social_2016,porc_la_pob_no_economi_activa_sin_acces_seguridad_social_2017,porc_la_pob_no_economi_activa_sin_acces_seguridad_social_2018,miles_perso_no_economi_activa_sin_acces_seguridad_social_2008,miles_perso_no_economi_activa_sin_acces_seguridad_social_2009,miles_perso_no_economi_activa_sin_acces_seguridad_social_2010,miles_perso_no_economi_activa_sin_acces_seguridad_social_2011,miles_perso_no_economi_activa_sin_acces_seguridad_social_2012,miles_perso_no_economi_activa_sin_acces_seguridad_social_2013,miles_perso_no_economi_activa_sin_acces_seguridad_social_2014,miles_perso_no_economi_activa_sin_acces_seguridad_social_2015,miles_perso_no_economi_activa_sin_acces_seguridad_social_2016,miles_perso_no_economi_activa_sin_acces_seguridad_social_2017,miles_perso_no_economi_activa_sin_acces_seguridad_social_2018,porc_la_pob_65_anios_mas_sin_acces_seguridad_social_2008,porc_la_pob_65_anios_mas_sin_acces_seguridad_social_2009,porc_la_pob_65_anios_mas_sin_acces_seguridad_social_2010,porc_la_pob_65_anios_mas_sin_acces_seguridad_social_2011,porc_la_pob_65_anios_mas_sin_acces_seguridad_social_2012,porc_la_pob_65_anios_mas_sin_acces_seguridad_social_2013,porc_la_pob_65_anios_mas_sin_acces_seguridad_social_2014,porc_la_pob_65_anios_mas_sin_acces_seguridad_social_2015,porc_la_pob_65_anios_mas_sin_acces_seguridad_social_2016,porc_la_pob_65_anios_mas_sin_acces_seguridad_social_2017,porc_la_pob_65_anios_mas_sin_acces_seguridad_social_2018,miles_perso_65_anios_mas_sin_acces_seguridad_social_2008,miles_perso_65_anios_mas_sin_acces_seguridad_social_2009,miles_perso_65_anios_mas_sin_acces_seguridad_social_2010,miles_perso_65_anios_mas_sin_acces_seguridad_social_2011,miles_perso_65_anios_mas_sin_acces_seguridad_social_2012,miles_perso_65_anios_mas_sin_acces_seguridad_social_2013,miles_perso_65_anios_mas_sin_acces_seguridad_social_2014,miles_perso_65_anios_mas_sin_acces_seguridad_social_2015,miles_perso_65_anios_mas_sin_acces_seguridad_social_2016,miles_perso_65_anios_mas_sin_acces_seguridad_social_2017,miles_perso_65_anios_mas_sin_acces_seguridad_social_2018
1,Aguascalientes,51.7,50.5,49.3,48.5,47.7,46.3,44.9,43.2,41.5,43.55,45.6,222.61,222.685,222.76,233.475,244.19,243.385,242.58,247.175,251.77,268.39,285.01,45.0,44.55,44.1,42.400000000000006,40.7,38.5,36.3,35.3,34.3,35.45,36.6,134.52,134.98000000000002,135.44,129.055,122.67,117.105,111.54,102.595,93.65,103.58500000000001,113.52,24.7,26.5,28.3,25.05,21.8,16.0,10.2,8.7,7.2,9.75,12.3,14.63,17.76,20.89,19.085,17.28,12.725000000000001,8.17,7.01,5.85,9.075,12.3
2,Baja California,52.0,54.65,57.3,58.45,59.6,58.3,57.0,50.8,44.6,47.6,50.6,659.37,687.64,715.91,745.8050000000001,775.7,795.755,815.81,774.04,732.27,789.485,846.7,45.9,47.3,48.7,46.900000000000006,45.1,44.900000000000006,44.7,42.25,39.8,39.099999999999994,38.4,361.92,408.145,454.37,442.475,430.58,421.38,412.18,376.06,339.94,349.94,359.94,32.7,31.400000000000002,30.1,27.0,23.9,25.75,27.6,20.8,14.0,15.65,17.3,52.1,50.58,49.06,49.525000000000006,49.99,51.2,52.41,38.8,25.19,33.365,41.54
3,Baja California Sur,51.1,50.35,49.6,48.35,47.1,49.95,52.8,47.4,42.0,44.35,46.7,133.35,131.09,128.83,136.175,143.52,158.595,173.67,164.67,155.67,172.805,189.94,41.0,40.0,39.0,38.15,37.3,37.45,37.6,36.400000000000006,35.2,34.85,34.5,58.62,64.30499999999999,69.99,69.925,69.86,69.225,68.59,67.15,65.71,66.6,67.49,16.5,16.9,17.3,19.1,20.9,15.85,10.8,8.9,7.0,8.9,10.8,4.49,5.415,6.34,7.835,9.33,6.45,3.57,3.29,3.01,4.3149999999999995,5.62
4,Campeche,59.2,60.1,61.0,61.9,62.8,62.75,62.7,61.55,60.4,62.55,64.7,200.43,212.43,224.43,231.25,238.07,257.53499999999997,277.0,273.58500000000004,270.17,286.68,303.19,51.7,51.2,50.7,51.05,51.4,49.8,48.2,47.85,47.5,46.9,46.3,106.4,104.015,101.63,107.96000000000001,114.29,98.805,83.32,88.095,92.87,92.285,91.7,32.1,28.6,25.1,24.75,24.4,20.15,15.9,16.1,16.3,15.55,14.8,16.04,15.07,14.1,14.29,14.48,11.765,9.05,9.555,10.06,9.805,9.55
5,Chiapas,83.5,83.5,83.5,83.85,84.2,83.9,83.6,82.55,81.5,82.85,84.2,1369.56,1408.02,1446.48,1581.395,1716.31,1734.905,1753.5,1886.83,2020.16,2115.495,2210.83,78.3,75.8,73.3,73.4,73.5,73.0,72.5,70.1,67.7,69.4,71.1,984.22,971.2950000000001,958.37,916.35,874.33,853.74,833.15,738.61,644.07,630.87,617.67,36.3,27.049999999999997,17.8,20.450000000000003,23.1,21.9,20.7,21.25,21.8,27.549999999999997,33.3,101.09,75.815,50.54,57.53,64.52,64.875,65.23,68.975,72.72,87.945,103.17
6,Chihuahua,54.4,51.75,49.1,51.0,52.9,49.45,46.0,43.25,40.5,43.55,46.6,732.76,684.145,635.53,693.285,751.04,714.4,677.76,673.1800000000001,668.6,733.27,797.94,44.4,41.849999999999994,39.3,39.25,39.2,38.1,37.0,37.0,37.0,35.65,34.3,406.04,394.155,382.27,399.36,416.45,394.235,372.02,350.92999999999995,329.84,334.74,339.64,28.9,25.25,21.6,22.1,22.6,19.15,15.7,14.649999999999999,13.6,14.149999999999999,14.7,65.15,61.955,58.76,63.980000000000004,69.2,56.475,43.75,38.394999999999996,33.04,39.19,45.34
7,Ciudad De Mexico,51.2,53.1,55.0,55.5,56.0,52.3,48.6,48.75,48.9,50.3,51.7,2045.61,2118.58,2191.55,2137.07,2082.59,1971.6200000000001,1860.65,1976.7,2092.75,2135.02,2177.29,41.0,41.1,41.2,40.95,40.7,38.95,37.2,36.3,35.4,36.65,37.9,1007.24,1008.94,1010.64,1068.49,1126.34,1077.7849999999999,1029.23,951.96,874.69,937.395,1000.1,13.4,14.8,16.2,16.1,16.0,12.7,9.4,8.8,8.2,9.35,10.5,99.17,108.4,117.63,122.175,126.72,106.255,85.79,81.0,76.21,86.96,97.71
8,Coahuila,37.4,38.05,38.7,38.0,37.3,36.55,35.8,34.4,33.0,33.1,33.2,380.45,409.245,438.04,452.21500000000003,466.39,453.28,440.17,430.685,421.2,432.14,443.08,29.7,29.2,28.7,27.049999999999997,25.4,26.9,28.4,26.4,24.4,24.75,25.1,224.66,212.82999999999998,201.0,192.385,183.77,198.98000000000002,214.19,200.555,186.92,193.345,199.77,15.9,15.55,15.2,13.55,11.9,10.25,8.6,6.85,5.1,6.199999999999999,7.3,28.04,25.595,23.15,22.91,22.67,20.11,17.55,14.315000000000001,11.08,14.48,17.88
9,Colima,55.3,57.2,59.1,56.2,53.3,53.849999999999994,54.4,52.349999999999994,50.3,51.3,52.3,155.01,162.96499999999997,170.92,167.62,164.32,171.89499999999998,179.47,178.065,176.66,187.95,199.24,42.5,43.55,44.6,42.7,40.8,40.9,41.0,40.55,40.1,39.650000000000006,39.2,69.74,69.47999999999999,69.22,71.14,73.06,69.685,66.31,66.705,67.1,66.85,66.6,29.2,28.2,27.2,24.85,22.5,16.9,11.3,10.7,10.1,9.55,9.0,15.87,13.93,11.99,12.4,12.81,9.47,6.13,5.87,5.61,5.640000000000001,5.67
10,Durango,55.9,57.5,59.1,59.6,60.1,56.85,53.6,52.75,51.9,51.95,52.0,320.11,340.15999999999997,360.21,368.64,377.07,364.61,352.15,378.935,405.72,398.19500000000005,390.67,48.7,50.7,52.7,50.400000000000006,48.1,45.6,43.1,41.95,40.8,40.0,39.2,218.09,234.2,250.31,239.755,229.2,219.27499999999998,209.35,194.425,179.5,185.995,192.49,27.0,26.85,26.7,24.95,23.2,16.55,9.9,9.05,8.2,9.55,10.9,30.77,30.814999999999998,30.86,30.295,29.73,21.560000000000002,13.39,12.185,10.98,13.605,16.23
