estado_1,anio,porc_pob_seguridad_aliment,miles_perso_seguridad_aliment,porc_pob_inseguridad_aliment_leve,miles_perso_inseguridad_aliment_leve,porc_pob_inseguridad_aliment_moderada,miles_perso_inseguridad_aliment_moderada,porc_pob_inseguridad_aliment_severa,miles_perso_inseguridad_aliment_severa
aguascalientes,2008,60.400,698.120,19.500,225.930,11.000,126.970,9.100,105.650
baja_california,2008,73.000,2275.460,12.900,402.480,7.200,224.150,6.900,216.580
baja_california_sur,2008,71.000,434.130,13.500,82.760,7.900,48.150,7.500,46.050
campeche,2008,56.700,461.520,23.000,187.050,11.700,94.970,8.600,69.990
coahuila,2008,61.200,1658.150,21.900,593.150,10.400,281.300,6.500,174.820
colima,2008,66.100,418.270,19.600,123.700,8.100,50.930,6.300,39.800
chiapas,2008,46.100,2204.690,27.700,1323.750,15.600,748.170,10.600,504.870
chihuahua,2008,65.100,2241.810,17.600,605.710,7.600,263.090,9.700,335.120
ciudad_de_mexico,2008,63.700,5687.800,20.700,1850.940,10.400,926.310,5.200,464.180
durango,2008,50.200,820.930,27.700,453.250,11.700,191.190,10.300,168.480
guanajuato,2008,49.500,2698.450,23.400,1278.910,17.000,924.740,10.100,553.280
guerrero,2008,31.300,1059.780,34.700,1177.570,22.000,744.950,12.000,406.790
hidalgo,2008,47.400,1240.680,28.700,750.080,15.000,392.370,8.900,232.960
jalisco,2008,60.500,4381.740,21.600,1564.910,10.200,741.280,7.600,553.480
mexico,2008,55.100,8318.310,23.700,3579.380,13.800,2082.300,7.400,1119.490
michoacan,2008,43.700,1899.250,24.500,1063.800,19.000,828.020,12.800,555.540
morelos,2008,45.400,797.660,29.600,519.690,16.200,284.600,8.800,154.460
nayarit,2008,59.500,632.490,22.400,237.980,9.900,105.730,8.200,87.650
nuevo_leon,2008,73.000,3334.580,16.300,743.300,5.400,247.720,5.300,243.720
oaxaca,2008,38.700,1474.030,32.700,1246.890,15.000,572.160,13.600,516.500
puebla,2008,37.900,2177.210,35.000,2009.530,16.700,961.350,10.300,592.470
queretaro,2008,60.300,1077.630,21.700,388.570,11.200,200.960,6.700,119.440
quintana_roo,2008,70.900,901.510,14.300,181.760,9.300,117.940,5.500,69.570
san_luis_potosi,2008,50.400,1290.970,26.200,671.700,12.500,320.520,10.800,277.770
sinaloa,2008,49.400,1380.340,27.900,779.380,12.600,353.630,10.100,282.320
sonora,2008,61.700,1632.450,17.000,449.990,8.200,217.110,13.000,344.280
tabasco,2008,43.300,956.040,22.200,490.460,14.100,312.210,20.300,448.500
tamaulipas,2008,68.400,2219.740,19.800,641.530,6.000,195.740,5.800,186.740
tlaxcala,2008,39.000,450.640,36.200,417.450,15.800,182.630,9.000,103.650
veracruz,2008,45.300,3432.650,29.100,2206.140,15.200,1150.740,10.400,788.010
yucatan,2008,64.000,1234.200,19.800,381.310,11.400,218.940,4.900,94.240
zacatecas,2008,44.000,651.120,36.300,538.110,13.100,193.690,6.600,97.680
