Id,Estado,porc_pob_seguridad_aliment_2008,porc_pob_seguridad_aliment_2009,porc_pob_seguridad_aliment_2010,porc_pob_seguridad_aliment_2011,porc_pob_seguridad_aliment_2012,porc_pob_seguridad_aliment_2013,porc_pob_seguridad_aliment_2014,porc_pob_seguridad_aliment_2015,porc_pob_seguridad_aliment_2016,porc_pob_seguridad_aliment_2017,porc_pob_seguridad_aliment_2018,miles_perso_seguridad_aliment_2008,miles_perso_seguridad_aliment_2009,miles_perso_seguridad_aliment_2010,miles_perso_seguridad_aliment_2011,miles_perso_seguridad_aliment_2012,miles_perso_seguridad_aliment_2013,miles_perso_seguridad_aliment_2014,miles_perso_seguridad_aliment_2015,miles_perso_seguridad_aliment_2016,miles_perso_seguridad_aliment_2017,miles_perso_seguridad_aliment_2018,porc_pob_inseguridad_aliment_leve_2008,porc_pob_inseguridad_aliment_leve_2009,porc_pob_inseguridad_aliment_leve_2010,porc_pob_inseguridad_aliment_leve_2011,porc_pob_inseguridad_aliment_leve_2012,porc_pob_inseguridad_aliment_leve_2013,porc_pob_inseguridad_aliment_leve_2014,porc_pob_inseguridad_aliment_leve_2015,porc_pob_inseguridad_aliment_leve_2016,porc_pob_inseguridad_aliment_leve_2017,porc_pob_inseguridad_aliment_leve_2018,miles_perso_inseguridad_aliment_leve_2008,miles_perso_inseguridad_aliment_leve_2009,miles_perso_inseguridad_aliment_leve_2010,miles_perso_inseguridad_aliment_leve_2011,miles_perso_inseguridad_aliment_leve_2012,miles_perso_inseguridad_aliment_leve_2013,miles_perso_inseguridad_aliment_leve_2014,miles_perso_inseguridad_aliment_leve_2015,miles_perso_inseguridad_aliment_leve_2016,miles_perso_inseguridad_aliment_leve_2017,miles_perso_inseguridad_aliment_leve_2018,porc_pob_inseguridad_aliment_moderada_2008,porc_pob_inseguridad_aliment_moderada_2009,porc_pob_inseguridad_aliment_moderada_2010,porc_pob_inseguridad_aliment_moderada_2011,porc_pob_inseguridad_aliment_moderada_2012,porc_pob_inseguridad_aliment_moderada_2013,porc_pob_inseguridad_aliment_moderada_2014,porc_pob_inseguridad_aliment_moderada_2015,porc_pob_inseguridad_aliment_moderada_2016,porc_pob_inseguridad_aliment_moderada_2017,porc_pob_inseguridad_aliment_moderada_2018,miles_perso_inseguridad_aliment_moderada_2008,miles_perso_inseguridad_aliment_moderada_2009,miles_perso_inseguridad_aliment_moderada_2010,miles_perso_inseguridad_aliment_moderada_2011,miles_perso_inseguridad_aliment_moderada_2012,miles_perso_inseguridad_aliment_moderada_2013,miles_perso_inseguridad_aliment_moderada_2014,miles_perso_inseguridad_aliment_moderada_2015,miles_perso_inseguridad_aliment_moderada_2016,miles_perso_inseguridad_aliment_moderada_2017,miles_perso_inseguridad_aliment_moderada_2018,porc_pob_inseguridad_aliment_severa_2008,porc_pob_inseguridad_aliment_severa_2009,porc_pob_inseguridad_aliment_severa_2010,porc_pob_inseguridad_aliment_severa_2011,porc_pob_inseguridad_aliment_severa_2012,porc_pob_inseguridad_aliment_severa_2013,porc_pob_inseguridad_aliment_severa_2014,porc_pob_inseguridad_aliment_severa_2015,porc_pob_inseguridad_aliment_severa_2016,porc_pob_inseguridad_aliment_severa_2017,porc_pob_inseguridad_aliment_severa_2018,miles_perso_inseguridad_aliment_severa_2008,miles_perso_inseguridad_aliment_severa_2009,miles_perso_inseguridad_aliment_severa_2010,miles_perso_inseguridad_aliment_severa_2011,miles_perso_inseguridad_aliment_severa_2012,miles_perso_inseguridad_aliment_severa_2013,miles_perso_inseguridad_aliment_severa_2014,miles_perso_inseguridad_aliment_severa_2015,miles_perso_inseguridad_aliment_severa_2016,miles_perso_inseguridad_aliment_severa_2017,miles_perso_inseguridad_aliment_severa_2018
1,Aguascalientes,60.4,60.849999999999994,61.3,62.3,63.3,61.95,60.6,63.05,65.5,68.9,72.3,698.12,716.355,734.59,759.24,783.89,777.6800000000001,771.47,814.9449999999999,858.42,914.39,970.36,19.5,19.0,18.5,16.85,15.2,16.549999999999997,17.9,17.6,17.3,16.0,14.7,225.93,223.62,221.31,204.685,188.06,207.96,227.86,227.065,226.27,212.06,197.85,11.0,10.95,10.9,10.65,10.4,11.100000000000001,11.8,10.7,9.6,8.5,7.4,126.97,128.8,130.63,129.685,128.74,139.45,150.16,137.845,125.53,112.555,99.58,9.1,9.2,9.3,10.2,11.1,10.45,9.8,8.7,7.6,6.6,5.6,105.65,108.6,111.55,124.57499999999999,137.6,130.98,124.36,112.035,99.71,87.25,74.79
2,Baja California,73.0,72.95,72.9,73.65,74.4,73.0,71.6,72.15,72.7,73.80000000000001,74.9,2275.46,2316.6949999999997,2357.93,2423.25,2488.57,2477.13,2465.69,2523.895,2582.1,2656.585,2731.07,12.9,11.850000000000001,10.8,10.55,10.3,10.75,11.2,11.75,12.3,11.65,11.0,402.48,375.27,348.06,346.71000000000004,345.36,365.97,386.58,411.625,436.67,418.78,400.89,7.2,7.949999999999999,8.7,9.75,10.8,10.350000000000001,9.9,9.3,8.7,8.3,7.9,224.15,253.09500000000003,282.04,322.045,362.05,351.99,341.93,325.345,308.76,298.135,287.51,6.9,7.25,7.6,6.0,4.4,5.85,7.3,6.75,6.2,6.25,6.3,216.58,231.965,247.35,197.57999999999998,147.81,198.86,249.91,235.85,221.79,225.22,228.65
3,Baja California Sur,71.0,64.4,57.8,61.75,65.7,62.35,59.0,61.7,64.4,65.45,66.5,434.13,406.4,378.67,419.765,460.86,450.925,440.99,476.03499999999997,511.08,534.685,558.29,13.5,14.8,16.1,14.25,12.4,14.399999999999999,16.4,16.4,16.4,16.049999999999997,15.7,82.76,94.23,105.7,96.50999999999999,87.32,105.12,122.92,126.64500000000001,130.37,130.97,131.57,7.9,10.100000000000001,12.3,11.2,10.1,11.6,13.1,12.25,11.4,10.850000000000001,10.3,48.15,64.41,80.67,75.89,71.11,84.495,97.88,94.275,90.67,88.655,86.64,7.5,10.6,13.7,12.75,11.8,11.65,11.5,9.65,7.8,7.65,7.5,46.05,67.925,89.8,86.15,82.5,84.14,85.78,73.74000000000001,61.7,62.44,63.18
4,Campeche,56.7,53.150000000000006,49.6,56.1,62.6,57.25,51.9,52.25,52.6,52.3,52.0,461.52,439.6,417.68,480.69000000000005,543.7,504.47,465.24,476.005,486.77,491.0,495.23,23.0,21.1,19.2,18.95,18.7,21.299999999999997,23.9,22.85,21.8,21.200000000000003,20.6,187.05,174.435,161.82,161.93,162.04,188.07,214.1,207.95999999999998,201.82,198.765,195.71,11.7,14.0,16.3,13.2,10.1,12.2,14.3,14.600000000000001,14.9,15.45,16.0,94.97,116.03,137.09,112.56,88.03,108.165,128.3,132.95,137.6,144.87,152.14,8.6,11.75,14.9,11.75,8.6,9.3,10.0,10.35,10.7,11.1,11.5,69.99,97.745,125.5,100.10499999999999,74.71,82.00999999999999,89.31,94.27000000000001,99.23,104.215,109.2
5,Chiapas,46.1,45.650000000000006,45.2,47.8,50.4,46.95,43.5,47.25,51.0,49.4,47.8,2204.69,2214.675,2224.66,2388.1899999999996,2551.72,2407.085,2262.45,2492.04,2721.63,2667.07,2612.51,27.7,26.1,24.5,24.7,24.9,26.9,28.9,29.25,29.6,29.700000000000003,29.8,1323.75,1266.06,1208.37,1234.2399999999998,1260.11,1382.3449999999998,1504.58,1541.59,1578.6,1604.375,1630.15,15.6,16.25,16.9,15.299999999999999,13.7,15.95,18.2,15.649999999999999,13.1,13.85,14.6,748.17,790.595,833.02,762.46,691.9,819.19,946.48,823.55,700.62,748.375,796.13,10.6,12.0,13.4,12.25,11.1,10.2,9.3,7.800000000000001,6.3,7.05,7.8,504.87,582.55,660.23,610.35,560.47,522.265,484.06,410.185,336.31,380.435,424.56
6,Chihuahua,65.1,67.65,70.2,69.75,69.3,67.65,66.0,64.7,63.4,66.0,68.6,2241.81,2362.225,2482.64,2492.91,2503.18,2466.49,2429.8,2405.4700000000003,2381.14,2504.12,2627.1,17.6,14.850000000000001,12.1,12.2,12.3,13.8,15.3,16.85,18.4,16.049999999999997,13.7,605.71,516.26,426.81,434.89,442.97,502.555,562.14,627.365,692.59,607.495,522.4,7.6,8.1,8.6,9.7,10.8,9.8,8.8,9.3,9.8,9.600000000000001,9.4,263.09,283.075,303.06,345.71500000000003,388.37,356.72,325.07,347.48,369.89,364.13,358.37,9.7,9.399999999999999,9.1,8.35,7.6,8.75,9.9,9.100000000000001,8.3,8.3,8.3,335.12,328.495,321.87,298.70500000000004,275.54,319.22,362.9,338.145,313.39,316.195,319.0
7,Ciudad De Mexico,63.7,67.25,70.8,71.35,71.9,74.4,76.9,75.55000000000001,74.2,73.75,73.3,5687.8,5990.045,6292.29,6337.745,6383.2,6583.08,6782.96,6663.360000000001,6543.76,6491.5650000000005,6439.37,20.7,17.2,13.7,14.35,15.0,13.2,11.4,12.850000000000001,14.3,13.55,12.8,1850.94,1532.96,1214.98,1274.52,1334.06,1169.845,1005.63,1134.75,1263.87,1193.9,1123.93,10.4,9.15,7.9,8.95,10.0,9.1,8.2,7.699999999999999,7.2,8.35,9.5,926.31,812.1199999999999,697.93,794.025,890.12,806.56,723.0,679.8399999999999,636.68,734.815,832.95,5.2,6.45,7.7,5.35,3.0,3.25,3.5,3.9,4.3,4.35,4.4,464.18,573.755,683.33,475.36,267.39,287.945,308.5,343.015,377.53,381.29999999999995,385.07
8,Coahuila,61.2,60.35,59.5,58.65,57.8,58.599999999999994,59.4,63.650000000000006,67.9,67.80000000000001,67.7,1658.15,1659.705,1661.26,1657.3400000000001,1653.42,1698.9450000000002,1744.47,1892.24,2040.01,2060.15,2080.29,21.9,20.799999999999997,19.7,20.4,21.1,19.85,18.6,17.3,16.0,15.0,14.0,593.15,571.2149999999999,549.28,575.99,602.7,573.655,544.61,512.87,481.13,456.46000000000004,431.79,10.4,10.8,11.2,10.85,10.5,11.25,12.0,10.55,9.1,9.649999999999999,10.2,281.3,297.125,312.95,306.98,301.01,326.485,351.96,313.31,274.66,293.4,312.14,6.5,8.05,9.6,10.149999999999999,10.7,10.35,10.0,8.5,7.0,7.55,8.1,174.82,220.68,266.54,285.78,305.02,299.91999999999996,294.82,252.415,210.01,229.655,249.3
9,Colima,66.1,64.94999999999999,63.8,62.5,61.2,59.25,57.3,59.3,61.3,61.65,62.0,418.27,420.80499999999995,423.34,422.49,421.64,414.995,408.35,430.675,453.0,463.29499999999996,473.59,19.6,18.0,16.4,16.45,16.5,16.9,17.3,17.450000000000003,17.6,16.950000000000003,16.3,123.7,116.125,108.55,111.255,113.96,118.65,123.34,126.755,130.17,127.41999999999999,124.67,8.1,10.2,12.3,11.8,11.3,12.350000000000001,13.4,13.05,12.7,12.7,12.7,50.93,66.19,81.45,79.53999999999999,77.63,86.705,95.78,94.96000000000001,94.14,95.49000000000001,96.84,6.3,6.949999999999999,7.6,9.3,11.0,11.5,12.0,10.2,8.4,8.65,8.9,39.8,45.084999999999994,50.37,63.175,75.98,80.83000000000001,85.68,73.915,62.15,65.175,68.2
10,Durango,50.2,57.05,63.9,64.35,64.8,64.4,64.0,63.2,62.4,64.5,66.6,820.93,946.02,1071.11,1091.17,1111.23,1115.78,1120.33,1117.79,1115.25,1163.495,1211.74,27.7,21.75,15.8,14.8,13.8,14.950000000000001,16.1,17.55,19.0,16.85,14.7,453.25,359.08500000000004,264.92,250.835,236.75,259.28999999999996,281.83,310.90999999999997,339.99,303.65,267.31,11.7,10.899999999999999,10.1,11.2,12.3,11.5,10.7,10.75,10.8,10.9,11.0,191.19,180.18,169.17,190.49,211.81,200.01999999999998,188.23,190.79500000000002,193.36,196.53500000000003,199.71,10.3,10.25,10.2,9.649999999999999,9.1,9.149999999999999,9.2,8.5,7.8,7.8,7.8,168.48,169.415,170.35,162.95999999999998,155.57,158.29500000000002,161.02,149.95499999999998,138.89,140.44,141.99
