estado_1,anio,porcentaje_de_la_poblacion_en_pobreza,miles_de_personas_en_pobreza,porcentaje_de_la_poblacion_en_pobreza_moderada,miles_de_personas_en_pobreza_moderada,porcentaje_de_la_poblacion_en_pobreza_extrema,miles_de_personas_en_pobreza_extrema
aguascalientes,2008,37.600,435.330,33.500,387.000,4.200,48.330
baja_california,2008,26.000,809.720,22.600,705.590,3.300,104.130
baja_california_sur,2008,21.400,130.540,18.700,114.180,2.700,16.360
campeche,2008,45.900,373.070,33.900,275.860,11.900,97.210
coahuila,2008,32.700,885.780,29.600,802.070,3.100,83.700
colima,2008,27.400,173.430,25.700,162.410,1.700,11.020
chiapas,2008,77.000,3682.300,38.300,1831.460,38.700,1850.830
chihuahua,2008,32.100,1105.090,25.400,874.550,6.700,230.540
ciudad_de_mexico,2008,27.600,2465.660,25.500,2276.600,2.100,189.060
durango,2008,48.400,791.400,37.000,604.250,11.500,187.150
guanajuato,2008,44.100,2403.560,36.200,1972.770,7.900,430.790
guerrero,2008,68.400,2319.600,36.000,1221.360,32.400,1098.240
hidalgo,2008,55.200,1443.600,39.800,1042.350,15.300,401.260
jalisco,2008,36.700,2657.100,32.300,2336.050,4.400,321.040
mexico,2008,43.600,6578.190,36.600,5531.700,6.900,1046.480
michoacan,2008,55.500,2411.180,40.100,1742.280,15.400,668.900
morelos,2008,48.800,857.590,40.100,704.490,8.700,153.100
nayarit,2008,41.700,444.110,35.500,377.930,6.200,66.180
nuevo_leon,2008,21.400,976.250,18.800,857.540,2.600,118.710
oaxaca,2008,61.800,2354.450,33.500,1275.500,28.300,1078.950
puebla,2008,64.600,3705.620,45.600,2617.500,19.000,1088.120
queretaro,2008,35.200,629.140,29.800,531.520,5.500,97.620
quintana_roo,2008,33.700,428.130,26.000,329.850,7.700,98.280
san_luis_potosi,2008,50.900,1304.430,35.500,909.660,15.400,394.770
sinaloa,2008,32.400,905.620,27.800,776.700,4.600,128.920
sonora,2008,27.100,716.930,22.800,601.780,4.400,115.150
tabasco,2008,53.800,1188.010,38.000,839.520,15.800,348.500
tamaulipas,2008,33.800,1097.710,29.000,940.550,4.800,157.160
tlaxcala,2008,59.600,687.750,50.100,577.840,9.500,109.910
veracruz,2008,51.200,3879.000,34.300,2602.590,16.800,1276.410
yucatan,2008,47.000,907.000,38.200,736.100,8.900,170.900
zacatecas,2008,50.100,742.240,40.600,601.800,9.500,140.440
