estado_1,anio,porcentaje_de_la_poblacion_en_pobreza,miles_de_personas_en_pobreza,porcentaje_de_la_poblacion_en_pobreza_moderada,miles_de_personas_en_pobreza_moderada,porcentaje_de_la_poblacion_en_pobreza_extrema,miles_de_personas_en_pobreza_extrema
aguascalientes,2016,28.200,369.650,25.900,339.470,2.300,30.180
baja_california,2016,22.200,789.110,21.100,749.430,1.100,39.680
baja_california_sur,2016,22.100,175.640,20.500,162.880,1.600,12.760
campeche,2016,43.800,405.040,37.100,343.430,6.700,61.610
coahuila,2016,24.800,745.900,23.200,696.210,1.700,49.690
colima,2016,33.600,248.690,31.000,229.410,2.600,19.280
chiapas,2016,77.100,4113.950,49.000,2615.330,28.100,1498.630
chihuahua,2016,30.600,1149.960,27.400,1029.090,3.200,120.870
ciudad_de_mexico,2016,27.600,2434.420,25.800,2279.300,1.800,155.130
durango,2016,36.000,643.300,33.200,593.730,2.800,49.570
guanajuato,2016,42.400,2489.720,38.000,2232.140,4.400,257.580
guerrero,2016,64.400,2314.720,41.400,1489.510,23.000,825.210
hidalgo,2016,50.600,1478.840,42.600,1244.580,8.000,234.260
jalisco,2016,31.800,2560.590,30.000,2415.710,1.800,144.880
mexico,2016,47.900,8230.200,41.700,7173.240,6.100,1056.960
michoacan,2016,55.300,2565.860,45.900,2130.520,9.400,435.340
morelos,2016,49.500,965.850,43.600,850.470,5.900,115.380
nayarit,2016,37.500,470.130,29.600,370.780,7.900,99.350
nuevo_leon,2016,14.200,737.770,13.600,706.270,0.600,31.490
oaxaca,2016,70.400,2847.340,43.500,1760.190,26.900,1087.160
puebla,2016,59.400,3728.200,50.500,3166.340,9.000,561.870
queretaro,2016,31.100,635.680,28.200,575.960,2.900,59.720
quintana_roo,2016,28.800,471.040,24.600,401.860,4.200,69.190
san_luis_potosi,2016,45.500,1267.730,37.800,1053.920,7.700,213.810
sinaloa,2016,30.800,929.680,27.900,842.600,2.900,87.080
sonora,2016,27.900,831.430,25.300,756.100,2.500,75.330
tabasco,2016,50.900,1228.090,39.100,943.860,11.800,284.230
tamaulipas,2016,32.200,1156.220,29.300,1052.620,2.900,103.600
tlaxcala,2016,53.900,701.760,48.200,627.030,5.700,74.720
veracruz,2016,62.200,5049.510,45.800,3717.000,16.400,1332.510
yucatan,2016,41.900,901.860,35.700,769.450,6.100,132.420
zacatecas,2016,49.000,780.270,45.500,724.160,3.500,56.110
