Id,Estado,porcentaje_de_la_poblacion_en_pobreza_2008,porcentaje_de_la_poblacion_en_pobreza_2009,porcentaje_de_la_poblacion_en_pobreza_2010,porcentaje_de_la_poblacion_en_pobreza_2011,porcentaje_de_la_poblacion_en_pobreza_2012,porcentaje_de_la_poblacion_en_pobreza_2013,porcentaje_de_la_poblacion_en_pobreza_2014,porcentaje_de_la_poblacion_en_pobreza_2015,porcentaje_de_la_poblacion_en_pobreza_2016,porcentaje_de_la_poblacion_en_pobreza_2017,porcentaje_de_la_poblacion_en_pobreza_2018,miles_de_personas_en_pobreza_2008,miles_de_personas_en_pobreza_2009,miles_de_personas_en_pobreza_2010,miles_de_personas_en_pobreza_2011,miles_de_personas_en_pobreza_2012,miles_de_personas_en_pobreza_2013,miles_de_personas_en_pobreza_2014,miles_de_personas_en_pobreza_2015,miles_de_personas_en_pobreza_2016,miles_de_personas_en_pobreza_2017,miles_de_personas_en_pobreza_2018,porcentaje_de_la_poblacion_en_pobreza_moderada_2008,porcentaje_de_la_poblacion_en_pobreza_moderada_2009,porcentaje_de_la_poblacion_en_pobreza_moderada_2010,porcentaje_de_la_poblacion_en_pobreza_moderada_2011,porcentaje_de_la_poblacion_en_pobreza_moderada_2012,porcentaje_de_la_poblacion_en_pobreza_moderada_2013,porcentaje_de_la_poblacion_en_pobreza_moderada_2014,porcentaje_de_la_poblacion_en_pobreza_moderada_2015,porcentaje_de_la_poblacion_en_pobreza_moderada_2016,porcentaje_de_la_poblacion_en_pobreza_moderada_2017,porcentaje_de_la_poblacion_en_pobreza_moderada_2018,miles_de_personas_en_pobreza_moderada_2008,miles_de_personas_en_pobreza_moderada_2009,miles_de_personas_en_pobreza_moderada_2010,miles_de_personas_en_pobreza_moderada_2011,miles_de_personas_en_pobreza_moderada_2012,miles_de_personas_en_pobreza_moderada_2013,miles_de_personas_en_pobreza_moderada_2014,miles_de_personas_en_pobreza_moderada_2015,miles_de_personas_en_pobreza_moderada_2016,miles_de_personas_en_pobreza_moderada_2017,miles_de_personas_en_pobreza_moderada_2018,porcentaje_de_la_poblacion_en_pobreza_extrema_2008,porcentaje_de_la_poblacion_en_pobreza_extrema_2009,porcentaje_de_la_poblacion_en_pobreza_extrema_2010,porcentaje_de_la_poblacion_en_pobreza_extrema_2011,porcentaje_de_la_poblacion_en_pobreza_extrema_2012,porcentaje_de_la_poblacion_en_pobreza_extrema_2013,porcentaje_de_la_poblacion_en_pobreza_extrema_2014,porcentaje_de_la_poblacion_en_pobreza_extrema_2015,porcentaje_de_la_poblacion_en_pobreza_extrema_2016,porcentaje_de_la_poblacion_en_pobreza_extrema_2017,porcentaje_de_la_poblacion_en_pobreza_extrema_2018,miles_de_personas_en_pobreza_extrema_2008,miles_de_personas_en_pobreza_extrema_2009,miles_de_personas_en_pobreza_extrema_2010,miles_de_personas_en_pobreza_extrema_2011,miles_de_personas_en_pobreza_extrema_2012,miles_de_personas_en_pobreza_extrema_2013,miles_de_personas_en_pobreza_extrema_2014,miles_de_personas_en_pobreza_extrema_2015,miles_de_personas_en_pobreza_extrema_2016,miles_de_personas_en_pobreza_extrema_2017,miles_de_personas_en_pobreza_extrema_2018
1,Aguascalientes,37.6,37.85,38.1,37.95,37.8,36.3,34.8,31.5,28.2,27.2,26.2,435.33,446.085,456.84,462.2,467.56,455.21500000000003,442.87,406.26,369.65,360.59,351.53,33.5,33.95,34.4,34.4,34.4,33.55,32.7,29.3,25.9,25.45,25.0,387.0,399.36,411.72,418.65,425.58,420.87,416.16,377.81500000000005,339.47,337.675,335.88,4.2,4.0,3.8,3.5999999999999996,3.4,2.75,2.1,2.2,2.3,1.75,1.2,48.33,46.724999999999994,45.12,43.55,41.98,34.345,26.71,28.445,30.18,22.915,15.65
2,Baja California,26.0,28.75,31.5,30.85,30.2,29.4,28.6,25.4,22.2,22.75,23.3,809.72,914.76,1019.8,1014.97,1010.14,997.5450000000001,984.95,887.03,789.11,818.7750000000001,848.44,22.6,25.35,28.1,27.8,27.5,26.5,25.5,23.3,21.1,21.35,21.6,705.59,808.13,910.67,914.65,918.63,899.015,879.4,814.415,749.43,769.285,789.14,3.3,3.3499999999999996,3.4,3.05,2.7,2.9000000000000004,3.1,2.1,1.1,1.35,1.6,104.13,106.63,109.13,100.32,91.51,98.53,105.55,72.615,39.68,49.489999999999995,59.3
3,Baja California Sur,21.4,26.2,31.0,30.55,30.1,30.200000000000003,30.3,26.200000000000003,22.1,20.1,18.1,130.54,166.755,202.97,207.135,211.3,218.765,226.23,200.935,175.64,163.69,151.74,18.7,22.549999999999997,26.4,26.4,26.4,26.35,26.3,23.4,20.5,18.55,16.6,114.18,143.425,172.67,179.08999999999997,185.51,191.125,196.74,179.81,162.88,151.01999999999998,139.16,2.7,3.65,4.6,4.15,3.7,3.8,3.9,2.75,1.6,1.55,1.5,16.36,23.325,30.29,28.045,25.8,27.65,29.5,21.13,12.76,12.67,12.58
4,Campeche,45.9,48.2,50.5,47.6,44.7,44.150000000000006,43.6,43.7,43.8,45.0,46.2,373.07,399.185,425.3,406.6,387.9,389.42999999999995,390.96,398.0,405.04,422.73,440.42,33.9,35.3,36.7,35.45,34.2,33.35,32.5,34.8,37.1,36.8,36.5,275.86,292.54,309.22,303.19000000000005,297.16,294.44500000000005,291.73,317.58000000000004,343.43,345.405,347.38,11.9,12.850000000000001,13.8,12.100000000000001,10.4,10.75,11.1,8.9,6.7,8.25,9.8,97.21,106.645,116.08,103.41,90.74,94.985,99.23,80.42,61.61,77.33,93.05
5,Chiapas,77.0,77.75,78.5,76.6,74.7,75.45,76.2,76.65,77.1,76.75,76.4,3682.3,3774.3100000000004,3866.32,3824.32,3782.32,3871.6549999999997,3960.99,4037.47,4113.95,4144.275,4174.6,38.3,39.25,40.2,41.35,42.5,43.45,44.4,46.7,49.0,47.85,46.7,1831.46,1906.1750000000002,1980.89,2067.005,2153.12,2229.875,2306.63,2460.98,2615.33,2583.3199999999997,2551.31,38.7,38.5,38.3,35.25,32.2,32.0,31.8,29.950000000000003,28.1,28.9,29.7,1850.83,1868.125,1885.42,1757.31,1629.2,1641.78,1654.36,1576.495,1498.63,1560.96,1623.29
6,Chihuahua,32.1,35.45,38.8,37.05,35.3,34.849999999999994,34.4,32.5,30.6,28.450000000000003,26.3,1105.09,1238.335,1371.58,1322.145,1272.71,1269.13,1265.55,1207.755,1149.96,1077.845,1005.73,25.4,28.8,32.2,31.85,31.5,30.2,28.9,28.15,27.4,25.549999999999997,23.7,874.55,1007.12,1139.69,1138.055,1136.42,1100.825,1065.23,1047.1599999999999,1029.09,967.49,905.89,6.7,6.65,6.6,5.199999999999999,3.8,4.6,5.4,4.300000000000001,3.2,2.9000000000000004,2.6,230.54,231.21499999999997,231.89,184.08999999999997,136.29,168.305,200.32,160.595,120.87,110.355,99.84
7,Ciudad De Mexico,27.6,28.05,28.5,28.7,28.9,28.65,28.4,28.0,27.6,29.1,30.6,2465.66,2501.41,2537.16,2551.24,2565.32,2533.895,2502.47,2468.4449999999997,2434.42,2558.575,2682.73,25.5,25.95,26.4,26.4,26.4,26.549999999999997,26.7,26.25,25.8,27.3,28.8,2276.6,2310.69,2344.78,2345.54,2346.3,2349.12,2351.94,2315.62,2279.3,2404.3500000000004,2529.4,2.1,2.1500000000000004,2.2,2.35,2.5,2.1,1.7,1.75,1.8,1.75,1.7,189.06,190.72,192.38,205.70499999999998,219.03,184.78,150.53,152.82999999999998,155.13,154.23000000000002,153.33
8,Coahuila,32.7,30.25,27.8,27.85,27.9,29.049999999999997,30.2,27.5,24.8,23.65,22.5,885.78,830.855,775.93,787.605,799.28,842.535,885.79,815.845,745.9,718.515,691.13,29.6,27.25,24.9,24.799999999999997,24.7,25.549999999999997,26.4,24.799999999999997,23.2,22.1,21.0,802.07,748.0350000000001,694.0,700.2950000000001,706.59,741.335,776.08,736.145,696.21,671.405,646.6,3.1,3.0,2.9,3.05,3.2,3.45,3.7,2.7,1.7,1.5499999999999998,1.4,83.7,82.815,81.93,87.31,92.69,101.19999999999999,109.71,79.69999999999999,49.69,47.11,44.53
9,Colima,27.4,31.05,34.7,34.55,34.4,34.349999999999994,34.3,33.95,33.6,32.25,30.9,173.43,201.845,230.26,233.73,237.2,241.07,244.94,246.815,248.69,242.155,235.62,25.7,28.950000000000003,32.2,31.3,30.4,30.65,30.9,30.95,31.0,29.75,28.5,162.41,187.97,213.53,211.65,209.77,215.175,220.58,224.995,229.41,223.39,217.37,1.7,2.1,2.5,3.25,4.0,3.7,3.4,3.0,2.6,2.5,2.4,11.02,13.875,16.73,22.08,27.43,25.895,24.36,21.82,19.28,18.765,18.25
10,Durango,48.4,50.0,51.6,50.85,50.1,46.8,43.5,39.75,36.0,36.65,37.3,791.4,827.78,864.16,861.405,858.65,809.9449999999999,761.24,702.27,643.3,661.67,680.04,37.0,39.05,41.1,41.85,42.6,40.400000000000006,38.2,35.7,33.2,34.150000000000006,35.1,604.25,646.45,688.65,709.64,730.63,699.44,668.25,630.99,593.73,616.6800000000001,639.63,11.5,11.0,10.5,9.0,7.5,6.4,5.3,4.05,2.8,2.5,2.2,187.15,181.32999999999998,175.51,151.76999999999998,128.03,110.515,93.0,71.285,49.57,44.989999999999995,40.41
