estado_1,anio,porcentaje_poblacion_vulnerable_carencias_sociales,miles_personas_vulnerables_carencias_sociales,porcentaje_poblacion_vulnerable_ingresos,miles_personas_vulnerables_ingresos_2008,porcentaje_poblacion_no_pobre_y_no_vulnerable_2008,miles_personas_no_pobresy_no_vulnerables_2008
aguascalientes,2008,30.800,355.700,7.700,89.000,23.900,276.650
baja_california,2008,42.100,1314.240,5.400,168.530,26.500,826.190
baja_california_sur,2008,44.600,272.360,4.700,28.600,29.400,179.590
campeche,2008,29.500,239.660,4.600,37.720,20.000,163.090
coahuila,2008,25.200,682.040,12.500,339.470,29.600,800.150
colima,2008,39.700,251.420,3.500,22.140,29.400,185.720
chiapas,2008,15.900,760.460,1.500,70.570,5.600,268.150
chihuahua,2008,34.600,1191.470,7.300,252.220,26.000,896.960
ciudad_mexico,2008,36.100,3219.600,5.000,449.610,31.300,2794.370
durango,2008,24.600,401.580,8.200,134.230,18.800,306.640
guanajuato,2008,36.200,1976.260,4.600,250.740,15.100,824.830
guerrero,2008,22.800,773.110,2.000,67.550,6.800,228.830
hidalgo,2008,30.500,798.570,3.400,89.700,10.900,284.210
jalisco,2008,35.900,2598.080,5.300,385.300,22.100,1600.950
mexico,2008,35.600,5370.890,4.300,655.990,16.500,2494.420
michoacan,2008,31.400,1365.140,2.500,109.640,10.600,460.670
morelos,2008,34.100,599.410,3.100,55.090,13.900,244.310
nayarit,2008,34.500,366.760,4.400,46.790,19.400,206.190
nuevo_leon,2008,36.500,1667.300,7.200,330.370,34.900,1595.400
oaxaca,2008,26.800,1020.270,1.400,54.210,10.000,380.650
puebla,2008,22.600,1297.940,4.000,232.040,8.800,504.960
queretaro,2008,35.000,625.860,5.100,90.980,24.700,440.620
quintana_roo,2008,38.400,487.630,5.000,63.010,23.000,292.010
san_luis_potosi,2008,25.400,649.370,6.400,163.870,17.300,443.290
sinaloa,2008,40.900,1143.850,3.500,97.190,23.200,649.010
sonora,2008,38.700,1021.870,4.300,112.660,30.000,792.370
tabasco,2008,33.800,745.120,2.800,61.600,9.600,212.470
tamaulipas,2008,33.100,1073.130,7.800,254.190,25.200,818.730
tlaxcala,2008,23.600,272.150,5.600,64.520,11.300,129.960
veracruz,2008,32.700,2480.020,3.100,238.680,12.900,979.840
yucatan,2008,29.500,569.670,4.700,91.600,18.700,360.410
zacatecas,2008,27.800,411.140,6.100,89.960,16.000,237.250
