estado_1,anio,porcentaje_poblacion_vulnerable_carencias_sociales,miles_personas_vulnerables_carencias_sociales,porcentaje_poblacion_vulnerable_ingresos,miles_personas_vulnerables_ingresos_2012,porcentaje_poblacion_no_pobre_y_no_vulnerable_2012,miles_personas_no_pobresy_no_vulnerables_2012
aguascalientes,2012,24.500,303.140,10.100,125.430,27.600,342.150
baja_california,2012,37.600,1258.420,8.600,287.970,23.500,787.260
baja_california_sur,2012,30.000,210.250,7.900,55.550,32.000,224.690
campeche,2012,28.600,248.400,5.600,48.390,21.200,183.790
coahuila,2012,24.400,699.330,12.700,364.780,34.900,998.740
colima,2012,31.700,218.770,6.300,43.180,27.600,190.060
chiapas,2012,17.200,869.750,1.700,87.630,6.400,324.510
chihuahua,2012,27.400,989.100,10.700,386.910,26.600,961.340
ciudad_mexico,2012,32.400,2872.110,6.600,585.110,32.100,2852.250
durango,2012,21.800,373.540,11.100,190.900,17.000,292.270
guanajuato,2012,32.600,1851.320,4.900,276.640,18.100,1026.520
guerrero,2012,21.700,760.430,2.300,78.870,6.400,222.880
hidalgo,2012,30.700,852.400,3.000,83.530,13.500,375.920
jalisco,2012,28.300,2173.120,8.100,619.580,23.800,1824.220
mexico,2012,29.500,4766.090,7.800,1263.070,17.400,2808.060
michoacan,2012,30.700,1381.010,3.500,157.650,11.500,515.840
morelos,2012,32.000,594.670,4.600,85.390,17.900,332.230
nayarit,2012,28.200,327.890,5.600,64.650,18.600,216.210
nuevo_leon,2012,29.100,1418.070,8.400,410.400,39.200,1911.900
oaxaca,2012,26.100,1024.470,1.700,65.080,10.300,406.590
puebla,2012,22.000,1320.900,4.200,253.880,9.400,562.450
queretaro,2012,32.600,625.430,6.400,123.010,24.000,460.410
quintana_roo,2012,30.400,441.700,6.200,89.870,24.600,357.170
san_luis_potosi,2012,24.700,660.700,6.600,175.820,18.300,489.090
sinaloa,2012,33.500,976.410,6.400,185.640,23.800,693.480
sonora,2012,36.600,1031.070,4.700,133.010,29.600,835.020
tabasco,2012,34.000,785.360,3.000,69.540,13.400,308.850
tamaulipas,2012,26.800,918.670,8.800,303.030,26.000,892.400
tlaxcala,2012,23.900,294.250,6.000,74.220,12.200,149.590
veracruz,2012,30.600,2403.820,4.000,313.520,12.800,1008.340
yucatan,2012,27.000,551.380,6.300,127.560,17.900,364.600
zacatecas,2012,20.400,314.700,6.400,98.840,19.000,292.090
