Id,Estado,porcentaje_poblacion_vulnerable_carencias_sociales_2008,porcentaje_poblacion_vulnerable_carencias_sociales_2009,porcentaje_poblacion_vulnerable_carencias_sociales_2010,porcentaje_poblacion_vulnerable_carencias_sociales_2011,porcentaje_poblacion_vulnerable_carencias_sociales_2012,porcentaje_poblacion_vulnerable_carencias_sociales_2013,porcentaje_poblacion_vulnerable_carencias_sociales_2014,porcentaje_poblacion_vulnerable_carencias_sociales_2015,porcentaje_poblacion_vulnerable_carencias_sociales_2016,porcentaje_poblacion_vulnerable_carencias_sociales_2017,porcentaje_poblacion_vulnerable_carencias_sociales_2018,miles_personas_vulnerables_carencias_sociales_2008,miles_personas_vulnerables_carencias_sociales_2009,miles_personas_vulnerables_carencias_sociales_2010,miles_personas_vulnerables_carencias_sociales_2011,miles_personas_vulnerables_carencias_sociales_2012,miles_personas_vulnerables_carencias_sociales_2013,miles_personas_vulnerables_carencias_sociales_2014,miles_personas_vulnerables_carencias_sociales_2015,miles_personas_vulnerables_carencias_sociales_2016,miles_personas_vulnerables_carencias_sociales_2017,miles_personas_vulnerables_carencias_sociales_2018,porcentaje_poblacion_vulnerable_ingresos_2008,porcentaje_poblacion_vulnerable_ingresos_2009,porcentaje_poblacion_vulnerable_ingresos_2010,porcentaje_poblacion_vulnerable_ingresos_2011,porcentaje_poblacion_vulnerable_ingresos_2012,porcentaje_poblacion_vulnerable_ingresos_2013,porcentaje_poblacion_vulnerable_ingresos_2014,porcentaje_poblacion_vulnerable_ingresos_2015,porcentaje_poblacion_vulnerable_ingresos_2016,porcentaje_poblacion_vulnerable_ingresos_2017,porcentaje_poblacion_vulnerable_ingresos_2018,miles_personas_vulnerables_ingresos_2008,miles_personas_vulnerables_ingresos_2009,miles_personas_vulnerables_ingresos_2010,miles_personas_vulnerables_ingresos_2011,miles_personas_vulnerables_ingresos_2012,miles_personas_vulnerables_ingresos_2013,miles_personas_vulnerables_ingresos_2014,miles_personas_vulnerables_ingresos_2015,miles_personas_vulnerables_ingresos_2016,miles_personas_vulnerables_ingresos_2017,miles_personas_vulnerables_ingresos_2018,porcentaje_poblacion_no_pobre_y_no_vulnerable_2008,porcentaje_poblacion_no_pobre_y_no_vulnerable_2009,porcentaje_poblacion_no_pobre_y_no_vulnerable_2010,porcentaje_poblacion_no_pobre_y_no_vulnerable_2011,porcentaje_poblacion_no_pobre_y_no_vulnerable_2012,porcentaje_poblacion_no_pobre_y_no_vulnerable_2013,porcentaje_poblacion_no_pobre_y_no_vulnerable_2014,porcentaje_poblacion_no_pobre_y_no_vulnerable_2015,porcentaje_poblacion_no_pobre_y_no_vulnerable_2016,porcentaje_poblacion_no_pobre_y_no_vulnerable_2017,porcentaje_poblacion_no_pobre_y_no_vulnerable_2018,miles_personas_no_pobresy_no_vulnerables_2008,miles_personas_no_pobresy_no_vulnerableslist_2009,miles_personas_no_pobresy_no_vulnerables_2010,miles_personas_no_pobresy_no_vulnerableslist_2011,miles_personas_no_pobresy_no_vulnerables_2012,miles_personas_no_pobresy_no_vulnerableslist_2013,miles_personas_no_pobresy_no_vulnerables_2014,miles_personas_no_pobresy_no_vulnerableslist_2015,miles_personas_no_pobresy_no_vulnerables_2016,miles_personas_no_pobresy_no_vulnerableslist_2017,miles_personas_no_pobresy_no_vulnerables_2018
1,Aguascalientes,30.8,28.5,26.2,25.35,24.5,24.9,25.3,26.65,28.0,28.8,29.6,355.7,334.87,314.04,308.59000000000003,303.14,312.78,322.42,344.39,366.36,382.06,397.76,7.7,7.9,8.1,9.1,10.1,9.5,8.9,9.75,10.6,10.45,10.3,89.0,92.935,96.87,111.15,125.43,119.52000000000001,113.61,126.38,139.15,138.59,138.03,23.9,25.75,27.6,27.6,27.6,29.3,31.0,32.1,33.2,33.55,33.9,276.65,303.495,330.34,336.245,342.15,368.55499999999995,394.96,414.865,434.77,445.015,455.26
2,Baja California,42.1,40.0,37.9,37.75,37.6,37.95,38.3,38.15,38.0,38.9,39.8,1314.24,1270.0349999999999,1225.83,1242.125,1258.42,1288.9850000000001,1319.55,1334.645,1349.74,1400.26,1450.78,5.4,5.85,6.3,7.449999999999999,8.6,7.6,6.6,6.65,6.7,6.75,6.8,168.53,186.975,205.42,246.695,287.97,257.33500000000004,226.7,232.815,238.93,242.675,246.42,26.5,25.35,24.2,23.85,23.5,25.0,26.5,29.75,33.0,31.6,30.2,826.19,805.2550000000001,784.32,785.79,787.26,850.085,912.91,1042.225,1171.54,1137.01,1102.48
3,Baja California Sur,44.6,38.55,32.5,31.25,30.0,32.2,34.4,36.099999999999994,37.8,40.55,43.3,272.36,242.74,213.12,211.685,210.25,233.57,256.89,278.62,300.35,331.91,363.47,4.7,4.6,4.5,6.2,7.9,6.75,5.6,6.05,6.5,5.6,4.7,28.6,29.17,29.74,42.644999999999996,55.55,48.705,41.86,46.53,51.2,45.19,39.18,29.4,30.65,31.9,31.95,32.0,30.9,29.8,31.700000000000003,33.6,33.8,34.0,179.59,194.3,209.01,216.85,224.69,223.635,222.58,244.60500000000002,266.63,275.955,285.28
4,Campeche,29.5,27.2,24.9,26.75,28.6,30.35,32.1,31.700000000000003,31.3,31.55,31.8,239.66,224.76,209.86,229.13,248.4,267.945,287.49,288.725,289.96,296.57,303.18,4.6,4.449999999999999,4.3,4.949999999999999,5.6,4.8,4.0,4.4,4.8,4.699999999999999,4.6,37.72,37.05,36.38,42.385000000000005,48.39,42.125,35.86,40.120000000000005,44.38,44.07,43.76,20.0,20.15,20.3,20.75,21.2,20.799999999999997,20.4,20.25,20.1,18.700000000000003,17.3,163.09,166.82,170.55,177.17000000000002,183.79,183.22,182.65,184.35000000000002,186.05,175.485,164.92
5,Chiapas,15.9,14.45,13.0,15.1,17.2,16.25,15.3,14.55,13.8,14.4,15.0,760.46,700.9100000000001,641.36,755.5550000000001,869.75,831.54,793.33,764.885,736.44,779.205,821.97,1.5,1.95,2.4,2.05,1.7,2.1,2.5,2.6,2.7,2.6,2.5,70.57,93.645,116.72,102.175,87.63,108.705,129.78,137.66500000000002,145.55,141.2,136.85,5.6,5.85,6.1,6.25,6.4,6.2,6.0,6.2,6.4,6.2,6.0,268.15,285.02,301.89,313.2,324.51,318.99,313.47,327.34000000000003,341.21,335.565,329.92
6,Chihuahua,34.6,28.700000000000003,22.8,25.1,27.4,26.6,25.8,26.55,27.3,29.700000000000003,32.1,1191.47,998.975,806.48,897.79,989.1,969.2950000000001,949.49,988.005,1026.52,1127.44,1228.36,7.3,10.15,13.0,11.85,10.7,11.35,12.0,11.55,11.1,10.649999999999999,10.2,252.22,355.04,457.86,422.385,386.91,413.70500000000004,440.5,429.18,417.86,404.89,391.92,26.0,25.7,25.4,26.0,26.6,27.200000000000003,27.8,29.35,30.9,31.15,31.4,896.96,897.72,898.48,929.9100000000001,961.34,992.8600000000001,1024.38,1093.5300000000002,1162.68,1181.7800000000002,1200.88
7,Ciudad De Mexico,36.1,35.25,34.4,33.4,32.4,30.2,28.0,28.45,28.9,28.65,28.4,3219.6,3137.685,3055.77,2963.94,2872.11,2668.785,2465.46,2507.035,2548.61,2519.7,2490.79,5.0,5.2,5.4,6.0,6.6,7.3,8.0,7.4,6.8,7.3,7.8,449.61,465.55,481.49,533.3,585.11,645.635,706.16,652.72,599.28,640.49,681.7,31.3,31.5,31.7,31.9,32.1,33.900000000000006,35.7,36.2,36.7,35.0,33.3,2794.37,2804.24,2814.11,2833.1800000000003,2852.25,2999.13,3146.01,3192.7700000000004,3239.53,3082.815,2926.1
8,Coahuila,25.2,25.4,25.6,25.0,24.4,24.299999999999997,24.2,24.6,25.0,26.2,27.4,682.04,697.99,713.94,706.635,699.33,705.0,710.67,730.4449999999999,750.22,795.45,840.68,12.5,12.7,12.9,12.8,12.7,11.899999999999999,11.1,12.05,13.0,12.15,11.3,339.47,349.14,358.81,361.79499999999996,364.78,345.04999999999995,325.32,358.51,391.7,368.85,346.0,29.6,31.650000000000002,33.7,34.3,34.9,34.7,34.5,35.85,37.2,38.05,38.9,800.15,870.75,941.35,970.0450000000001,998.74,1006.405,1014.07,1066.035,1118.0,1156.85,1195.7
9,Colima,39.7,36.75,33.8,32.75,31.7,32.45,33.2,32.25,31.3,33.25,35.2,251.42,237.725,224.03,221.4,218.77,227.7,236.63,234.13,231.63,250.24,268.85,3.5,4.2,4.9,5.6,6.3,6.35,6.4,6.7,7.0,6.2,5.4,22.14,27.285,32.43,37.805,43.18,44.265,45.35,48.379999999999995,51.41,46.345,41.28,29.4,28.049999999999997,26.7,27.15,27.6,26.85,26.1,27.1,28.1,28.3,28.5,185.72,181.36,177.0,183.53,190.06,188.15,186.24,196.98000000000002,207.72,212.635,217.55
10,Durango,24.6,22.85,21.1,21.450000000000003,21.8,23.05,24.3,27.1,29.9,28.5,27.1,401.58,377.145,352.71,363.125,373.54,399.485,425.43,479.81500000000005,534.2,513.53,492.86,8.2,8.5,8.8,9.95,11.1,10.8,10.5,9.95,9.4,9.850000000000001,10.3,134.23,140.48,146.73,168.815,190.9,187.265,183.63,175.76999999999998,167.91,177.405,186.9,18.8,18.700000000000003,18.6,17.8,17.0,19.4,21.8,23.25,24.7,25.0,25.3,306.64,309.305,311.97,302.12,292.27,336.69,381.11,411.6,442.09,451.52,460.95
