estado_1,anio,miles_personas,porcen_pobla_carencia_acceso_servicios_salud,porcen_pobla_carencia_acceso_a_seguridad_social,porcen_pobla_carencia_acceso_a_alimentacion,porcen_pobla_ingreso_inferiora_linea_pobreza_extrema,porcen_pobla_ingreso_inferiora_linea_pobreza_ingresos
aguascalientes,2008,1156.680,23.200,55.300,20.100,14.100,45.300
baja_california,2008,3118.680,32.600,55.100,14.100,7.600,31.400
baja_california_sur,2008,611.090,25.200,51.500,15.400,7.700,26.000
campeche,2008,813.540,23.300,61.900,20.300,18.500,50.500
coahuila,2008,2707.430,23.300,40.500,16.800,11.300,45.300
colima,2008,632.710,17.000,56.000,14.300,7.400,30.900
chiapas,2008,4781.490,51.100,85.400,26.200,48.200,78.500
chihuahua,2008,3445.730,29.600,55.900,17.400,11.500,39.400
ciudad_mexico,2008,8929.240,36.300,52.900,15.600,5.300,32.600
durango,2008,1633.860,37.200,59.000,22.000,20.000,56.700
guanajuato,2008,5455.380,36.200,66.700,27.100,13.000,48.700
guerrero,2008,3389.090,55.900,81.200,34.000,38.900,70.400
hidalgo,2008,2616.090,47.400,77.200,23.900,22.700,58.600
jalisco,2008,7241.420,33.900,58.000,17.900,9.600,42.000
mexico,2008,15099.490,42.600,68.300,21.200,11.200,47.900
michoacan,2008,4346.620,55.600,77.400,31.800,22.200,58.000
morelos,2008,1756.400,38.400,72.300,25.000,17.500,52.000
nayarit,2008,1063.850,30.300,66.200,18.200,14.400,46.100
nuevo_leon,2008,4569.310,24.800,44.300,10.800,6.100,28.600
oaxaca,2008,3809.580,54.800,80.400,28.600,32.900,63.200
puebla,2008,5740.560,56.000,78.000,27.100,26.900,68.600
queretaro,2008,1786.600,26.800,57.700,17.900,11.000,40.300
quintana_roo,2008,1270.770,34.600,58.400,14.800,13.100,38.600
san_luis_potosi,2008,2560.960,34.400,64.400,23.400,22.200,57.300
sinaloa,2008,2795.680,29.200,58.800,22.700,8.100,35.900
sonora,2008,2643.830,22.600,49.000,21.200,7.800,31.400
tabasco,2008,2207.200,25.600,77.600,34.500,24.900,56.600
tamaulipas,2008,3243.750,23.900,55.200,11.800,12.400,41.700
tlaxcala,2008,1154.370,44.600,74.900,24.800,21.700,65.200
veracruz,2008,7577.540,42.900,72.100,25.600,20.800,54.300
yucatan,2008,1928.680,26.900,61.000,16.200,13.000,51.800
zacatecas,2008,1480.590,32.100,67.800,19.700,22.300,56.200
