estado_1,anio,miles_personas,porcen_pobla_carencia_acceso_servicios_salud,porcen_pobla_carencia_acceso_a_seguridad_social,porcen_pobla_carencia_acceso_a_alimentacion,porcen_pobla_ingreso_inferiora_linea_pobreza_extrema,porcen_pobla_ingreso_inferiora_linea_pobreza_ingresos
aguascalientes,2012,1238.280,14.800,47.600,21.500,14.900,47.900
baja_california,2012,3343.790,22.300,55.700,15.200,10.900,38.800
baja_california_sur,2012,701.790,15.100,43.500,21.900,13.100,38.000
campeche,2012,868.480,12.200,61.000,18.700,20.600,50.200
coahuila,2012,2862.140,14.400,34.300,21.200,11.600,40.700
colima,2012,689.210,14.600,50.800,22.300,11.400,40.700
chiapas,2012,5064.200,24.900,83.300,24.700,46.700,76.400
chihuahua,2012,3610.060,13.600,48.400,18.400,15.900,46.000
ciudad_mexico,2012,8874.780,23.400,52.500,13.000,6.900,35.500
durango,2012,1715.360,17.800,57.900,21.400,25.000,61.200
guanajuato,2012,5680.320,19.000,62.100,28.500,16.900,49.300
guerrero,2012,3505.080,25.400,78.500,39.400,45.100,71.900
hidalgo,2012,2777.760,18.700,71.300,25.000,23.800,55.800
jalisco,2012,7667.910,23.700,53.500,20.600,16.300,47.900
mexico,2012,16165.950,25.300,64.800,17.700,15.900,53.100
michoacan,2012,4502.200,28.600,71.600,32.200,24.200,57.900
morelos,2012,1855.790,22.300,64.400,30.700,15.000,50.100
nayarit,2012,1162.300,18.300,62.600,28.800,23.400,53.200
nuevo_leon,2012,4873.250,15.500,37.000,17.600,8.800,31.700
oaxaca,2012,3930.740,20.900,75.700,31.700,34.400,63.600
puebla,2012,6015.350,29.600,77.100,30.100,32.900,68.700
queretaro,2012,1916.290,15.500,56.700,19.800,14.700,43.300
quintana_roo,2012,1452.040,21.200,54.900,18.600,16.600,45.000
san_luis_potosi,2012,2679.770,14.000,61.600,24.700,23.300,57.100
sinaloa,2012,2911.100,16.600,52.700,25.900,13.400,42.600
sonora,2012,2820.400,17.100,46.800,26.000,10.200,33.800
tabasco,2012,2313.140,18.200,71.200,33.400,23.600,52.700
tamaulipas,2012,3429.730,15.800,50.600,19.200,14.900,47.200
tlaxcala,2012,1229.940,24.200,70.800,28.400,24.400,63.900
veracruz,2012,7867.440,25.700,68.500,28.200,24.000,56.600
yucatan,2012,2040.410,15.700,58.800,25.100,16.600,55.100
zacatecas,2012,1541.160,16.700,62.900,22.300,30.300,60.600
