Id,Estado,miles_personas_2008,miles_personas_2009,miles_personas_2010,miles_personas_2011,miles_personas_2012,miles_personas_2013,miles_personas_2014,miles_personas_2015,miles_personas_2016,miles_personas_2017,miles_personas_2018,porcen_pobla_carencia_acceso_servicios_salud_2008,porcen_pobla_carencia_acceso_servicios_salud_2009,porcen_pobla_carencia_acceso_servicios_salud_2010,porcen_pobla_carencia_acceso_servicios_salud_2011,porcen_pobla_carencia_acceso_servicios_salud_2012,porcen_pobla_carencia_acceso_servicios_salud_2013,porcen_pobla_carencia_acceso_servicios_salud_2014,porcen_pobla_carencia_acceso_servicios_salud_2015,porcen_pobla_carencia_acceso_servicios_salud_2016,porcen_pobla_carencia_acceso_servicios_salud_2017,porcen_pobla_carencia_acceso_servicios_salud_2018,porcen_pobla_carencia_acceso_a_seguridad_social_2008,porcen_pobla_carencia_acceso_a_seguridad_social_2009,porcen_pobla_carencia_acceso_a_seguridad_social_2010,porcen_pobla_carencia_acceso_a_seguridad_social_2011,porcen_pobla_carencia_acceso_a_seguridad_social_2012,porcen_pobla_carencia_acceso_a_seguridad_social_2013,porcen_pobla_carencia_acceso_a_seguridad_social_2014,porcen_pobla_carencia_acceso_a_seguridad_social_2015,porcen_pobla_carencia_acceso_a_seguridad_social_2016,porcen_pobla_carencia_acceso_a_seguridad_social_2017,porcen_pobla_carencia_acceso_a_seguridad_social_2018,porcen_pobla_carencia_acceso_a_alimentacion_2008,porcen_pobla_carencia_acceso_a_alimentacion_2009,porcen_pobla_carencia_acceso_a_alimentacion_2010,porcen_pobla_carencia_acceso_a_alimentacion_2011,porcen_pobla_carencia_acceso_a_alimentacion_2012,porcen_pobla_carencia_acceso_a_alimentacion_2013,porcen_pobla_carencia_acceso_a_alimentacion_2014,porcen_pobla_carencia_acceso_a_alimentacion_2015,porcen_pobla_carencia_acceso_a_alimentacion_2016,porcen_pobla_carencia_acceso_a_alimentacion_2017,porcen_pobla_carencia_acceso_a_alimentacion_2018,porcen_pobla_ingreso_inferiora_linea_pobreza_extrema_2008,porcen_pobla_ingreso_inferiora_linea_pobreza_extrema_2009,porcen_pobla_ingreso_inferiora_linea_pobreza_extrema_2010,porcen_pobla_ingreso_inferiora_linea_pobreza_extrema_2011,porcen_pobla_ingreso_inferiora_linea_pobreza_extrema_2012,porcen_pobla_ingreso_inferiora_linea_pobreza_extrema_2013,porcen_pobla_ingreso_inferiora_linea_pobreza_extrema_2014,porcen_pobla_ingreso_inferiora_linea_pobreza_extrema_2015,porcen_pobla_ingreso_inferiora_linea_pobreza_extrema_2016,porcen_pobla_ingreso_inferiora_linea_pobreza_extrema_2017,porcen_pobla_ingreso_inferiora_linea_pobreza_extrema_2018,porcen_pobla_ingreso_inferiora_linea_pobreza_ingresos_2008,porcen_pobla_ingreso_inferiora_linea_pobreza_ingresos_2009,porcen_pobla_ingreso_inferiora_linea_pobreza_ingresos_2010,porcen_pobla_ingreso_inferiora_linea_pobreza_ingresos_2011,porcen_pobla_ingreso_inferiora_linea_pobreza_ingresos_2012,porcen_pobla_ingreso_inferiora_linea_pobreza_ingresos_2013,porcen_pobla_ingreso_inferiora_linea_pobreza_ingresos_2014,porcen_pobla_ingreso_inferiora_linea_pobreza_ingresos_2015,porcen_pobla_ingreso_inferiora_linea_pobreza_ingresos_2016,porcen_pobla_ingreso_inferiora_linea_pobreza_ingresos_2017,porcen_pobla_ingreso_inferiora_linea_pobreza_ingresos_2018
1,Aguascalientes,1156.68,1177.38,1198.08,1218.1799999999998,1238.28,1256.065,1273.85,1291.8899999999999,1309.93,1326.26,1342.59,23.2,21.45,19.7,17.25,14.8,13.65,12.5,12.3,12.1,11.75,11.4,55.3,52.3,49.3,48.45,47.6,45.400000000000006,43.2,41.8,40.4,41.349999999999994,42.3,20.1,20.15,20.2,20.85,21.5,21.55,21.6,19.4,17.2,15.1,13.0,14.1,14.45,14.8,14.850000000000001,14.9,13.9,12.9,11.25,9.6,9.2,8.8,45.3,45.75,46.2,47.05,47.9,45.8,43.7,41.25,38.8,37.65,36.5
2,Baja California,3118.68,3177.0249999999996,3235.37,3289.58,3343.79,3393.95,3444.11,3496.715,3549.32,3598.7200000000003,3648.12,32.6,32.0,31.4,26.85,22.3,20.85,19.4,18.35,17.3,17.1,16.9,55.1,54.900000000000006,54.7,55.2,55.7,53.75,51.8,47.4,43.0,44.1,45.2,14.1,15.25,16.4,15.799999999999999,15.2,16.2,17.2,16.05,14.9,14.5,14.1,7.6,8.7,9.8,10.350000000000001,10.9,10.3,9.7,7.55,5.4,5.6,5.8,31.4,34.65,37.9,38.349999999999994,38.8,37.0,35.2,32.1,29.0,29.5,30.0
3,Baja California Sur,611.09,632.965,654.84,678.315,701.79,724.6800000000001,747.57,770.7,793.83,816.755,839.68,25.2,22.7,20.2,17.65,15.1,14.649999999999999,14.2,13.35,12.5,11.6,10.7,51.5,48.7,45.9,44.7,43.5,45.05,46.6,43.3,40.0,40.55,41.1,15.4,20.7,26.0,23.95,21.9,23.25,24.6,21.9,19.2,18.5,17.8,7.7,9.45,11.2,12.149999999999999,13.1,11.85,10.6,8.35,6.1,5.35,4.6,26.0,30.75,35.5,36.75,38.0,36.95,35.9,32.25,28.6,25.65,22.7
4,Campeche,813.54,827.815,842.09,855.2850000000001,868.48,882.715,896.95,911.185,925.42,938.8499999999999,952.28,23.3,21.25,19.2,15.7,12.2,12.35,12.5,11.6,10.7,11.2,11.7,61.9,60.95,60.0,60.5,61.0,60.55,60.1,59.55,59.0,60.25,61.5,20.3,25.75,31.2,24.95,18.7,21.5,24.3,24.950000000000003,25.6,26.5,27.4,18.5,20.05,21.6,21.1,20.6,19.9,19.2,17.5,15.8,17.15,18.5,50.5,52.65,54.8,52.5,50.2,48.900000000000006,47.6,48.1,48.6,49.7,50.8
5,Chiapas,4781.49,4853.885,4926.28,4995.24,5064.2,5130.885,5197.57,5267.36,5337.15,5400.245,5463.34,51.1,43.25,35.4,30.15,24.9,22.799999999999997,20.7,17.85,15.0,16.3,17.6,85.4,83.9,82.4,82.85,83.3,83.05,82.8,81.94999999999999,81.1,82.35,83.6,26.2,28.25,30.3,27.5,24.7,26.1,27.5,23.45,19.4,20.85,22.3,48.2,49.55,50.9,48.8,46.7,47.6,48.5,49.2,49.9,50.3,50.7,78.5,79.7,80.9,78.65,76.4,77.55000000000001,78.7,79.25,79.8,79.35,78.9
6,Chihuahua,3445.73,3490.06,3534.39,3572.225,3610.06,3644.9849999999997,3679.91,3718.46,3757.01,3791.945,3826.88,29.6,24.05,18.5,16.05,13.6,14.1,14.6,13.399999999999999,12.2,11.75,11.3,55.9,52.15,48.4,48.4,48.4,45.9,43.4,41.95,40.5,41.3,42.1,17.4,17.549999999999997,17.7,18.049999999999997,18.4,18.549999999999997,18.7,18.45,18.2,17.95,17.7,11.5,14.05,16.6,16.25,15.9,16.9,17.9,14.549999999999999,11.2,10.45,9.7,39.4,45.599999999999994,51.8,48.9,46.0,46.2,46.4,44.05,41.7,39.1,36.5
7,Ciudad De Mexico,8929.24,8908.885,8888.53,8881.655,8874.78,8847.44,8820.1,8820.975,8821.85,8801.585,8781.32,36.3,34.4,32.5,27.95,23.4,21.65,19.9,19.75,19.6,19.85,20.1,52.9,52.65,52.4,52.45,52.5,49.4,46.3,46.65,47.0,47.65,48.3,15.6,15.55,15.5,14.25,13.0,12.35,11.7,11.6,11.5,12.7,13.9,5.3,5.65,6.0,6.45,6.9,7.55,8.2,7.85,7.5,7.65,7.8,32.6,33.3,34.0,34.75,35.5,35.95,36.4,35.4,34.4,36.349999999999994,38.3
8,Coahuila,2707.43,2748.73,2790.03,2826.085,2862.14,2898.995,2935.85,2970.83,3005.81,3039.66,3073.51,23.3,20.450000000000003,17.6,16.0,14.4,15.0,15.6,14.2,12.8,13.0,13.2,40.5,37.4,34.3,34.3,34.3,34.25,34.2,32.400000000000006,30.6,30.5,30.4,16.8,18.8,20.8,21.0,21.2,21.6,22.0,19.05,16.1,17.200000000000003,18.3,11.3,11.4,11.5,11.55,11.6,11.7,11.8,10.3,8.8,7.65,6.5,45.3,43.0,40.7,40.7,40.7,41.0,41.3,39.55,37.8,35.75,33.7
9,Colima,632.71,648.215,663.72,676.465,689.21,701.1800000000001,713.15,726.3,739.45,751.375,763.3,17.0,16.7,16.4,15.5,14.6,13.649999999999999,12.7,12.3,11.9,11.350000000000001,10.8,56.0,55.9,55.8,53.3,50.8,51.349999999999994,51.9,49.8,47.7,48.3,48.9,14.3,17.1,19.9,21.1,22.3,23.85,25.4,23.25,21.1,21.35,21.6,7.4,8.0,8.6,10.0,11.4,11.0,10.6,9.3,8.0,8.85,9.7,30.9,35.25,39.6,40.150000000000006,40.7,40.7,40.7,40.650000000000006,40.6,38.45,36.3
10,Durango,1633.86,1654.71,1675.56,1695.46,1715.36,1733.3899999999999,1751.42,1769.455,1787.49,1804.115,1820.74,37.2,32.35,27.5,22.65,17.8,17.15,16.5,15.3,14.1,13.6,13.1,59.0,58.85,58.7,58.3,57.9,54.599999999999994,51.3,50.15,49.0,48.55,48.1,22.0,21.15,20.3,20.85,21.4,20.65,19.9,19.25,18.6,18.700000000000003,18.8,20.0,21.7,23.4,24.2,25.0,22.85,20.7,16.75,12.8,13.600000000000001,14.4,56.7,58.5,60.3,60.75,61.2,57.55,53.9,49.65,45.4,46.5,47.6
