estado_1,anio,miles_personas,miles_personas_carencia_acceso_servicios_salud,miles_personas_carencia_acceso_seguridad_social,miles_personas_carencia_acceso_alimentacion,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre,miles_personas_ingreso_inferior_linea_pobreza_ingre
aguascalientes,2008,1156.680,268.290,639.880,232.620,162.530,524.330
baja_california,2008,3118.680,1016.350,1718.340,440.730,236.900,978.250
baja_california_sur,2008,611.090,153.940,314.410,94.200,46.870,159.140
campeche,2008,813.540,189.420,503.590,164.960,150.640,410.790
coahuila,2008,2707.430,630.100,1096.770,456.130,306.510,1225.250
colima,2008,632.710,107.560,354.490,90.730,46.860,195.570
chiapas,2008,4781.490,2444.400,4084.470,1253.050,2305.980,3752.870
chihuahua,2008,3445.730,1020.850,1925.140,598.220,397.190,1357.310
ciudad_mexico,2008,8929.240,3245.280,4725.600,1390.490,471.750,2915.270
durango,2008,1633.860,608.450,963.270,359.670,327.120,925.640
guanajuato,2008,5455.380,1973.680,3636.630,1478.020,709.000,2654.290
guerrero,2008,3389.090,1893.290,2750.930,1151.740,1318.410,2387.150
hidalgo,2008,2616.090,1240.200,2019.540,625.330,594.050,1533.300
jalisco,2008,7241.420,2458.380,4199.620,1294.770,697.100,3042.390
mexico,2008,15099.490,6429.390,10307.480,3201.800,1691.610,7234.170
michoacan,2008,4346.620,2417.470,3362.880,1383.560,964.340,2520.820
morelos,2008,1756.400,674.670,1270.570,439.060,307.890,912.680
nayarit,2008,1063.850,322.270,704.190,193.370,153.500,490.900
nuevo_leon,2008,4569.310,1133.890,2024.070,491.440,280.440,1306.620
oaxaca,2008,3809.580,2086.440,3063.480,1088.660,1255.150,2408.660
puebla,2008,5740.560,3216.320,4480.440,1553.820,1543.550,3937.660
queretaro,2008,1786.600,478.600,1030.460,320.400,195.870,720.120
quintana_roo,2008,1270.770,439.370,742.600,187.510,166.360,491.140
san_luis_potosi,2008,2560.960,879.940,1649.410,598.290,568.000,1468.300
sinaloa,2008,2795.680,816.400,1644.130,635.960,226.740,1002.810
sonora,2008,2643.830,598.510,1295.360,561.380,205.860,829.580
tabasco,2008,2207.200,565.780,1711.740,760.710,549.340,1249.610
tamaulipas,2008,3243.750,776.350,1790.380,382.480,403.410,1351.890
tlaxcala,2008,1154.370,514.630,864.840,286.280,250.900,752.270
veracruz,2008,7577.540,3248.740,5463.410,1938.750,1576.010,4117.680
yucatan,2008,1928.680,519.440,1176.970,313.180,250.720,998.600
zacatecas,2008,1480.590,474.610,1004.470,291.360,330.370,832.200
