estado_1,anio,miles_personas,miles_personas_carencia_acceso_servicios_salud,miles_personas_carencia_acceso_seguridad_social,miles_personas_carencia_acceso_alimentacion,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre,miles_personas_ingreso_inferior_linea_pobreza_ingre
aguascalientes,2018,1342.590,153.110,568.170,174.370,118.770,489.560
baja_california,2018,3648.120,615.090,1650.630,516.160,211.070,1094.860
baja_california_sur,2018,839.680,90.240,344.760,149.820,38.930,190.920
campeche,2018,952.280,111.390,586.110,261.340,176.200,484.180
coahuila,2018,3073.510,405.750,933.260,561.440,199.010,1037.130
colima,2018,763.300,82.710,373.190,165.040,74.090,276.900
chiapas,2018,5463.340,961.130,4567.510,1220.680,2770.070,4311.450
chihuahua,2018,3826.880,432.660,1610.940,677.380,372.660,1397.650
ciudad_mexico,2018,8781.320,1761.330,4245.540,1218.020,687.570,3364.430
durango,2018,1820.740,237.840,875.740,341.690,262.010,866.940
guanajuato,2018,5964.970,814.780,3403.700,1234.240,950.380,3033.420
guerrero,2018,3629.030,500.070,2742.990,1290.320,1402.350,2522.580
hidalgo,2018,2990.300,431.580,2117.530,679.780,439.040,1424.710
jalisco,2018,8222.690,1591.190,4093.890,1242.370,685.600,2967.370
mexico,2018,17666.780,3489.890,10461.530,3505.840,2443.090,9087.920
michoacan,2018,4695.280,995.140,3262.150,988.750,730.560,2390.570
morelos,2018,1994.130,335.280,1326.190,490.390,391.520,1127.750
nayarit,2018,1296.950,177.090,727.270,245.180,174.590,514.460
nuevo_leon,2018,5321.300,689.630,1839.740,648.900,164.100,1123.110
oaxaca,2018,4091.380,665.120,3116.630,1142.220,1532.130,2822.500
puebla,2018,6388.090,1328.920,4604.130,1331.400,1424.410,4154.850
queretaro,2018,2100.010,248.520,1105.960,291.280,161.100,712.420
quintana_roo,2018,1722.570,269.330,891.210,308.710,119.670,545.290
san_luis_potosi,2018,2831.860,253.650,1572.190,480.050,538.800,1437.860
sinaloa,2018,3066.440,403.550,1392.280,751.990,230.040,1145.410
sonora,2018,3061.960,386.830,1255.060,659.310,256.110,1130.160
tabasco,2018,2460.880,311.250,1699.350,1151.070,512.300,1382.320
tamaulipas,2018,3672.330,439.990,1592.410,614.470,555.500,1773.250
tlaxcala,2018,1334.800,183.360,904.800,270.110,199.080,747.690
veracruz,2018,8236.730,1379.280,5561.290,2222.340,2653.180,5594.850
yucatan,2018,2207.160,310.420,1221.500,428.250,276.150,1021.340
zacatecas,2018,1615.040,188.680,1011.660,268.670,277.090,880.050
