Id,Estado,miles_personas_2008,miles_personas_2009,miles_personas_2010,miles_personas_2011,miles_personas_2012,miles_personas_2013,miles_personas_2014,miles_personas_2015,miles_personas_2016,miles_personas_2017,miles_personas_2018,miles_personas_carencia_acceso_servicios_salud_2008,miles_personas_carencia_acceso_servicios_salud_2009,miles_personas_carencia_acceso_servicios_salud_2010,miles_personas_carencia_acceso_servicios_salud_2011,miles_personas_carencia_acceso_servicios_salud_2012,miles_personas_carencia_acceso_servicios_salud_2013,miles_personas_carencia_acceso_servicios_salud_2014,miles_personas_carencia_acceso_servicios_salud_2015,miles_personas_carencia_acceso_servicios_salud_2016,miles_personas_carencia_acceso_servicios_salud_2017,miles_personas_carencia_acceso_servicios_salud_2018,miles_personas_carencia_acceso_seguridad_social_2008,miles_personas_carencia_acceso_seguridad_social_2009,miles_personas_carencia_acceso_seguridad_social_2010,miles_personas_carencia_acceso_seguridad_social_2011,miles_personas_carencia_acceso_seguridad_social_2012,miles_personas_carencia_acceso_seguridad_social_2013,miles_personas_carencia_acceso_seguridad_social_2014,miles_personas_carencia_acceso_seguridad_social_2015,miles_personas_carencia_acceso_seguridad_social_2016,miles_personas_carencia_acceso_seguridad_social_2017,miles_personas_carencia_acceso_seguridad_social_2018,miles_personas_carencia_acceso_alimentacion_2008,miles_personas_carencia_acceso_alimentacion_2009,miles_personas_carencia_acceso_alimentacion_2010,miles_personas_carencia_acceso_alimentacion_2011,miles_personas_carencia_acceso_alimentacion_2012,miles_personas_carencia_acceso_alimentacion_2013,miles_personas_carencia_acceso_alimentacion_2014,miles_personas_carencia_acceso_alimentacion_2015,miles_personas_carencia_acceso_alimentacion_2016,miles_personas_carencia_acceso_alimentacion_2017,miles_personas_carencia_acceso_alimentacion_2018,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2008,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2009,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2010,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2011,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2012,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2013,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2014,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2015,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2016,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2017,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre_2018,miles_personas_ingreso_inferior_linea_pobreza_ingre_2008,miles_personas_ingreso_inferior_linea_pobreza_ingre_2009,miles_personas_ingreso_inferior_linea_pobreza_ingre_2010,miles_personas_ingreso_inferior_linea_pobreza_ingre_2011,miles_personas_ingreso_inferior_linea_pobreza_ingre_2012,miles_personas_ingreso_inferior_linea_pobreza_ingre_2013,miles_personas_ingreso_inferior_linea_pobreza_ingre_2014,miles_personas_ingreso_inferior_linea_pobreza_ingre_2015,miles_personas_ingreso_inferior_linea_pobreza_ingre_2016,miles_personas_ingreso_inferior_linea_pobreza_ingre_2017,miles_personas_ingreso_inferior_linea_pobreza_ingre_2018
1,Aguascalientes,1156.68,1177.38,1198.08,1218.1799999999998,1238.28,1256.065,1273.85,1291.8899999999999,1309.93,1326.26,1342.59,268.29,252.125,235.96,209.35500000000002,182.75,170.89,159.03,159.035,159.04,156.075,153.11,639.88,615.0350000000001,590.19,589.99,589.79,569.99,550.19,539.78,529.37,548.77,568.17,232.62,237.405,242.19,254.26,266.33,270.42999999999995,274.53,249.885,225.24,199.805,174.37,162.53,170.215,177.9,180.97,184.04,174.22,164.4,144.845,125.29,122.03,118.77,524.33,539.02,553.71,573.35,592.99,574.73,556.47,532.635,508.8,499.18,489.56
2,Baja California,3118.68,3177.0249999999996,3235.37,3289.58,3343.79,3393.95,3444.11,3496.715,3549.32,3598.7200000000003,3648.12,1016.35,1015.4200000000001,1014.49,880.385,746.28,706.4449999999999,666.61,640.21,613.81,614.45,615.09,1718.34,1743.3,1768.26,1815.49,1862.72,1824.155,1785.59,1655.545,1525.5,1588.065,1650.63,440.73,485.06,529.39,519.625,509.86,550.85,591.84,561.1949999999999,530.55,523.355,516.16,236.9,276.805,316.71,340.92499999999995,365.14,349.595,334.05,262.21000000000004,190.37,200.72,211.07,978.25,1101.7350000000001,1225.22,1261.665,1298.11,1254.88,1211.65,1119.845,1028.04,1061.4499999999998,1094.86
3,Baja California Sur,611.09,632.965,654.84,678.315,701.79,724.6800000000001,747.57,770.7,793.83,816.755,839.68,153.94,143.04,132.14,119.14999999999999,106.16,106.215,106.27,102.60499999999999,98.94,94.59,90.24,314.41,307.615,300.82,303.13,305.44,327.005,348.57,332.9,317.23,330.995,344.76,94.2,132.335,170.47,162.04500000000002,153.62,168.635,183.65,168.015,152.38,151.1,149.82,46.87,60.205,73.54,82.58000000000001,91.62,85.285,78.95,63.735,48.52,43.725,38.93,159.14,195.92,232.7,249.775,266.85,267.47,268.09,247.46999999999997,226.85,208.885,190.92
4,Campeche,813.54,827.815,842.09,855.2850000000001,868.48,882.715,896.95,911.185,925.42,938.8499999999999,952.28,189.42,175.625,161.83,133.865,105.9,108.875,111.85,105.63499999999999,99.42,105.405,111.39,503.59,504.30999999999995,505.03,517.5799999999999,530.13,534.7950000000001,539.46,542.625,545.79,565.95,586.11,164.96,213.77499999999998,262.59,212.665,162.74,190.175,217.61,227.22000000000003,236.83,249.08499999999998,261.34,150.64,166.33499999999998,182.03,180.31,178.59,175.39499999999998,172.2,159.065,145.93,161.065,176.2,410.79,436.23,461.67,448.975,436.28,431.54499999999996,426.81,438.115,449.42,466.8,484.18
5,Chiapas,4781.49,4853.885,4926.28,4995.24,5064.2,5130.885,5197.57,5267.36,5337.15,5400.245,5463.34,2444.4,2093.855,1743.31,1503.225,1263.14,1168.275,1073.41,938.0150000000001,802.62,881.875,961.13,4084.47,4071.13,4057.79,4137.82,4217.85,4259.635,4301.42,4314.9349999999995,4328.45,4447.98,4567.51,1253.05,1373.15,1493.25,1372.81,1252.37,1341.455,1430.54,1233.73,1036.92,1128.8000000000002,1220.68,2305.98,2406.52,2507.06,2436.14,2365.22,2441.925,2518.63,2590.5,2662.37,2716.2200000000003,2770.07,3752.87,3867.955,3983.04,3926.495,3869.95,3980.3599999999997,4090.77,4175.135,4259.5,4285.475,4311.45
6,Chihuahua,3445.73,3490.06,3534.39,3572.225,3610.06,3644.9849999999997,3679.91,3718.46,3757.01,3791.945,3826.88,1020.85,837.8,654.75,572.21,489.67,512.9300000000001,536.19,497.96500000000003,459.74,446.20000000000005,432.66,1925.14,1818.0100000000002,1710.88,1729.395,1747.91,1671.8400000000001,1595.77,1559.455,1523.14,1567.04,1610.94,598.22,611.58,624.94,644.425,663.91,675.94,687.97,685.625,683.28,680.3299999999999,677.38,397.19,491.19500000000005,585.2,580.395,575.59,616.315,657.04,538.3199999999999,419.6,396.13,372.66,1357.31,1593.37,1829.43,1744.525,1659.62,1682.835,1706.05,1636.935,1567.82,1482.7350000000001,1397.65
7,Ciudad De Mexico,8929.24,8908.885,8888.53,8881.655,8874.78,8847.44,8820.1,8820.975,8821.85,8801.585,8781.32,3245.28,3065.34,2885.4,2479.11,2072.82,1915.97,1759.12,1745.63,1732.14,1746.7350000000001,1761.33,4725.6,4691.105,4656.61,4658.405,4660.2,4371.0,4081.8,4116.014999999999,4150.23,4197.885,4245.54,1390.49,1385.88,1381.27,1269.395,1157.52,1094.51,1031.5,1022.86,1014.22,1116.12,1218.02,471.75,501.955,532.16,571.06,609.96,666.6400000000001,723.32,694.2950000000001,665.27,676.4200000000001,687.57,2915.27,2966.96,3018.65,3084.54,3150.43,3179.5299999999997,3208.63,3121.165,3033.7,3199.0649999999996,3364.43
8,Coahuila,2707.43,2748.73,2790.03,2826.085,2862.14,2898.995,2935.85,2970.83,3005.81,3039.66,3073.51,630.1,560.13,490.16,451.23,412.3,434.72,457.14,420.94,384.74,395.245,405.75,1096.77,1026.915,957.06,969.8,982.54,993.26,1003.98,961.475,918.97,926.115,933.26,456.13,517.81,579.49,592.76,606.03,626.405,646.78,565.725,484.67,523.0550000000001,561.44,306.51,313.04499999999996,319.58,326.49,333.4,339.875,346.35,305.63,264.91,231.96,199.01,1225.25,1179.995,1134.74,1149.405,1164.07,1187.59,1211.11,1174.355,1137.6,1087.365,1037.13
9,Colima,632.71,648.215,663.72,676.465,689.21,701.1800000000001,713.15,726.3,739.45,751.375,763.3,107.56,108.225,108.89,104.715,100.54,95.54,90.54,89.14,87.74,85.225,82.71,354.49,362.3,370.11,360.01,349.91,360.055,370.2,361.565,352.93,363.06,373.19,90.73,111.275,131.82,142.715,153.61,167.53500000000003,181.46,168.875,156.29,160.665,165.04,46.86,51.825,56.79,67.695,78.6,77.0,75.4,67.265,59.13,66.61,74.09,195.57,229.13,262.69,271.53499999999997,280.38,285.33500000000004,290.29,295.19500000000005,300.1,288.5,276.9
10,Durango,1633.86,1654.71,1675.56,1695.46,1715.36,1733.3899999999999,1751.42,1769.455,1787.49,1804.115,1820.74,608.45,534.38,460.31,382.98,305.65,297.69,289.73,270.815,251.9,244.87,237.84,963.27,973.14,983.01,988.36,993.71,945.71,897.71,887.155,876.6,876.1700000000001,875.74,359.67,349.595,339.52,353.45,367.38,358.315,349.25,340.75,332.25,336.97,341.69,327.12,359.255,391.39,409.95,428.51,395.945,363.38,296.09000000000003,228.8,245.405,262.01,925.64,968.26,1010.88,1030.215,1049.55,997.21,944.87,878.04,811.21,839.075,866.94
