estado_1,anio,pobreza_profundidad,pobreza_intensidad,pobreza_extrema_profundidad,pobreza_extrema_intensidad
aguascalientes,2018,1.610,0.070,3.190,0.010
baja_california,2018,1.860,0.070,3.530,0.010
baja_california_sur,2018,2.030,0.060,3.560,0.010
campeche,2018,2.380,0.180,3.530,0.060
coahuila,2018,1.800,0.070,3.340,0.010
colima,2018,1.920,0.100,3.510,0.010
chiapas,2018,2.680,0.340,3.680,0.180
chihuahua,2018,1.870,0.080,3.530,0.020
ciudad_de_mexico,2018,1.780,0.090,3.210,0.010
durango,2018,1.660,0.100,3.270,0.010
guanajuato,2018,1.900,0.140,3.400,0.020
guerrero,2018,2.840,0.310,3.690,0.160
hidalgo,2018,2.110,0.150,3.410,0.030
jalisco,2018,2.030,0.100,3.760,0.020
mexico,2018,1.960,0.140,3.350,0.030
michoacan,2018,2.200,0.170,3.600,0.040
morelos,2018,2.070,0.180,3.440,0.040
nayarit,2018,2.180,0.130,3.880,0.040
nuevo_leon,2018,1.640,0.040,3.260,0.000
oaxaca,2018,2.750,0.300,3.610,0.140
puebla,2018,2.180,0.210,3.560,0.050
queretaro,2018,1.880,0.090,3.450,0.010
quintana_roo,2018,2.360,0.110,3.590,0.020
san_luis_potosi,2018,2.040,0.150,3.440,0.040
sinaloa,2018,2.140,0.110,3.740,0.020
sonora,2018,1.970,0.090,3.520,0.020
tabasco,2018,2.540,0.230,3.470,0.070
tamaulipas,2018,1.780,0.100,3.450,0.020
tlaxcala,2018,1.830,0.150,3.250,0.020
veracruz,2018,2.490,0.260,3.580,0.110
yucatan,2018,2.370,0.160,3.550,0.040
zacatecas,2018,1.700,0.130,3.350,0.020
