Id,Estado,pobreza_profundidad_2008,pobreza_profundidad_2009,pobreza_profundidad_2010,pobreza_profundidad_2011,pobreza_profundidad_2012,pobreza_profundidad_2013,pobreza_profundidad_2014,pobreza_profundidad_2015,pobreza_profundidad_2016,pobreza_profundidad_2017,pobreza_profundidad_2018,pobreza_intensidad_2008,pobreza_intensidad_2009,pobreza_intensidad_2010,pobreza_intensidad_2011,pobreza_intensidad_2012,pobreza_intensidad_2013,pobreza_intensidad_2014,pobreza_intensidad_2015,pobreza_intensidad_2016,pobreza_intensidad_2017,pobreza_intensidad_2018,pobreza_extrema_profundidad_2008,pobreza_extrema_profundidad_2009,pobreza_extrema_profundidad_2010,pobreza_extrema_profundidad_2011,pobreza_extrema_profundidad_2012,pobreza_extrema_profundidad_2013,pobreza_extrema_profundidad_2014,pobreza_extrema_profundidad_2015,pobreza_extrema_profundidad_2016,pobreza_extrema_profundidad_2017,pobreza_extrema_profundidad_2018,pobreza_extrema_intensidad_2008,pobreza_extrema_intensidad_2009,pobreza_extrema_intensidad_2010,pobreza_extrema_intensidad_2011,pobreza_extrema_intensidad_2012,pobreza_extrema_intensidad_2013,pobreza_extrema_intensidad_2014,pobreza_extrema_intensidad_2015,pobreza_extrema_intensidad_2016,pobreza_extrema_intensidad_2017,pobreza_extrema_intensidad_2018
1,Aguascalientes,1.97,1.955,1.94,1.895,1.85,1.7850000000000001,1.72,1.7149999999999999,1.71,1.6600000000000001,1.61,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.09,0.08,0.07500000000000001,0.07,3.52,3.48,3.44,3.4050000000000002,3.37,3.365,3.36,3.335,3.31,3.25,3.19,0.02,0.02,0.02,0.02,0.02,0.015,0.01,0.01,0.01,0.01,0.01
2,Baja California,2.15,2.15,2.15,2.03,1.91,1.995,2.08,1.96,1.84,1.85,1.86,0.09,0.1,0.11,0.10500000000000001,0.1,0.1,0.1,0.085,0.07,0.07,0.07,3.43,3.425,3.42,3.3449999999999998,3.27,3.55,3.83,3.52,3.21,3.37,3.53,0.02,0.02,0.02,0.015,0.01,0.015,0.02,0.015,0.01,0.01,0.01
3,Baja California Sur,2.24,2.27,2.3,2.205,2.11,2.115,2.12,2.055,1.99,2.01,2.03,0.08,0.1,0.12,0.11499999999999999,0.11,0.11,0.11,0.09,0.07,0.065,0.06,3.57,3.6799999999999997,3.79,3.665,3.54,3.565,3.59,3.5999999999999996,3.61,3.585,3.56,0.02,0.025,0.03,0.025,0.02,0.02,0.02,0.015,0.01,0.01,0.01
4,Campeche,2.77,2.7800000000000002,2.79,2.6,2.41,2.48,2.55,2.4349999999999996,2.32,2.3499999999999996,2.38,0.21,0.22,0.23,0.20500000000000002,0.18,0.185,0.19,0.18,0.17,0.175,0.18,3.82,3.795,3.77,3.6,3.43,3.51,3.59,3.5549999999999997,3.52,3.525,3.53,0.08,0.08499999999999999,0.09,0.075,0.06,0.065,0.07,0.05500000000000001,0.04,0.05,0.06
5,Chiapas,3.34,3.255,3.17,3.04,2.91,2.8600000000000003,2.81,2.67,2.53,2.605,2.68,0.43,0.42,0.41,0.385,0.36,0.36,0.36,0.345,0.33,0.335,0.34,3.99,3.965,3.94,3.875,3.81,3.7800000000000002,3.75,3.625,3.5,3.59,3.68,0.26,0.255,0.25,0.225,0.2,0.2,0.2,0.18,0.16,0.16999999999999998,0.18
6,Chihuahua,2.58,2.34,2.1,1.98,1.86,1.9649999999999999,2.07,1.97,1.87,1.87,1.87,0.14,0.14,0.14,0.125,0.11,0.11499999999999999,0.12,0.11,0.1,0.09,0.08,4.23,3.96,3.69,3.58,3.47,3.7700000000000005,4.07,3.91,3.75,3.6399999999999997,3.53,0.05,0.045,0.04,0.03,0.02,0.03,0.04,0.03,0.02,0.02,0.02
7,Ciudad De Mexico,2.18,2.135,2.09,2.02,1.95,1.855,1.76,1.78,1.8,1.79,1.78,0.1,0.1,0.1,0.095,0.09,0.08499999999999999,0.08,0.08,0.08,0.08499999999999999,0.09,3.51,3.505,3.5,3.475,3.45,3.34,3.23,3.285,3.34,3.275,3.21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
8,Coahuila,1.94,1.905,1.87,1.915,1.96,1.9449999999999998,1.93,1.855,1.78,1.79,1.8,0.11,0.1,0.09,0.09,0.09,0.095,0.1,0.085,0.07,0.07,0.07,3.43,3.41,3.39,3.395,3.4,3.425,3.45,3.47,3.49,3.415,3.34,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.015,0.01,0.01,0.01
9,Colima,1.98,2.0700000000000003,2.16,2.12,2.08,2.08,2.08,2.0300000000000002,1.98,1.95,1.92,0.09,0.105,0.12,0.12,0.12,0.12,0.12,0.11499999999999999,0.11,0.10500000000000001,0.1,3.5,3.605,3.71,3.685,3.66,3.63,3.6,3.565,3.53,3.5199999999999996,3.51,0.01,0.015,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.015,0.01
10,Durango,2.49,2.375,2.26,2.125,1.99,1.95,1.91,1.85,1.79,1.725,1.66,0.2,0.195,0.19,0.18,0.17,0.15500000000000003,0.14,0.125,0.11,0.10500000000000001,0.1,3.69,3.635,3.58,3.4699999999999998,3.36,3.395,3.43,3.505,3.58,3.425,3.27,0.07,0.065,0.06,0.05,0.04,0.035,0.03,0.025,0.02,0.015,0.01
11,Guanajuato,2.57,2.465,2.36,2.285,2.21,2.11,2.01,1.9449999999999998,1.88,1.89,1.9,0.19,0.19,0.19,0.175,0.16,0.16,0.16,0.14500000000000002,0.13,0.135,0.14,3.66,3.585,3.51,3.5149999999999997,3.52,3.55,3.58,3.505,3.43,3.415,3.4,0.05,0.05,0.05,0.045,0.04,0.035,0.03,0.03,0.03,0.025,0.02
12,Guerrero,3.51,3.45,3.39,3.215,3.04,3.01,2.98,2.835,2.69,2.7649999999999997,2.84,0.4,0.39,0.38,0.365,0.35,0.33499999999999996,0.32,0.305,0.29,0.3,0.31,4.18,4.119999999999999,4.06,3.9349999999999996,3.81,3.7750000000000004,3.74,3.68,3.62,3.6550000000000002,3.69,0.23,0.225,0.22,0.21000000000000002,0.2,0.175,0.15,0.14500000000000002,0.14,0.15000000000000002,0.16
13,Hidalgo,2.83,2.7199999999999998,2.61,2.44,2.27,2.295,2.32,2.275,2.23,2.17,2.11,0.26,0.25,0.24,0.22,0.2,0.20500000000000002,0.21,0.2,0.19,0.16999999999999998,0.15,3.8,3.73,3.66,3.585,3.51,3.5,3.49,3.475,3.46,3.435,3.41,0.1,0.09,0.08,0.07,0.06,0.065,0.07,0.060000000000000005,0.05,0.04,0.03
14,Jalisco,2.27,2.2649999999999997,2.26,2.19,2.12,1.995,1.87,1.84,1.81,1.92,2.03,0.14,0.14,0.14,0.14,0.14,0.125,0.11,0.10500000000000001,0.1,0.1,0.1,3.6,3.64,3.68,3.59,3.5,3.46,3.42,3.41,3.4,3.58,3.76,0.03,0.03,0.03,0.03,0.03,0.025,0.02,0.015,0.01,0.015,0.02
15,Mexico,2.58,2.535,2.49,2.27,2.05,2.03,2.01,1.9949999999999999,1.98,1.97,1.96,0.19,0.185,0.18,0.16499999999999998,0.15,0.16,0.17,0.165,0.16,0.15000000000000002,0.14,3.74,3.685,3.63,3.52,3.41,3.4000000000000004,3.39,3.465,3.54,3.4450000000000003,3.35,0.04,0.045,0.05,0.04,0.03,0.035,0.04,0.04,0.04,0.035,0.03
16,Michoacan,3.08,2.96,2.84,2.735,2.63,2.585,2.54,2.435,2.33,2.265,2.2,0.29,0.275,0.26,0.25,0.24,0.245,0.25,0.235,0.22,0.195,0.17,4.06,3.9699999999999998,3.88,3.785,3.69,3.675,3.66,3.6100000000000003,3.56,3.58,3.6,0.1,0.095,0.09,0.09,0.09,0.09,0.09,0.075,0.06,0.05,0.04
17,Morelos,2.52,2.4450000000000003,2.37,2.34,2.31,2.27,2.23,2.12,2.01,2.04,2.07,0.21,0.19,0.17,0.17,0.17,0.18,0.19,0.18,0.17,0.175,0.18,3.59,3.63,3.67,3.62,3.57,3.565,3.56,3.5,3.44,3.44,3.44,0.05,0.045,0.04,0.04,0.04,0.045,0.05,0.04,0.03,0.035,0.04
18,Nayarit,2.28,2.3099999999999996,2.34,2.355,2.37,2.3,2.23,2.21,2.19,2.185,2.18,0.16,0.16,0.16,0.175,0.19,0.16999999999999998,0.15,0.14500000000000002,0.14,0.135,0.13,3.69,3.775,3.86,3.91,3.96,3.85,3.74,3.76,3.78,3.83,3.88,0.04,0.045,0.05,0.065,0.08,0.065,0.05,0.05,0.05,0.045,0.04
