Id,Estado,porcentaje_contrib_acceso_servicios_salud_pobreza_2008,porcentaje_contrib_acceso_servicios_salud_pobreza_2009,porcentaje_contrib_acceso_servicios_salud_pobreza_2010,porcentaje_contrib_acceso_servicios_salud_pobreza_2011,porcentaje_contrib_acceso_servicios_salud_pobreza_2012,porcentaje_contrib_acceso_servicios_salud_pobreza_2013,porcentaje_contrib_acceso_servicios_salud_pobreza_2014,porcentaje_contrib_acceso_servicios_salud_pobreza_2015,porcentaje_contrib_acceso_servicios_salud_pobreza_2016,porcentaje_contrib_acceso_servicios_salud_pobreza_2017,porcentaje_contrib_acceso_servicios_salud_pobreza_2018,porcentaje_contrib_acceso_seguridad_social_pobreza_2008,porcentaje_contrib_acceso_seguridad_social_pobreza_2009,porcentaje_contrib_acceso_seguridad_social_pobreza_2010,porcentaje_contrib_acceso_seguridad_social_pobreza_2011,porcentaje_contrib_acceso_seguridad_social_pobreza_2012,porcentaje_contrib_acceso_seguridad_social_pobreza_2013,porcentaje_contrib_acceso_seguridad_social_pobreza_2014,porcentaje_contrib_acceso_seguridad_social_pobreza_2015,porcentaje_contrib_acceso_seguridad_social_pobreza_2016,porcentaje_contrib_acceso_seguridad_social_pobreza_2017,porcentaje_contrib_acceso_seguridad_social_pobreza_2018,porcentaje_contrib_acceso_alimentacion_pobreza_2008,porcentaje_contrib_acceso_alimentacion_pobreza_2009,porcentaje_contrib_acceso_alimentacion_pobreza_2010,porcentaje_contrib_acceso_alimentacion_pobreza_2011,porcentaje_contrib_acceso_alimentacion_pobreza_2012,porcentaje_contrib_acceso_alimentacion_pobreza_2013,porcentaje_contrib_acceso_alimentacion_pobreza_2014,porcentaje_contrib_acceso_alimentacion_pobreza_2015,porcentaje_contrib_acceso_alimentacion_pobreza_2016,porcentaje_contrib_acceso_alimentacion_pobreza_2017,porcentaje_contrib_acceso_alimentacion_pobreza_2018
1,Aguascalientes,14.9,14.05,13.2,12.649999999999999,12.1,11.45,10.8,10.850000000000001,10.9,11.15,11.4,42.6,41.5,40.4,41.45,42.5,42.35,42.2,43.150000000000006,44.1,45.8,47.5,17.2,18.1,19.0,20.7,22.4,23.549999999999997,24.7,22.049999999999997,19.4,18.2,17.0
2,Baja California,22.4,20.4,18.4,16.4,14.4,12.9,11.4,12.55,13.7,12.85,12.0,39.5,37.7,35.9,39.2,42.5,39.85,37.2,38.25,39.3,38.55,37.8,12.5,14.3,16.1,16.15,16.2,17.15,18.1,17.65,17.2,16.3,15.4
3,Baja California Sur,16.6,14.950000000000001,13.3,12.65,12.0,10.85,9.7,10.05,10.4,9.600000000000001,8.8,36.1,34.7,33.3,35.099999999999994,36.9,36.75,36.6,36.05,35.5,36.2,36.9,15.9,19.75,23.6,22.200000000000003,20.8,21.55,22.3,21.700000000000003,21.1,20.6,20.1
4,Campeche,11.1,9.8,8.5,7.35,6.2,6.2,6.2,5.85,5.5,5.35,5.2,31.2,30.4,29.6,32.95,36.3,35.0,33.7,34.75,35.8,35.15,34.5,11.1,14.149999999999999,17.2,14.649999999999999,12.1,13.55,15.0,15.7,16.4,16.5,16.6
5,Chiapas,17.1,14.8,12.5,10.9,9.3,8.5,7.7,6.95,6.2,6.45,6.7,28.2,28.65,29.1,30.5,31.9,32.349999999999994,32.8,34.45,36.1,35.45,34.8,9.4,10.25,11.1,10.7,10.3,10.9,11.5,10.1,8.7,9.3,9.9
6,Chihuahua,17.9,16.45,15.0,13.05,11.1,11.399999999999999,11.7,11.0,10.3,9.25,8.2,33.1,35.3,37.5,39.65,41.8,38.849999999999994,35.9,37.2,38.5,38.2,37.9,15.0,16.7,18.4,19.95,21.5,20.4,19.3,20.1,20.9,21.7,22.5
7,Ciudad De Mexico,26.7,24.95,23.2,20.0,16.8,17.950000000000003,19.1,17.700000000000003,16.3,17.05,17.8,39.6,39.75,39.9,42.0,44.1,45.7,47.3,47.4,47.5,47.25,47.0,14.9,15.3,15.7,16.549999999999997,17.4,15.899999999999999,14.4,15.15,15.9,16.55,17.2
8,Coahuila,21.8,19.4,17.0,16.2,15.4,15.75,16.1,15.55,15.0,15.05,15.1,37.6,35.7,33.8,34.8,35.8,35.4,35.0,35.9,36.8,36.2,35.6,17.7,21.0,24.3,23.950000000000003,23.6,23.3,23.0,21.45,19.9,22.5,25.1
9,Colima,10.0,9.95,9.9,9.8,9.7,9.0,8.3,8.0,7.7,7.4,7.1,42.4,40.7,39.0,38.4,37.8,38.7,39.6,38.95,38.3,38.7,39.1,13.4,15.399999999999999,17.4,18.95,20.5,20.6,20.7,20.549999999999997,20.4,20.45,20.5
10,Durango,21.3,19.0,16.7,14.5,12.3,12.25,12.2,11.45,10.7,10.6,10.5,33.7,35.5,37.3,39.55,41.8,41.5,41.2,41.95,42.7,43.75,44.8,14.2,14.05,13.9,15.5,17.1,17.55,18.0,18.35,18.7,19.85,21.0
11,Guanajuato,17.1,15.100000000000001,13.1,11.35,9.6,9.55,9.5,9.1,8.7,8.649999999999999,8.6,34.0,35.8,37.6,37.75,37.9,39.05,40.2,40.7,41.2,41.85,42.5,17.0,16.7,16.4,17.9,19.4,17.9,16.4,16.299999999999997,16.2,16.7,17.2
12,Guerrero,18.2,15.45,12.7,10.899999999999999,9.1,8.1,7.1,6.199999999999999,5.3,5.15,5.0,26.2,26.4,26.6,28.05,29.5,29.45,29.4,31.05,32.7,31.900000000000002,31.1,11.8,13.8,15.8,15.55,15.3,15.3,15.3,13.9,12.5,13.75,15.0
13,Hidalgo,19.4,16.4,13.4,11.45,9.5,9.1,8.7,7.8999999999999995,7.1,7.1,7.1,32.9,33.8,34.7,36.55,38.4,38.099999999999994,37.8,38.9,40.0,40.85,41.7,11.8,13.7,15.6,15.149999999999999,14.7,17.0,19.3,17.45,15.6,15.1,14.6
14,Jalisco,19.4,18.4,17.4,16.25,15.1,14.5,13.9,13.4,12.9,13.4,13.9,36.2,35.55,34.9,36.15,37.4,39.5,41.6,42.650000000000006,43.7,41.05,38.4,14.4,16.35,18.3,18.200000000000003,18.1,17.15,16.2,16.4,16.6,16.200000000000003,15.8
15,Mexico,22.9,20.15,17.4,16.1,14.8,13.8,12.8,11.45,10.1,11.3,12.5,34.4,34.7,35.0,38.6,42.2,41.900000000000006,41.6,41.55,41.5,42.5,43.5,13.2,15.35,17.5,15.85,14.2,15.4,16.6,16.85,17.1,16.9,16.7
16,Michoacan,20.7,18.35,16.0,13.85,11.7,11.75,11.8,11.4,11.0,10.75,10.5,29.6,30.55,31.5,32.15,32.8,33.599999999999994,34.4,35.3,36.2,37.85,39.5,14.5,14.35,14.2,15.7,17.2,17.7,18.2,16.55,14.9,14.4,13.9
17,Morelos,18.2,16.55,14.9,13.25,11.6,10.0,8.4,8.5,8.6,8.85,9.1,35.5,35.85,36.2,36.7,37.2,38.150000000000006,39.1,40.85,42.6,41.6,40.6,13.8,13.95,14.1,16.6,19.1,18.1,17.1,16.1,15.1,16.15,17.2
18,Nayarit,16.9,14.649999999999999,12.4,11.2,10.0,10.2,10.4,9.7,9.0,8.4,7.8,39.1,38.3,37.5,37.05,36.6,36.55,36.5,37.25,38.0,37.55,37.1,12.8,14.65,16.5,17.8,19.1,19.55,20.0,17.95,15.9,16.55,17.2
19,Nuevo Leon,18.8,17.8,16.8,15.350000000000001,13.9,13.3,12.7,13.0,13.3,13.9,14.5,35.0,35.95,36.9,36.95,37.0,38.25,39.5,39.95,40.4,40.5,40.6,12.5,16.3,20.1,20.75,21.4,20.549999999999997,19.7,19.549999999999997,19.4,20.15,20.9
20,Oaxaca,18.5,15.95,13.4,10.55,7.7,7.45,7.2,6.45,5.7,5.800000000000001,5.9,26.0,27.35,28.7,29.75,30.8,30.700000000000003,30.6,31.15,31.7,31.85,32.0,10.4,10.5,10.6,12.5,14.4,14.8,15.2,14.6,14.0,13.25,12.5
21,Puebla,21.9,19.4,16.9,14.649999999999999,12.4,11.15,9.9,9.55,9.2,10.25,11.3,30.1,30.700000000000003,31.3,33.0,34.7,36.150000000000006,37.6,38.95,40.3,40.65,41.0,11.1,12.1,13.1,13.899999999999999,14.7,13.8,12.9,12.65,12.4,12.600000000000001,12.8
22,Queretaro,15.2,13.45,11.7,10.399999999999999,9.1,9.55,10.0,9.05,8.1,7.949999999999999,7.8,36.2,37.1,38.0,38.95,39.9,40.7,41.5,41.3,41.1,42.8,44.5,13.6,14.55,15.5,15.65,15.8,15.2,14.6,14.45,14.3,13.7,13.1
23,Quintana Roo,18.4,15.45,12.5,12.4,12.3,11.3,10.3,9.75,9.2,8.8,8.4,32.0,32.9,33.8,34.8,35.8,34.849999999999994,33.9,34.05,34.2,34.1,34.0,10.8,12.350000000000001,13.9,13.600000000000001,13.3,14.55,15.8,14.600000000000001,13.4,13.100000000000001,12.8
24,San Luis Potosi,15.7,12.45,9.2,8.0,6.8,6.25,5.7,5.65,5.6,5.199999999999999,4.8,31.3,31.1,30.9,33.099999999999994,35.3,36.65,38.0,39.0,40.0,39.3,38.6,13.1,15.850000000000001,18.6,16.85,15.1,15.35,15.6,15.2,14.8,14.25,13.7
25,Sinaloa,14.4,13.600000000000001,12.8,11.0,9.2,8.95,8.7,8.55,8.4,8.5,8.6,32.5,34.0,35.5,35.65,35.8,34.25,32.7,33.7,34.7,34.35,34.0,16.1,18.200000000000003,20.3,20.25,20.2,21.45,22.7,21.799999999999997,20.9,21.4,21.9
26,Sonora,14.1,14.35,14.6,12.6,10.6,10.35,10.1,10.2,10.3,9.600000000000001,8.9,31.5,31.7,31.9,32.0,32.1,33.8,35.5,35.2,34.9,35.65,36.4,19.7,20.15,20.6,22.55,24.5,25.2,25.9,24.75,23.6,23.5,23.4
27,Tabasco,10.8,10.55,10.3,9.05,7.8,7.75,7.7,6.5,5.3,5.35,5.4,34.4,34.0,33.6,33.150000000000006,32.7,32.900000000000006,33.1,32.85,32.6,32.85,33.1,18.5,17.05,15.6,16.25,16.9,19.75,22.6,22.950000000000003,23.3,23.450000000000003,23.6
28,Tamaulipas,16.0,15.15,14.3,12.2,10.1,10.6,11.1,10.399999999999999,9.7,9.1,8.5,39.4,39.25,39.1,39.35,39.6,39.1,38.6,38.85,39.1,39.5,39.9,10.8,11.4,12.0,14.4,16.8,17.65,18.5,18.6,18.7,18.65,18.6
29,Tlaxcala,22.1,20.5,18.9,16.15,13.4,11.9,10.4,9.1,7.8,8.35,8.9,38.7,39.55,40.4,40.5,40.6,43.7,46.8,47.4,48.0,48.25,48.5,14.2,14.35,14.5,16.35,18.2,17.6,17.0,17.4,17.8,17.200000000000003,16.6
30,Veracruz,16.7,15.7,14.7,12.899999999999999,11.1,10.55,10.0,9.55,9.1,8.4,7.7,28.6,29.6,30.6,31.3,32.0,32.2,32.4,33.55,34.7,34.3,33.9,11.3,12.100000000000001,12.9,13.600000000000001,14.3,14.75,15.2,13.649999999999999,12.1,12.95,13.8
31,Yucatan,13.0,11.25,9.5,8.1,6.7,6.65,6.6,6.85,7.1,6.699999999999999,6.3,29.3,29.4,29.5,29.6,29.7,30.799999999999997,31.9,32.099999999999994,32.3,32.349999999999994,32.4,8.8,10.850000000000001,12.9,13.7,14.5,12.65,10.8,11.9,13.0,13.2,13.4
32,Zacatecas,18.0,16.25,14.5,12.8,11.1,10.399999999999999,9.7,8.7,7.7,7.9,8.1,39.0,39.5,40.0,42.35,44.7,45.8,46.9,48.75,50.6,50.400000000000006,50.2,12.7,14.6,16.5,17.15,17.8,16.0,14.2,13.8,13.4,13.5,13.6
