TotalDeteccionesdepadecimientos,anio,Total
"     Aguascalientes",2018,1070207
"     Baja California",2018,2775290
"     Baja California Sur",2018,590918
"     Campeche",2018,454911
"     Chiapas",2018,982119
"     Chihuahua",2018,2087517
"     Coahuila ",2018,3095342
"     Colima",2018,573927
"     D.F. Norte",2018,4204739
"     D.F. Sur",2018,4536252
"     Durango",2018,1184376
"     Guanajuato",2018,1927195
"     Guerrero",2018,767308
"     Hidalgo",2018,607880
"     Jalisco",2018,5546445
"     México Oriente",2018,4223885
"     México Poniente",2018,2678425
"     Michoacán",2018,1547139
"     Morelos",2018,834148
"     Nayarit",2018,577340
"     Nuevo León",2018,6682492
"     Oaxaca",2018,709908
"     Puebla",2018,2270745
"     Querétaro",2018,1037001
"     Quintana Roo",2018,1054534
"     San Luis Potosí",2018,1687380
"     Sinaloa",2018,1985019
"     Sonora",2018,1970240
"     Tabasco",2018,851130
"     Tamaulipas",2018,2451052
"     Tlaxcala",2018,514435
"     Veracruz Norte",2018,2732280
"     Veracruz Sur",2018,1040655
"     Yucatán",2018,1230775
"     Zacatecas",2018,380154
