Id,Estados,Total_Casos_Padecimientos_2000,Total_Casos_Padecimientos_2001,Total_Casos_Padecimientos_2002,Total_Casos_Padecimientos_2003,Total_Casos_Padecimientos_2004,Total_Casos_Padecimientos_2005,Total_Casos_Padecimientos_2006,Total_Casos_Padecimientos_2007,Total_Casos_Padecimientos_2008,Total_Casos_Padecimientos_2009,Total_Casos_Padecimientos_2010,Total_Casos_Padecimientos_2011,Total_Casos_Padecimientos_2012,Total_Casos_Padecimientos_2013,Total_Casos_Padecimientos_2014,Total_Casos_Padecimientos_2015,Total_Casos_Padecimientos_2016,Total_Casos_Padecimientos_2017,Total_Casos_Padecimientos_2018,Total_Casos_Padecimientos_2019
1,Aguascalientes,333585.0,325635.0,305102.0,364001.0,689145.0,465132.0,576854.0,419837.0,801428.0,897546.0,989817.0,1095825.0,1154849.0,1027115.0,1095303.0,1229067.0,1243050.0,1238810.0,1070207.0,936458.0
2,Baja California,599440.0,611923.0,542272.0,762880.0,1580807.0,1067383.0,1434001.0,1253358.0,1604382.0,1566564.0,1752977.0,2162719.0,2772879.0,2772531.0,2705576.0,3106261.0,2852106.0,3035906.0,2775290.0,2503273.0
3,Baja California Sur,120869.0,124284.0,116003.0,130748.0,530911.0,282693.0,338374.0,294712.0,440173.0,493950.0,598374.0,577551.0,697879.0,752114.0,618966.0,597622.0,651755.0,582337.0,590918.0,533411.0
4,Campeche,171825.0,182152.0,173718.0,209813.0,447213.0,271820.0,335159.0,246528.0,258945.0,300914.0,441030.0,455844.0,507244.0,523461.0,501281.0,554331.0,677571.0,553728.0,454911.0,441368.0
5,Chiapas,349105.0,329757.0,304832.0,366622.0,638815.0,398994.0,604866.0,627692.0,859507.0,993243.0,918374.0,890282.0,928110.0,918003.0,890797.0,998778.0,985263.0,997458.0,982119.0,874938.0
6,Chihuahua,1110899.0,1079374.0,945867.0,1075516.0,2309552.0,1449548.0,1739153.0,1310022.0,1454752.0,1590969.0,1623618.0,2197246.0,2608869.0,2579759.0,2506296.0,2469943.0,2661739.0,2358413.0,2087517.0,1976689.0
7,Ciudad De Mexico,2977941.0,2758479.0,2618025.0,3150329.0,5406607.0,3638196.0,3946977.0,3588228.0,6300057.0,8116819.0,6776019.0,6874941.0,7548326.0,8316303.0,7783407.0,8543030.0,8711393.0,8452040.0,8740991.0,7758407.0
8,Coahuila,745542.0,835515.0,819481.0,1108326.0,2379094.0,1595037.0,1975991.0,1444815.0,1946414.0,2220790.0,2247344.0,2422900.0,2631079.0,2685744.0,2445913.0,2830690.0,3097456.0,3064139.0,3095342.0,3024462.0
9,Colima,205250.0,209116.0,144227.0,163802.0,381971.0,270634.0,319402.0,236302.0,326702.0,405099.0,452322.0,492514.0,567890.0,516827.0,521305.0,559042.0,579725.0,576785.0,573927.0,520286.0
10,Durango,434136.0,457791.0,377107.0,462327.0,880722.0,588530.0,731304.0,664546.0,741273.0,895751.0,1085273.0,1405124.0,1508586.0,1480090.0,1205075.0,1167398.0,1174946.0,1130988.0,1184376.0,1138916.0
11,Guanajuato,1086144.0,1024105.0,835058.0,1077160.0,2233218.0,1549394.0,2028725.0,1815008.0,1970235.0,2494511.0,2557279.0,2538085.0,2848146.0,2750416.0,2133164.0,1962185.0,2157549.0,1868404.0,1927195.0,1654099.0
12,Guerrero,303844.0,312884.0,383977.0,418141.0,714065.0,661537.0,785601.0,790561.0,855562.0,948873.0,920317.0,971273.0,963795.0,1009999.0,1010101.0,1068519.0,994553.0,826167.0,767308.0,744711.0
