Entidadfederativa,Periodo,Porcentajedehogarescongastoensegurosdesalud_decilesdeingreso,Hogares_decilesdeingreso,Hogarescongastoensegurosdesalud_decilesdeingreso
Aguascalientes,2014,1.580,324663,5125
"Baja California",2014,0.600,1001209,6057
"Baja California Sur",2014,0.690,212282,1475
Campeche,2014,0.550,235057,1287
"Coahuila de Zaragoza",2014,2.850,786506,22449
Colima,2014,1.420,201725,2865
Chiapas,2014,0.560,1188844,6626
Chihuahua,2014,0.230,1039843,2393
"Ciudad de México",2014,2.910,2574271,74929
Durango,2014,0.890,462587,4120
Guanajuato,2014,0.350,1453334,5132
Guerrero,2014,0.250,867654,2148
Hidalgo,2014,0.690,775279,5376
Jalisco,2014,2.610,2008044,52349
México,2014,0.130,4190670,5452
"Michoacán de Ocampo",2014,0.760,1164704,8838
Morelos,2014,1.840,539779,9910
Nayarit,2014,2.410,337065,8130
"Nuevo León",2014,2.040,1368927,27979
Oaxaca,2014,1.530,976167,14897
Puebla,2014,2.430,1527788,37141
Querétaro,2014,0.690,515819,3542
"Quintana Roo",2014,0.490,416960,2051
"San Luis Potosí",2014,2.170,701809,15225
Sinaloa,2014,0.000,817868,0
Sonora,2014,1.950,826341,16114
Tabasco,2014,0.360,626507,2264
Tamaulipas,2014,0.620,990563,6163
Tlaxcala,2014,1.600,303251,4842
"Veracruz de Ignacio de la Llave",2014,0.820,2222853,18254
Yucatán,2014,2.800,550456,15430
Zacatecas,2014,1.360,462177,6277
