Entidadfederativa,Periodo,Hogarescongastoensistemasalternativossalud_segúndecildeingresos,Hogaressegúndecilesdeingreso,Hogarescongastoensistemasalternativossaluddecilesdeingreso
Aguascalientes,2016,4.410,341350,15053
"Baja California",2016,1.190,1049288,12517
"Baja California Sur",2016,1.350,236453,3199
Campeche,2016,1.710,252342,4322
"Coahuila de Zaragoza",2016,1.830,825653,15089
Colima,2016,3.820,215577,8245
Chiapas,2016,3.720,1311008,48821
Chihuahua,2016,1.190,1085418,12947
"Ciudad de México",2016,2.570,2734158,70195
Durango,2016,3.950,481539,18997
Guanajuato,2016,2.840,1498617,42617
Guerrero,2016,3.470,993867,34440
Hidalgo,2016,2.220,770492,17117
Jalisco,2016,8.210,2146201,176139
México,2016,1.790,4424438,78988
"Michoacán de Ocampo",2016,4.120,1260398,51914
Morelos,2016,4.410,558521,24633
Nayarit,2016,5.590,352960,19733
"Nuevo León",2016,1.150,1405532,16174
Oaxaca,2016,2.580,1085210,28028
Puebla,2016,4.430,1652965,73245
Querétaro,2016,3.820,550778,21026
"Quintana Roo",2016,2.280,483805,11015
"San Luis Potosí",2016,2.630,752938,19839
Sinaloa,2016,2.210,815652,18029
Sonora,2016,1.720,858245,14795
Tabasco,2016,2.960,644364,19094
Tamaulipas,2016,0.530,1046512,5565
Tlaxcala,2016,3.940,320199,12613
"Veracruz de Ignacio de la Llave",2016,2.790,2299388,64219
Yucatán,2016,2.360,582961,13778
Zacatecas,2016,3.180,425769,13534
