Entidadfederativa,Periodo,Porcentajedelgastodelhogarensalud_decildeingresos,Gastodelhogarensalud_decildeingresos,Gastocorrientemonetariotrimestraldeloshogares
Aguascalientes,2012,3.310,276,8350
"Baja California",2012,1.260,407,32262
"Baja California Sur",2012,3.010,186,6179
Campeche,2012,2.280,136,5955
"Coahuila de Zaragoza",2012,3.110,661,21287
Colima,2012,2.420,123,5089
Chiapas,2012,2.160,334,15477
Chihuahua,2012,1.220,294,24132
"Ciudad de México",2012,1.220,294,24132
Durango,2012,2.380,209,8795
Guanajuato,2012,3.120,1114,35738
Guerrero,2012,3.770,566,15030
Hidalgo,2012,3.010,401,13318
Jalisco,2012,2.800,1619,57863
México,2012,1.190,1236,103844
"Michoacán de Ocampo",2012,1.940,418,21497
Morelos,2012,2.930,375,12817
Nayarit,2012,3.870,299,7734
"Nuevo León",2012,1.570,782,49960
Oaxaca,2012,2.690,428,15900
Puebla,2012,5.660,2093,36962
Querétaro,2012,2.590,443,17133
"Quintana Roo",2012,2.450,294,12020
"San Luis Potosí",2012,2.270,350,15437
Sinaloa,2012,3.290,522,15874
Sonora,2012,2.450,538,21917
Tabasco,2012,2.700,365,13505
Tamaulipas,2012,1.550,419,27080
Tlaxcala,2012,2.980,171,5740
"Veracruz de Ignacio de la Llave",2012,2.540,1174,46307
Yucatán,2012,2.720,334,12261
Zacatecas,2012,1.800,158,8765
