Entidadfederativa,Periodo,Porcentajedelapoblaciónderechohabiente,Poblaciónde15añosymásderechohabiente,Poblacióntotal
Aguascalientes,2013,57.460,720774,1254331
"Baja California",2013,52.130,1766019,3387921
"Baja California Sur",2013,59.680,430311,721071
Campeche,2013,42.080,371142,882084
"Coahuila de Zaragoza",2013,68.000,1968501,2894755
Colima,2013,54.320,380062,699703
Chiapas,2013,16.650,853977,5127541
Chihuahua,2013,58.140,2116734,3640505
"Ciudad de México",2013,54.850,4876871,8891369
Durango,2013,49.140,850589,1730868
Guanajuato,2013,40.890,2341304,5726521
Guerrero,2013,22.490,793305,3526817
Hidalgo,2013,30.210,849159,2811166
Jalisco,2013,48.770,3781557,7754460
México,2013,42.910,7036495,16397111
"Michoacán de Ocampo",2013,25.140,1139875,4534468
Morelos,2013,35.930,674536,1877622
Nayarit,2013,43.690,515987,1180992
"Nuevo León",2013,68.720,3401753,4950299
Oaxaca,2013,19.010,753475,3962562
Puebla,2013,26.280,1596498,6076092
Querétaro,2013,45.840,892864,1947677
"Quintana Roo",2013,53.060,790978,1490676
"San Luis Potosí",2013,42.180,1141235,2705577
Sinaloa,2013,56.450,1657148,2935516
Sonora,2013,60.390,1725309,2856769
Tabasco,2013,32.320,755529,2337778
Tamaulipas,2013,54.780,1899058,3466532
Tlaxcala,2013,28.510,354950,1244896
"Veracruz de Ignacio de la Llave",2013,31.560,2503002,7930818
Yucatán,2013,45.040,931051,2066985
Zacatecas,2013,33.810,524730,1551930
Hombres,2013,42.280,24279883,57426096
Mujeres,2013,42.720,26114895,61137316
"De 15 a 19 años",2013,36.950,4209044,11391689
"De 20 a 24 años",2013,40.130,4059458,10114780
"De 25 a 29 años",2013,42.840,3720476,8683824
"De 30 a 34 años",2013,43.810,3609332,8238041
"De 35 a 39 años",2013,43.600,3666494,8409223
"De 40 a 44 años",2013,44.880,3672506,8182431
"De 45 a 49 años",2013,45.850,3177556,6930471
"De 50 a 54 años",2013,48.370,2977830,6156266
"De 55 a 59 años",2013,49.490,2476190,5003683
"De 60 a 64 años",2013,53.690,2117651,3944575
"De 65 años y más",2013,53.390,4778909,8950591
"Población menor de 65",2013,41.610,45614357,109610829
"Población de 65 y más",2013,53.390,4778909,8950591
