Entidadfederativa,Periodo,Porcentajeactivaafiliadaaseguridadsocial,Poblaciónde15añosymásactivaseguridadsocial,Poblaciónactiva
Aguascalientes,2017,62.100,354340,570268
"Baja California",2017,64.800,1094402,1687843
"Baja California Sur",2017,65.600,261718,399244
Campeche,2017,40.800,172308,421881
"Coahuila de Zaragoza",2017,74.700,1014246,1358129
Colima,2017,55.800,205679,368459
Chiapas,2017,21.700,425730,1961494
Chihuahua,2017,68.600,1132854,1652405
"Ciudad de México",2017,55.800,2451375,4393384
Durango,2017,51.000,399364,783734
Guanajuato,2017,49.500,1279956,2588267
Guerrero,2017,25.000,378710,1512072
Hidalgo,2017,30.900,380119,1231628
Jalisco,2017,54.300,2046595,3771808
México,2017,49.000,3754523,7659983
"Michoacán de Ocampo",2017,30.400,611958,2011704
Morelos,2017,39.500,325169,823602
Nayarit,2017,48.100,290731,604123
"Nuevo León",2017,71.700,1765035,2462212
Oaxaca,2017,22.100,374584,1694503
Puebla,2017,26.900,729447,2709109
Querétaro,2017,53.200,446202,838740
"Quintana Roo",2017,56.200,462207,821817
"San Luis Potosí",2017,49.600,601522,1212316
Sinaloa,2017,61.100,827490,1354995
Sonora,2017,64.100,897218,1399273
Tabasco,2017,33.600,341716,1017944
Tamaulipas,2017,59.100,950918,1609344
Tlaxcala,2017,35.100,202168,576352
"Veracruz de Ignacio de la Llave",2017,36.100,1167069,3232964
Yucatán,2017,46.700,481273,1030464
Zacatecas,2017,40.100,268778,669701
Hombres,2017,45.000,15241880,33847131
Mujeres,2017,52.700,10853524,20582631
"De 15 a 19 años",2017,31.100,1111202,3575768
"De 20 a 24 años",2017,45.900,2813063,6131347
"De 25 a 29 años",2017,50.100,3352075,6684838
"De 30 a 34 años",2017,51.500,3229183,6270939
"De 35 a 39 años",2017,49.800,3195327,6414317
"De 40 a 44 años",2017,49.800,3251693,6531694
"De 45 a 49 años",2017,49.600,2786382,5616269
"De 50 a 54 años",2017,50.200,2403493,4791582
"De 55 a 59 años",2017,50.000,1723202,3446055
"De 60 a 64 años",2017,46.800,1053200,2248533
"De 65 años y más",2017,43.300,1176584,2718420
"Población menor de 65",2017,48.200,24918820,51711342
"Población de 65 y más",2017,43.300,1176584,2718420
