Entidadfederativa,Periodo,PorcentajedelaTasa,Accidentesocurridosatrabajadoresbajoseguro,PoblaciónOcupada
Aguascalientes,2017,3.100,17277,549455
"Baja California",2017,3.200,52291,1636146
"Baja California Sur",2017,6.600,25060,381170
Campeche,2017,6.200,25094,405726
"Coahuila de Zaragoza",2017,3.700,47728,1302287
Colima,2017,4.600,16369,355526
Chiapas,2017,1.700,32738,1897536
Chihuahua,2017,3.000,47935,1607709
"Ciudad de México",2017,2.800,116639,4180551
Durango,2017,4.500,33718,754717
Guanajuato,2017,3.100,78284,2515744
Guerrero,2017,1.600,24254,1488183
Hidalgo,2017,3.500,42052,1202977
Jalisco,2017,3.200,117908,3651606
México,2017,3.200,233416,7321400
"Michoacán de Ocampo",2017,3.800,75230,1954796
Morelos,2017,1.600,13300,806747
Nayarit,2017,4.200,24243,582071
"Nuevo León",2017,3.000,70275,2365771
Oaxaca,2017,3.700,61455,1659532
Puebla,2017,2.600,69602,2642533
Querétaro,2017,2.500,20281,805286
"Quintana Roo",2017,5.600,44191,795644
"San Luis Potosí",2017,3.400,40302,1183379
Sinaloa,2017,3.900,50639,1303748
Sonora,2017,4.300,57004,1337345
Tabasco,2017,4.300,40558,950077
Tamaulipas,2017,4.400,67080,1533895
Tlaxcala,2017,3.100,17225,553207
"Veracruz de Ignacio de la Llave",2017,1.600,50523,3138196
Yucatán,2017,3.200,31701,1001243
Zacatecas,2017,5.500,35931,652769
Hombres,2017,3.800,1252462,32712823
Mujeres,2017,2.200,427841,19804149
"De 15 a 19 años",2017,1.800,57602,3275720
"De 20 a 24 años",2017,3.000,173137,5713465
"De 25 a 29 años",2017,3.200,200297,6347321
"De 30 a 34 años",2017,2.700,166465,6073752
"De 35 a 39 años",2017,3.500,221446,6244795
"De 40 a 44 años",2017,3.700,234945,6364641
"De 45 a 49 años",2017,3.200,175637,5497128
"De 50 a 54 años",2017,3.600,167726,4707441
"De 55 a 59 años",2017,4.200,142231,3387386
"De 60 a 64 años",2017,3.000,67296,2220277
"De 65 años y más",2017,2.700,73521,2685046
"Población menor de 65",2017,3.200,1606782,49831926
"Población de 65 y más",2017,2.700,73521,2685046
